country,date,msci_index,msci_ret_weekly,n_obs,msci_vol_annual,debt_lt,debt_st,debt_total,default_barrier,OVX,country_clean,cds_spread,rf,lambda,theta,delta,country_lower,oil_exporter,sp_rating,scale_rating,lam_ovx,pd_m1,dd_m1,pd_m3,dd_m3,spread_m1,spread_m3,dd_diff
Saudi Arabia,2018-11-09,857.338,-0.0223394625079398,5,0.1492047129973919,36500000000.0,0.0,36500000000.0,18250000000.0,35.1,saudi arabia,94.09,0.0273,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.5611852869216345,50.0,0.00400000000000001,2.652069807902195,0.0151,2.1674573288655785,4.80576923262063,18.20258277840589,-0.4846124790366164
Saudi Arabia,2018-11-16,847.398,-0.0116617618802397,5,0.1495569542044236,36500000000.0,0.0,36500000000.0,18250000000.0,40.56,saudi arabia,97.03999,0.0268,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.5672161667604785,50.0,0.004000000000000008,2.6520698079021954,0.0159,2.146915618092731,4.80576923262063,19.171594607193366,-0.5051541898094642
Saudi Arabia,2018-11-23,842.149,-0.0062135198224101,5,0.1496807433157969,36500000000.0,0.0,36500000000.0,18250000000.0,65.17,saudi arabia,97.03999,0.0266999999999999,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.569339364812383,2.9,0.003999999999999999,2.652069807902196,0.005,2.5758293035489004,4.80576923262063,6.009018040597449,-0.07624050435329544
Saudi Arabia,2018-11-30,853.969,0.0139379351571368,5,0.1493467583766163,36500000000.0,0.0,36500000000.0,18250000000.0,56.04,saudi arabia,96.04999,0.027,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.563615411727763,2.9,0.003999999999999999,2.652069807902196,0.0045,2.6120541412292817,4.80576923262063,5.407303148629647,-0.04001566667291412
Saudi Arabia,2018-12-07,871.694,0.0205435515279476,5,0.1502627621276178,36500000000.0,0.0,36500000000.0,18250000000.0,41.83,saudi arabia,94.09,0.0268,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.5793482070912646,50.0,0.004000000000000008,2.6520698079021954,0.0146,2.180775845240503,4.80576923262063,17.59718871269924,-0.4712939626616923
Saudi Arabia,2018-12-14,879.534,0.0089537768671376,5,0.1503557675560175,36500000000.0,0.0,36500000000.0,18250000000.0,42.38,saudi arabia,93.09999,0.0268,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.5809516140014783,50.0,0.003999999999999999,2.652069807902196,0.0147,2.1780810922893394,4.80576923262063,17.71825286664922,-0.4739887156128564
Saudi Arabia,2018-12-21,862.144,-0.019969911682892,5,0.1512192021316112,36500000000.0,0.0,36500000000.0,18250000000.0,51.76,saudi arabia,100.0,0.0262,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.5958901845409796,2.9,0.00400000000000001,2.652069807902195,0.0033,2.7163805834608685,4.80576923262063,3.963925582624924,0.0643107755586736
Saudi Arabia,2018-12-28,859.889,-0.0026189989262105,5,0.1512771069654938,36500000000.0,0.0,36500000000.0,18250000000.0,53.11,saudi arabia,100.0,0.0256999999999999,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.596895449997719,2.9,0.003999999999999999,2.652069807902196,0.0048,2.589913682701565,4.80576923262063,5.768310359725969,-0.06215612520063063
Saudi Arabia,2019-01-04,871.586,0.0135112293776193,5,0.1516229869853917,36500000000.0,0.0,36500000000.0,18250000000.0,51.52,saudi arabia,105.93,0.0256999999999999,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.602909172978481,2.9,0.003999999999999999,2.652069807902196,0.0047,2.597153158038552,4.80576923262063,5.647967382203926,-0.05491664986364375
Saudi Arabia,2019-01-11,918.972,0.0529411134641281,5,0.1598088269907643,36500000000.0,0.0,36500000000.0,18250000000.0,40.99,saudi arabia,100.0,0.0258,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.7498511876368474,50.0,0.004000000000000008,2.6520698079021954,0.0142,2.191716272671173,4.80576923262063,17.113005366241467,-0.4603535352310222
Saudi Arabia,2019-01-18,946.567,0.029586101262855,5,0.1598646271316847,36500000000.0,0.0,36500000000.0,18250000000.0,35.63,saudi arabia,92.09,0.026,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.7508839534591294,50.0,0.004000000000000008,2.6520698079021954,0.013,2.2262117693171746,4.80576923262063,15.66115823037713,-0.4258580385850208
Saudi Arabia,2019-01-25,943.396,-0.0033556243963626,5,0.159907810876671,36500000000.0,0.0,36500000000.0,18250000000.0,35.21,saudi arabia,89.12999,0.026,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.7516835068647305,50.0,0.004000000000000008,2.6520698079021954,0.0125,2.241402727604947,4.80576923262063,15.05653284158305,-0.4106670802972485
Saudi Arabia,2019-02-01,955.85,0.0131148661168948,5,0.1596147068754102,36500000000.0,0.0,36500000000.0,18250000000.0,33.4,saudi arabia,90.10999,0.0256,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.7462617068623274,50.0,0.004000000000000008,2.6520698079021954,0.0145,2.18348652800656,4.80576923262063,17.4761318865706,-0.4685832798956353
Saudi Arabia,2019-02-08,965.863,0.0104210052336376,5,0.1554532993513994,36500000000.0,0.0,36500000000.0,18250000000.0,32.56,saudi arabia,91.12999,0.0254,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.6705508924657373,50.0,0.004000000000000008,2.6520698079021954,0.0125,2.241402727604947,4.80576923262063,15.05653284158305,-0.4106670802972485
Saudi Arabia,2019-02-15,968.066,0.0022782645618192,5,0.1549503518640949,36500000000.0,0.0,36500000000.0,18250000000.0,29.46,saudi arabia,90.62999,0.0255,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.6615586308945067,0.3,0.004000000000000008,2.6520698079021954,0.0033,2.7163805834608685,4.80576923262063,3.963925582624924,0.06431077555867315
Saudi Arabia,2019-02-22,959.122,-0.0092819841284526,5,0.1554679441222706,36500000000.0,0.0,36500000000.0,18250000000.0,29.85,saudi arabia,88.65999,0.0255,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.670813233481097,0.3,0.004000000000000008,2.6520698079021954,0.0047,2.597153158038552,4.80576923262063,5.647967382203926,-0.05491664986364331
Saudi Arabia,2019-03-01,954.372,-0.004964750092543,5,0.1549503015734573,36500000000.0,0.0,36500000000.0,18250000000.0,30.31,saudi arabia,81.23,0.0255,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.6615577334258336,50.0,0.00400000000000001,2.652069807902195,0.014,2.197286376641052,4.80576923262063,16.87095764220315,-0.45478343126114273
Saudi Arabia,2019-03-08,951.304,-0.0032198575735006,5,0.1538695513752288,36500000000.0,0.0,36500000000.0,18250000000.0,29.77,saudi arabia,88.15999,0.0253,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.6423484834730275,0.3,0.004000000000000008,2.6520698079021954,0.0037,2.6782860096594137,4.80576923262063,4.444935706198172,0.026216201757218283
Saudi Arabia,2019-03-15,965.677,0.0149957347928881,5,0.1517149994560675,36500000000.0,0.0,36500000000.0,18250000000.0,26.27,saudi arabia,79.28999,0.0252,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.604511575231013,0.3,0.003999999999999999,2.652069807902196,0.0044,2.6197277098102485,4.80576923262063,5.286981890835022,-0.032342098091947324
Saudi Arabia,2019-03-22,980.847,0.0155870743301938,5,0.1519966182807102,36500000000.0,0.0,36500000000.0,18250000000.0,27.78,saudi arabia,85.25999,0.0245,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.60942280168156,0.3,0.004000000000000008,2.6520698079021954,0.0046,2.604531364627191,4.80576923262063,5.527631645462094,-0.04753844327500456
Saudi Arabia,2019-03-29,990.465,0.0097580457261694,5,0.1521102624055347,36500000000.0,0.0,36500000000.0,18250000000.0,26.75,saudi arabia,90.12999,0.024,0.03999693277997,-0.0236461333523521,0.0639897745040791,saudi arabia,1.0,A,2.6114075870315,0.3,0.004000000000000008,2.6520698079021954,0.0041,2.643721889635497,4.80576923262063,4.926061542971077,-0.00834791826669834
