country,date,msci_index,msci_ret_weekly,n_obs,msci_vol_annual,debt_lt,debt_st,debt_total,default_barrier,OVX,country_clean,cds_spread,rf,lambda,theta,delta,country_lower,pd_cf_gbm,dd_cf_gbm,pd_mc_jump_const,dd_mc_jump_const,pd_mc_jump_ovx,dd_mc_jump_ovx
India,2021-03-05,1609.952,0.0383391873195143,5,0.3102125906819226,103612000000.0,242000000.0,103854000000.0,52048000000.0,36.61,india,75.29,0.0008,0.0972042012951941,-0.0361640283203247,0.0001,india,0.40605502233244395,0.23770482042504992,0.4588,0.10345734693318251,0.4512,0.12263012270251443
India,2021-03-12,1621.953,0.0074266138139196,5,0.2868919163653598,103612000000.0,242000000.0,103854000000.0,52048000000.0,37.51,india,75.28,0.0009,0.0972042012951941,-0.0361640283203247,0.0001,india,0.3777888491927007,0.3112932498540347,0.4306,0.1748468173493155,0.4166,0.21059924692482582
India,2021-03-19,1596.557,-0.0157815430653674,5,0.2448255650442803,103612000000.0,242000000.0,103854000000.0,52048000000.0,44.38,india,75.3,0.0007,0.0972042012951941,-0.0361640283203247,0.0001,india,0.32027695969097714,0.46692446720166325,0.3875,0.2858408748811657,0.3767,0.314159369474694
India,2021-03-26,1576.537,-0.0126187661969365,5,0.2437374299827076,103612000000.0,242000000.0,103854000000.0,52048000000.0,44.93,india,75.35,0.0006,0.0972042012951941,-0.0361640283203247,0.0001,india,0.3186605769243218,0.4714475678830773,0.3915,0.27541164303232074,0.3736,0.32233357521872225
India,2021-04-02,1607.143,0.0192273990450456,5,0.2308216906288714,103612000000.0,242000000.0,103854000000.0,52048000000.0,40.15,india,75.36,0.0007,0.0972042012951941,-0.0361640283203247,0.0001,india,0.2989176104341427,0.5275161261381947,0.3544,0.37346821173702743,0.3513,0.381813101651567
India,2021-04-09,1586.918,-0.012664298091925,5,0.2067789489744983,103612000000.0,242000000.0,103854000000.0,52048000000.0,39.19,india,75.37,0.0006,0.0972042012951941,-0.0361640283203247,0.0001,india,0.2592243542639848,0.6457385218065811,0.3246,0.4548738455889585,0.3077,0.5023803480795398
India,2021-04-16,1564.418,-0.014279900550354,5,0.2077352328001418,103612000000.0,242000000.0,103854000000.0,52048000000.0,32.79,india,75.37,0.0006,0.0972042012951941,-0.0361640283203247,0.0001,india,0.26088072340677987,0.6406325493211712,0.3212,0.46434582129110896,0.3024,0.5175102723302476
India,2021-04-23,1522.725,-0.0270123769074441,5,0.2091392005958523,103612000000.0,242000000.0,103854000000.0,52048000000.0,38.7,india,75.37,0.0007,0.0972042012951941,-0.0361640283203247,0.0001,india,0.26330050984145403,0.6332031029386347,0.3374,0.41956946343183243,0.3156,0.4800385243030213
India,2021-04-30,1574.942,0.0337169532684219,5,0.1950604464229643,103612000000.0,242000000.0,103854000000.0,52048000000.0,38.39,india,75.37,0.0005,0.0972042012951941,-0.0361640283203247,0.0001,india,0.23838024193629537,0.7115225471597333,0.3136,0.4856716317870393,0.2913,0.5495909026255464
India,2021-05-07,1611.894,0.023191438895841,5,0.1831082106846092,103612000000.0,242000000.0,103854000000.0,52048000000.0,37.63,india,75.37,0.0005,0.0972042012951941,-0.0361640283203247,0.0001,india,0.2160612294148474,0.7855648586612348,0.2927,0.5455140791720231,0.2728,0.6043665044621394
India,2021-05-14,1604.591,-0.0045409896513376,5,0.1828972405588703,103612000000.0,242000000.0,103854000000.0,52048000000.0,36.46,india,75.37,0.0006,0.0972042012951941,-0.0361640283203247,0.0001,india,0.21565761256992344,0.7869430154354238,0.2867,0.5630512295665868,0.2663,0.6240420040937888
India,2021-05-21,1663.314,0.0359431023340712,5,0.1833187721017032,103612000000.0,242000000.0,103854000000.0,52048000000.0,39.34,india,75.37,0.0004,0.0972042012951941,-0.0361640283203247,0.0001,india,0.2164637312694977,0.7841919932991829,0.2922,0.5469690434311935,0.2878,0.5598232549114683
India,2021-05-28,1698.637,0.0210141669897898,5,0.1793757054279242,103612000000.0,242000000.0,103854000000.0,52048000000.0,33.54,india,75.33,0.0005,0.0972042012951941,-0.0361640283203247,0.0001,india,0.20887121640412953,0.8103441056081558,0.2826,0.5751349980770697,0.2569,0.6529321829733662
India,2021-06-04,1726.131,0.0160563230401896,5,0.1738802810049158,103612000000.0,242000000.0,103854000000.0,52048000000.0,31.76,india,75.33,0.0005,0.0972042012951941,-0.0361640283203247,0.0001,india,0.19809730354789912,0.848437066547198,0.2734,0.6025621595511808,0.2414,0.7018062508700208
India,2021-06-11,1751.771,0.0147447883973845,5,0.1724328171207145,103612000000.0,242000000.0,103854000000.0,52048000000.0,32.55,india,75.31,0.0005,0.0972042012951941,-0.0361640283203247,0.0001,india,0.19522284894491254,0.858809368725298,0.2624,0.6359638259995983,0.2414,0.7018062508700208
India,2021-06-18,1710.565,-0.0238035509104957,5,0.1754020897031947,103612000000.0,242000000.0,103854000000.0,52048000000.0,33.95,india,75.33,0.0009,0.0972042012951941,-0.0361640283203247,0.0001,india,0.20110302704243782,0.8376878231407837,0.2774,0.5905827883492601,0.2496,0.6757490312086387
India,2021-06-25,1719.454,0.0051830732714212,5,0.1750563230693534,103612000000.0,242000000.0,103854000000.0,52048000000.0,31.3,india,75.34,0.0009,0.0972042012951941,-0.0361640283203247,0.0001,india,0.200421584336253,0.8401163233007825,0.2713,0.6088860068030322,0.2449,0.6906269607959098
India,2021-07-02,1703.293,-0.0094433623630792,5,0.1743124208117125,103612000000.0,242000000.0,103854000000.0,52048000000.0,32.87,india,75.34,0.0008,0.0972042012951941,-0.0361640283203247,0.0001,india,0.1989525349676617,0.8453686008348459,0.2692,0.6152342984408232,0.2457,0.6880838182227007
India,2021-07-09,1707.493,0.0024627766871588,5,0.1743815103826532,103612000000.0,242000000.0,103854000000.0,52048000000.0,37.02,india,75.32,0.0008,0.0972042012951941,-0.0361640283203247,0.0001,india,0.19908914182539372,0.844879209281136,0.2683,0.6179625884153991,0.2561,0.6554159266672533
India,2021-07-16,1734.437,0.015656652167831,5,0.1743338415890039,103612000000.0,242000000.0,103854000000.0,52048000000.0,37.15,india,75.31,0.0008,0.0972042012951941,-0.0361640283203247,0.0001,india,0.19899489275478455,0.8452168331895679,0.2661,0.6246512123983269,0.25,0.6744897501960817
India,2021-07-23,1738.196,0.0021649287259414,5,0.173367252303186,103612000000.0,242000000.0,103854000000.0,52048000000.0,34.05,india,75.34,0.0007,0.0972042012951941,-0.0361640283203247,0.0001,india,0.1970802318182791,0.8520966275241427,0.2717,0.6076795934074352,0.243,0.6966849170630506
India,2021-07-30,1736.059,-0.0012301919516594,5,0.1735092497169041,103612000000.0,242000000.0,103854000000.0,52048000000.0,32.85,india,75.34,0.0007,0.0972042012951941,-0.0361640283203247,0.0001,india,0.1973619300637125,0.8510818982532663,0.2651,0.6277007407674333,0.2476,0.6820616008251554
India,2021-08-06,1777.456,0.0235655266853281,5,0.1740433039403321,103612000000.0,242000000.0,103854000000.0,52048000000.0,39.31,india,75.34,0.0009,0.0972042012951941,-0.0361640283203247,0.0001,india,0.19842009513954895,0.8472779926137146,0.268,0.6188730405486286,0.2501,0.674175097074659
India,2021-08-13,1789.417,0.0067067399563376,5,0.1739007503014112,103612000000.0,242000000.0,103854000000.0,52048000000.0,35.91,india,75.34,0.0008,0.0972042012951941,-0.0361640283203247,0.0001,india,0.1981378441048593,0.8482914317116161,0.2684,0.6176592182045479,0.2469,0.6842774240415831
India,2021-08-20,1777.781,-0.0065239110755033,5,0.1742057907341808,103612000000.0,242000000.0,103854000000.0,52048000000.0,40.67,india,75.32,0.0006,0.0972042012951941,-0.0361640283203247,0.0001,india,0.19874163336841316,0.846124549783175,0.2661,0.6246512123983269,0.264,0.6310619790594988
India,2021-08-27,1827.544,0.0276070315574275,5,0.1725615066101782,103612000000.0,242000000.0,103854000000.0,52048000000.0,34.93,india,75.32,0.0007,0.0972042012951941,-0.0361640283203247,0.0001,india,0.19547901883072466,0.8578812518024332,0.2704,0.6116036841430449,0.2502,0.673860510686857
