treatment_group,treatment_size,beta,pval,n_obs,is_true
"Colombia,Mexico",2,0.04807125476503781,0.8101905559084401,85,False
"Colombia,Philippines",2,0.3743188135061316,0.21766929090399323,85,False
"Colombia,Qatar",2,-0.2840782713592268,0.3041466490968867,85,False
"Colombia,Saudi Arabia",2,0.17433439054166688,0.43518673067648117,85,False
"Colombia,South Africa",2,-0.5638625016891631,0.18027330393927632,85,False
"Colombia,South Korea",2,-0.18008372575125126,0.44394129247611147,85,False
"Colombia,Thailand",2,-0.3932517303087744,0.23164055639875558,85,False
"Colombia,Turkey",2,-0.5086870044666675,0.19222342701660766,85,False
"Dubai,Egypt",2,0.7687890090369598,0.009110803440394388,85,False
"Dubai,Indonesia",2,0.5791590081122762,0.1409574992571534,85,False
"Dubai,Malaysia",2,1.4847265088772827,1.4988192824638702e-06,85,False
"Dubai,Mexico",2,0.5950292187605648,0.12187239398507344,85,False
"Dubai,Philippines",2,0.9212767775016586,6.84856209134388e-05,85,False
"Dubai,Qatar",2,0.2628796926363001,0.6488480778067776,85,False
"Dubai,Saudi Arabia",2,0.7212923545371939,0.023332717285551974,85,False
"Dubai,South Africa",2,-0.016904537693636174,0.9819679294589934,85,False
"Dubai,South Korea",2,0.3668742382442757,0.4764986729896705,85,False
"Dubai,Thailand",2,0.15370623368675265,0.8111687758169552,85,False
"Dubai,Turkey",2,0.03827095952885942,0.9572506919479897,85,False
"Egypt,Indonesia",2,0.23821642101835208,0.30679751740005035,85,False
"Egypt,Malaysia",2,1.1437839217833585,0.021853848825810873,85,False
"Egypt,Mexico",2,0.25408663166664064,0.26503117869164616,85,False
"Egypt,Philippines",2,0.5803341904077344,0.00872736809396324,85,False
"Egypt,Qatar",2,-0.07806289445762411,0.8372577140594228,85,False
"Egypt,Saudi Arabia",2,0.38034976744326976,0.05872072772591519,85,False
"Egypt,South Africa",2,-0.35784712478756037,0.5080892907934289,85,False
"Egypt,South Korea",2,0.02593165115035153,0.9364510212189885,85,False
"Egypt,Thailand",2,-0.1872363534071716,0.6711946300729501,85,False
"Egypt,Turkey",2,-0.3026716275650648,0.5513456614089076,85,False
"Indonesia,Malaysia",2,0.9541539208586749,0.11920974773308934,85,False
"Indonesia,Mexico",2,0.06445663074195702,0.74642560224143,85,False
"Indonesia,Philippines",2,0.39070418948305047,0.18654443577022461,85,False
"Indonesia,Qatar",2,-0.2676928953823077,0.3456227082067971,85,False
"Indonesia,Saudi Arabia",2,0.19071976651858588,0.38347703366073227,85,False
"Indonesia,South Africa",2,-0.547477125712244,0.20305294826189435,85,False
"Indonesia,South Korea",2,-0.16369834977433212,0.49696244364944153,85,False
"Indonesia,Thailand",2,-0.3768663543318553,0.263699771970793,85,False
"Indonesia,Turkey",2,-0.4923016284897485,0.21744296868008117,85,False
"Malaysia,Mexico",2,0.9700241315069634,0.10755448747690743,85,False
"Malaysia,Philippines",2,1.2962716902480573,0.0015937205720581993,85,False
"Malaysia,Qatar",2,0.6378746053826994,0.42911503276206164,85,False
