iso3,country,years_obs,share_crude_oil,share_refined_oil,share_nat_gas,share_energy_total,share_copper_ore,share_copper_total,share_aluminum,share_nickel,share_iron_ore,share_iron_steel,share_gold,share_precious_total,share_wheat,share_corn,share_soybeans,share_cereals_total,share_oilseeds_total,share_live_cattle,share_beef_total,share_livestock_total,expgdp_crude_oil,expgdp_refined_oil,expgdp_nat_gas,expgdp_energy_total,expgdp_copper_ore,expgdp_copper_total,expgdp_aluminum,expgdp_nickel,expgdp_iron_ore,expgdp_iron_steel,expgdp_gold,expgdp_precious_total,expgdp_wheat,expgdp_corn,expgdp_soybeans,expgdp_cereals_total,expgdp_oilseeds_total,expgdp_live_cattle,expgdp_beef_total,expgdp_livestock_total
HUN,Hungary,25,0.000447843013585146,0.0135431974859432,0.00270119163856546,0.0166922321380938,4.7762581157676e-11,7.02338415559595e-05,0.000905530023464769,6.1795270031264e-07,0,0,0.000401188390244441,0.000477468653838316,0.00443731531502333,0.00734095394881149,0.000219696742893906,0.0117782692638348,0.000219696742893906,0,0,0,0.000319888672465117,0.00945403875218418,0.00205301733133132,0.0118269447559806,3.81442659554674e-11,5.28099918610406e-05,0.000650559672727081,4.14126817478465e-07,0,0,0.000298199142100772,0.000356955299348855,0.0031598476456291,0.00525229440763404,0.00016711995602246,0.00841214205326313,0.00016711995602246,0,0,0
IDN,Indonesia,25,0.0553154583686743,0.013093159176481,0.077450000996737,0.145858618541892,0.0267119388485296,0.00755153174286271,0.00226192260392385,0.000136253994848977,0,0,0.00864762880370416,0.00899156784566075,2.52798174208125e-05,0.000113339612383177,1.19702526646908e-05,0.000138619429803989,1.19702526646908e-05,0,0,0,0.0133855050216785,0.00317678548836412,0.01788217184698,0.0344444623570226,0.00603932072144227,0.00166434654990824,0.000540005355675496,2.60238426138573e-05,0,0,0.00173068181262245,0.00180003272855968,6.0282032138547e-06,2.47999435611517e-05,2.57972585783152e-06,3.08281467750064e-05,2.57972585783152e-06,0,0,0
IRQ,Iraq,7,0.99534419351535,0.00271836265370462,0,0.998062556169054,0,0,0,0,0,0,0,0,9.22734363070976e-09,0,0,9.22734363070976e-09,0,0,0,0,0.361259085653603,0.000909852365151783,0,0.362168938018755,0,0,0,0,0,0,0,0,4.09542265744262e-09,0,0,4.09542265744262e-09,0,0,0,0
KAZ,Kazakhstan,25,0.583736932498088,0.0235008408374628,0.0345691782729913,0.641806951608542,0.0141037686568192,0.0382160714461934,0.00426381448967019,1.38658414151996e-05,0,0,0.00620503440494353,0.0149340477333034,0.0190686108133079,0.000144524077507849,0.000130018895635805,0.0192131348908157,0.000130018895635805,0,0,0,0.219367888471505,0.00901352351663811,0.0123351407944159,0.240716552782559,0.00462103904557799,0.0146623830470092,0.00147581012145934,4.95710363311302e-06,0,0,0.00253691539286561,0.00563304341489294,0.00700604370334321,4.6509185652237e-05,4.01049530813568e-05,0.00705255288899545,4.01049530813568e-05,0,0,0
LKA,Sri Lanka,24,1.44368637540104e-07,0.0101862785040184,0.000730262363997185,0.0109166852366532,1.84721757569162e-07,0.0034842920480798,0.000308570891541787,1.77434930919866e-06,0,0,0.000405339578642025,0.000405411511955594,0.00019599093438013,5.10181028251527e-06,1.2193241608207e-05,0.000201092744662646,1.2193241608207e-05,0,0,0,2.31999598584701e-08,0.00139942631801634,9.78402320981924e-05,0.00149728975007439,2.34583981622948e-08,0.000729368728175965,5.74224531780776e-05,2.62287479108492e-07,0,0,6.17229955210597e-05,6.17347154257662e-05,3.04440285762389e-05,7.01162894312937e-07,1.70434015728618e-06,3.11451914705518e-05,1.70434015728618e-06,0,0,0
MAR,Morocco,25,7.55121317993615e-07,0.0196591099343875,2.93508036677136e-07,0.0196601585637422,0.00319558550278051,0.000606886964555022,0.000116902541237791,9.03929191831299e-08,0,0,0.00223011280833102,0.00767482438890858,1.1714854380886e-05,2.25294166831347e-05,6.14123511593779e-08,3.42442710640207e-05,6.14123511593779e-08,0,0,0,1.44861921559278e-07,0.00382311386071675,5.60249822840048e-08,0.00382331474762059,0.000718449355893528,0.000150644511676512,3.51389609541765e-05,1.58345756330572e-08,0,0,0.000431730230637322,0.00151397935702904,1.97079504894543e-06,4.26152861634355e-06,1.09767158687379e-08,6.23232366528899e-06,1.09767158687379e-08,0,0,0
MEX,Mexico,25,0.087515769897685,0.0105981487186062,0.000251151633541155,0.0983650702498324,0.00301024172660933,0.00175328618016475,0.00026944595456438,5.61180923942548e-07,0,0,0.00794671717490416,0.0132399911921692,0.000519734269606549,0.000333957100276661,2.16348571079779e-06,0.00085369136988321,2.16348571079779e-06,0,0,0,0.0238080524245189,0.00295206327314592,6.156323563393e-05,0.0268216789332988,0.000990862665500679,0.000510810415112903,7.38164845193273e-05,1.52079232331822e-07,0,0,0.00238065038587239,0.00392542559532094,0.000142306280944974,0.00010478731125789,6.21124874596492e-07,0.000247093592202865,6.21124874596492e-07,0,0,0
NGA,Nigeria,23,0.820545504921231,0.0216420590783348,0.0751428720617708,0.917330436061336,1.03972240866033e-05,0.000685540201305745,0.00145981907500544,1.07058097814313e-05,0,0,0.000329612202228525,0.000329862878627536,9.65064392887818e-05,3.51438395823858e-06,0.000372575948622848,0.00010002082324702,0.000372575948622848,0,0,0,0.115998247694014,0.00380472181742667,0.00859843367584893,0.12840140318729,1.24408865013096e-06,9.36695745893908e-05,0.000196207336642845,2.28203521203789e-06,0,0,4.8840964515012e-05,4.88923367164536e-05,1.19684629267603e-05,4.78564629328992e-07,5.25249369879651e-05,1.24470275560892e-05,5.25249369879651e-05,0,0,0
PAK,Pakistan,22,0.00350877363465743,0.0223728764592897,1.36030221628035e-05,0.0258952531161099,9.15373350465035e-05,0.0066486711343959,0.000490295569258904,7.67229971092397e-07,0,0,6.62711943340969e-10,7.24881365766568e-07,0.0026730012314082,0.0021955390280442,6.27974336976643e-05,0.0048685402594524,6.27974336976643e-05,0,0,0,0.000274165353463786,0.00222482846009789,1.40140732441881e-06,0.00250039522088609,7.68562839176517e-06,0.000543653927156473,4.09363641440734e-05,7.61437335899652e-08,0,0,5.47602569176199e-11,7.84171056506841e-08,0.000254290693379325,0.000192460925729713,5.34865395950232e-06,0.000446751619109038,5.34865395950232e-06,0,0,0
PAN,Panama,25,0,0.00944920913771963,4.78173679973847e-05,0.00949702650571701,0.0921319350913918,4.20861743694198e-06,8.27218782828935e-06,3.43657760133191e-08,0,0,0.00462124096720652,0.00467820817437046,1.40472275078112e-08,3.29290622888674e-06,1.09955279254629e-08,3.30695345639455e-06,1.09955279254629e-08,0,0,0,0,0.000605531448651819,5.09742397965692e-06,0.000610628872631476,0.00455749036524813,6.34314944585052e-07,1.93154146379527e-06,7.38017118402283e-09,0,0,0.000811615369162176,0.000825335126493492,4.06068956328599e-09,1.23238746248869e-07,3.97106317636498e-09,1.27299435812155e-07,3.97106317636498e-09,0,0,0
PER,Peru,25,0.0111304426655414,0.0563681019797893,0.0145945852301155,0.0820931298754462,0.171546090593901,0.068641431739059,4.52586387458258e-05,3.71778658205597e-07,0,0,0.173810352118125,0.185492271607668,1.35158036707623e-05,0.000457662764554869,1.62514609825257e-06,0.000471178568225631,1.62514609825257e-06,0,0,0,0.00234737667292482,0.0124242902757306,0.00335541500602539,0.0181270819546808,0.0383166446403576,0.0144181292507444,1.02143186750651e-05,8.35880720227583e-08,0,0,0.0371245928410836,0.0394898079959074,3.22094339642727e-06,9.32193212156376e-05,3.7159898118269e-07,9.64402646120648e-05,3.7159898118269e-07,0,0,0
PHL,Philippines,25,0.00455312756799278,0.0089428837952746,0.000926669181299377,0.0144226805445668,0.00589819904044631,0.0164363941231715,5.19595330367417e-05,1.13618986687385e-05,0,0,0.00917614191974626,0.00953790682717236,5.35847625974532e-07,2.83676564304949e-05,5.43959397345678e-07,2.89035040564695e-05,5.43959397345678e-07,0,0,0,0.0010189986849247,0.00269518516421402,0.000263066057384084,0.00397724990652281,0.00119247847058067,0.00401938340679374,1.04213274889622e-05,2.30444445048886e-06,0,0,0.001968943146659,0.00206009469242071,1.72619562720438e-07,5.98801772305118e-06,1.09896708551996e-07,6.16063728577161e-06,1.09896708551996e-07,0,0,0
POL,Poland,25,0.000711930467275749,0.0119109182418991,0.000515350906337195,0.0131381996155121,7.08662276286361e-05,0.0105775195845975,0.00175519248362355,6.88188755295645e-05,0,0,0.000645141489845254,0.00458329020220635,0.00211806091855559,0.000907915662821939,2.72371298932388e-05,0.00302597658137753,2.72371298932388e-05,0,0,0,0.000228181143737287,0.00415764126343231,0.000200962534298724,0.00458678494146833,2.73503158427641e-05,0.00358868557975878,0.000645266228709135,2.5133517526151e-05,0,0,0.000254198902874088,0.00160870129311791,0.000850307440836913,0.000391631463148106,1.23081033633692e-05,0.00124193890398502,1.23081033633692e-05,0,0,0
QAT,Qatar,25,0.280035733921684,0.0536622040081856,0.53187531349298,0.865573251422849,3.67263893052431e-08,0.000258433498922586,0.00868814551724457,3.30384414448782e-08,0,0,4.6259192823496e-05,4.65389053506832e-05,9.43798117671863e-07,7.24306087151671e-07,1.45863344344692e-07,1.66810420482353e-06,1.45863344344692e-07,0,0,0,0.153851288266164,0.0284340921293109,0.280949874654494,0.463235255049969,1.85579252844214e-08,0.000119408763198856,0.0041331947586453,1.79835820218604e-08,0,0,1.76758955486793e-05,1.7798691802834e-05,4.81375535887022e-07,3.86721978277079e-07,8.51519148915918e-08,8.680975141641e-07,8.51519148915918e-08,0,0,0
ROU,Romania,25,0.000222638065668796,0.0474838731854713,0.00396740581500903,0.0516739170661491,0.000785720828176305,0.000281270409631348,0.00420715523421196,4.01820488268094e-06,0,0,9.54966694581442e-05,9.99102298947799e-05,0.0111054502555642,0.009897638644869,0.000644649222474035,0.0210030889004332,0.000644649222474035,0,0,0,7.15691598760884e-05,0.0138835582256276,0.00118418626118384,0.0151393136466876,0.000235496382728426,8.04836589912596e-05,0.00125515757511967,1.18978812268053e-06,0,0,2.50358750636013e-05,2.61929557063528e-05,0.00342725609628531,0.00308168591578968,0.000198459583903789,0.00650894201207499,0.000198459583903789,0,0,0
SAU,Saudi Arabia,25,0.677486304008542,0.0895751912627149,0.0267348892206615,0.793796384491918,0.000687696710809393,4.83171558415971e-05,0.00186078378724388,1.05762458960656e-07,0,0,0.00230142470665848,0.00231366751397929,1.21582671868014e-06,1.67236321251767e-06,1.21633351138104e-07,2.88818993119781e-06,1.21633351138104e-07,0,0,0,0.283578793469626,0.0344515419060976,0.0113643210629343,0.329394656438658,0.000193751469368095,1.98753072457529e-05,0.000558425132071119,4.28994847736635e-08,0,0,0.000756437727940923,0.000761038890630938,5.52026643118725e-07,7.33789297757321e-07,3.64300281611784e-08,1.28581594087605e-06,3.64300281611784e-08,0,0,0
SEN,Senegal,25,0.0154187157715561,0.173517518994534,0.00118751339364913,0.190123748159739,0,4.30642097581513e-05,9.02562249174018e-05,1.67809076364511e-08,0,0,0.0887907492458935,0.0895350672800595,0.000269522914839302,0.000226597118320469,1.55484496120152e-05,0.000496120033159771,1.55484496120152e-05,0,0,0,0.00229453533652104,0.0249239087784488,0.000174180529730978,0.0273926246447009,0,6.3269982313224e-06,1.68448092891331e-05,3.16480568445476e-09,0,0,0.0141866234121294,0.0142927424174163,4.3255374374483e-05,3.15645319254471e-05,2.93278559802971e-06,7.48199062999301e-05,2.93278559802971e-06,0,0,0
SLV,El Salvador,25,9.46284596294591e-08,0.0188804270178598,0.00598518529739691,0.0248657069437164,0,2.00300650144645e-07,6.59754544145774e-07,0,0,0,0.0001454537629683,0.000177245430727145,0.000198844537717144,0.00016892079490576,8.22068898838319e-07,0.000367765332622904,8.22068898838319e-07,0,0,0,1.98101119683335e-08,0.004545633099456,0.00127036664713244,0.00581601955670041,0,5.67317247034911e-08,1.88002757630542e-07,0,0,0,3.51610321037207e-05,4.27061598328267e-05,6.63645933221514e-05,4.15269193951096e-05,2.76159153550221e-07,0.000107891512717261,2.76159153550221e-07,0,0,0
TUR,Turkey,25,2.29863414889487e-05,0.0338184580187119,0.0016120197695277,0.0354534641297286,0.00198697581233528,0.000758129961643502,0.000867254195950404,4.62400269790673e-05,0,0,0.019576405019026,0.0202317313782463,0.00100093267640975,0.000681714159700479,0.000166929058880699,0.00168264683611023,0.000166929058880699,0,0,0,3.10770759629505e-06,0.00626761413154197,0.000274281113340182,0.00654500295247845,0.00035162016652751,0.000143141616412474,0.000170952127828539,9.69609612741422e-06,0,0,0.0035434629396866,0.00367919617007837,0.00015899629101834,0.000134754093170451,3.36152871638837e-05,0.000293750384188791,3.36152871638837e-05,0,0,0
URY,Uruguay,25,1.25533910555556e-07,0.0119497649021953,0.000190179564371481,0.0121400700004774,0,0.000163704800187214,1.16941005382466e-05,2.59108082408742e-07,0,0,0.00740571956799244,0.00740687386165318,0.0175699686384088,0.00123075674204011,0.0885246363633164,0.0188007253804489,0.0885246363633164,0,0,0,1.91948904112291e-08,0.00197604428812954,3.26079866428745e-05,0.00200867146966282,0,2.5409747403033e-05,1.75958758860409e-06,3.27990019886118e-08,0,0,0.00112645096648391,0.00112659587051788,0.00257530627616788,0.000185574928504408,0.0126980817218623,0.00276088120467229,0.0126980817218623,0,0,0
VNM,Vietnam,24,0.0976912293916185,0.00917631942547097,0.000377828348012676,0.107245377165102,0.000151475824941843,0.000188370343284703,0.000616044439661692,8.64950521465626e-08,0,0,0.0010216490178395,0.00107528190015825,2.26871806588101e-05,0.000135097719779313,1.15687569080325e-05,0.000157784900438123,1.15687569080325e-05,0,0,0,0.0447756932300122,0.00489069543285885,0.000270162492294685,0.0499365511551657,7.50374515698641e-05,0.000110660865673969,0.000483407475689772,6.90313477786967e-08,0,0,0.00048332481547411,0.000512229536592901,1.5617285014086e-05,8.86724111835572e-05,5.51774794811213e-06,0.000104289696197643,5.51774794811213e-06,0,0,0
ZAF,South Africa,25,0.0032691052772514,0.0284741861677889,0.000673111036587578,0.0324164024816279,0.00282226188201569,0.00332491781671113,0.0168151509922344,0.00289006760660957,0,0,0.037237640782344,0.0375904723546427,0.000784448719393292,0.00557378205117599,0.000379369374728727,0.00635823077056929,0.000379369374728727,0,0,0,0.000701884569656317,0.00615878610809833,0.000158203829335414,0.00701887450709006,0.000631806855769603,0.00079400717836969,0.00348137225991315,0.000689345924233516,0,0,0.009229157596781,0.00929970123332767,0.00018453675699618,0.0012860396248708,9.63574202242216e-05,0.00147057638186698,9.63574202242216e-05,0,0,0
ZMB,Zambia,25,1.22770807940026e-05,0.00346791374850656,0.000563550149273569,0.00404374097857413,0.0182000802990306,0.588489885178197,0.000109041447500147,2.30387931291169e-06,0,0,0.00842330412584166,0.00871702525188599,6.34867454570829e-05,0.0114316856184317,0.00104598651307457,0.0114951723638888,0.00104598651307457,0,0,0,3.89667142578948e-06,0.000927428727184955,0.000182132474458491,0.00111345787306924,0.00550815931496733,0.198067968998364,4.29975287080995e-05,8.7141580014332e-07,0,0,0.00277354024596058,0.00284525037017305,2.03822960704515e-05,0.00374740598143959,0.000352992937535759,0.00376778827751004,0.000352992937535759,0,0,0
