iso3,year,exports_energy_usd,exports_industrial_metals_usd,exports_precious_usd,exports_agriculture_usd,exports_livestock_usd,total_exports_usd,gdp_usd,share_energy,expgdp_energy,share_industrial_metals,expgdp_industrial_metals,share_precious,expgdp_precious,share_agriculture,expgdp_agriculture,share_livestock,expgdp_livestock
PAK,2009,709678588,7797038,0,222350943,0,17554698477,1.87074e+11,0.040426703365473,0.00379357146369886,0.000444156760095629,4.16788971209254e-05,0,0,0.0126661784189186,0.00118857213188364,0,0
PAK,2010,1196582592,26560309,0,220300511,0,21413102681,1.96712e+11,0.0558808599494428,0.00608291610069543,0.00124037648329997,0.000135021295091301,0,0,0.0102881172468049,0.0011199139401765,0,0
PAK,2011,1310427261,40095883,368888,1106392963,0,25343768655,2.30577e+11,0.0517060930771032,0.00568325228014937,0.00158208053213466,0.000173893679768581,1.45553727632857e-05,1.59984733950047e-06,0.043655423866163,0.00479836654566587,0,0
PAK,2012,329472177,47848853,9988,687133948,0,24613675622,2.50094e+11,0.0133857365336169,0.0013173933680936,0.00194399462050406,0.000191323474373636,4.05790673176525e-07,3.9936983694131e-08,0.0279167548379419,0.00274750273097315,0,0
PAK,2013,525481223,34138773,8681,779370968,0,25120883202,2.58674e+11,0.0209181030290433,0.00203144198102631,0.00135897980678012,0.0001319760509367,3.45569060219541e-07,3.35596155779089e-08,0.0310248235196584,0.00301294667419223,0,0
PAK,2014,647286341,23628076,0,483782389,0,24722182145,2.71422e+11,0.0261824112937746,0.00238479688824045,0.00095574394935759,8.70529139126526e-05,0,0,0.0195687575701259,0.00178239932282571,0,0
PAK,2015,261707675,9043178,0,354839518,0,22089018057,2.9993e+11,0.0118478636906662,0.000872562514586737,0.000409397012427821,3.01509618911079e-05,0,0,0.0160640693526687,0.00118307444403694,0,0
PAK,2016,153852540,7123877,0,181534746,0,20533792833,3.13623e+11,0.00749265083422594,0.000490565232779484,0.000346934297912618,2.27147785717247e-05,0,0,0.00884078004859649,0.000578831099759903,0,0
PAK,2017,257341986.012,27943319.451,2063.832,412952459.274,0,21877787164.442,3.39229e+11,0.0117627063504054,0.000758608450374231,0.00127724615112886,8.23730266309779e-05,9.4334586239798e-08,6.08389023344113e-09,0.0188754217311873,0.0012173265235991,0,0
PAK,2018,497997188.158,142130423.077,916.788,729510563.231,0,23630892979.71,3.56163e+11,0.0210739893996216,0.0013982283060228,0.0060146022919674,0.000399060045757139,3.87961640208508e-08,2.57406861465116e-09,0.0308710535762391,0.00204824915342413,0,0
PAK,2019,371342214.598,315514915.61,28.276,338969279.454,0,23748680252.551,3.21071e+11,0.0156363305518045,0.00115657351364029,0.013285576809099,0.000982695153439582,1.19063458260855e-09,8.80677482550589e-11,0.0142731838506095,0.00105574554990641,0,0
PAK,2020,188913535.332,413994749.331,1933.482,17454165.13,0,22237163374.553,3.0041e+11,0.00849539719387871,0.000628852352891049,0.0186172463797587,0.00137809909567258,8.69482301961486e-08,6.43614393661995e-09,0.000784909695360407,5.81011455344363e-05,0,0
PAK,2021,198137863.823,846436154.081,419.824,110198015.537,0,28795179085.962,3.48481e+11,0.00688093875823799,0.000568575801329197,0.0293950647625473,0.00242893057033525,1.45796627535013e-08,1.20472565218764e-09,0.00382696058975799,0.000316223884622117,0,0
PAK,2022,355525077.424,932893834.434,3487.444,277035632.271,0,30769091836.46,3.7485e+11,0.0115546171890169,0.000948446251631319,0.0303191865197842,0.00248871237677471,1.13342441776833e-07,9.30357209550487e-09,0.00900369870334376,0.000739057308979592,0,0
PAK,2023,138790624.166,851388416.671,2935.062,565954277.78,0,28746392443.932,3.36555e+11,0.00482810580272646,0.000412386160259096,0.0296172265209131,0.0025297155492297,1.02101924814554e-07,8.72089851584436e-09,0.0196878366175463,0.00168161007199418,0,0
