iso3,country,year,share_crude_oil,expgdp_crude_oil,share_copper_total,expgdp_copper_total
CHL,Chile,2015,0,0,0.262616649864817,0.0672670924717935
CHL,Chile,2016,0,0,0.24308218718095,0.0592516272686057
CHL,Chile,2017,0,0,0.250384068621611,0.0624277958530705
CHL,Chile,2018,0,0,0.233792700404055,0.0592244937920576
CHL,Chile,2019,0,0,0.215884392002447,0.0534136126500935
CHL,Chile,2020,0.000160242051916512,4.6724595213729e-05,0.224191447475457,0.0653714459368535
CHL,Chile,2021,0,0,0.247393414198893,0.0742599943407142
CHL,Chile,2022,0.000383902846022306,0.000125589387526139,0.214048419450248,0.0700234712459853
CHL,Chile,2023,0.000202369651280646,5.72423228464933e-05,0.201136061369016,0.0568933893402349
CHL,Chile,2024,0.000102055953693605,3.0626225765422e-05,0.190770046009446,0.0572486590631053
CIV,Ivory Coast,2000,0.0192068118544787,0.00467043613224699,1.35686995663327e-08,3.29944111507643e-09
CIV,Ivory Coast,2001,0.0151412438150431,0.00356879231514369,6.77294477529278e-07,1.59638359702938e-07
CIV,Ivory Coast,2002,0.0182822270348081,0.00531503388150222,1.45427852902476e-07,4.22789829717751e-08
CIV,Ivory Coast,2003,0.0355508510906014,0.00893041625011789,1.61067096924815e-07,4.04602470998774e-08
CIV,Ivory Coast,2004,0.0450957460687192,0.0129418265573198,5.32007366280395e-08,1.5267841563427e-08
CIV,Ivory Coast,2005,0.0698139838393367,0.0214173924489969,1.03339759028983e-07,3.17023618047913e-08
CIV,Ivory Coast,2006,0.160821284304158,0.0532048601185642,2.3319362647532e-09,7.71479616696443e-10
CIV,Ivory Coast,2007,0.128341711541016,0.0367719331628667,2.05721249755489e-06,5.89423964770225e-07
CIV,Ivory Coast,2008,0.156131829708404,0.04517064153187,1.61189828605107e-06,4.66339757889414e-07
CIV,Ivory Coast,2009,0.111224960922268,0.0340201808641558,4.72607273358948e-08,1.44555545662304e-08
CIV,Ivory Coast,2010,0.106127021744825,0.0317022039635213,2.52416361645832e-07,7.54016729110395e-08
CIV,Ivory Coast,2011,0.118200981839212,0.0369603853272538,3.0033211347466e-06,9.39111542683442e-07
CIV,Ivory Coast,2012,0.115602893960377,0.0339064254242506,3.276653855599e-06,9.61045314609776e-07
CIV,Ivory Coast,2013,0.0698217026951115,0.0221973921483992,7.44957079829299e-07,2.36833302489127e-07
