date,SPX_Index,MXEF_Index,VIX_Index,MOVE_Index,DXY_Curncy,JPEIDIVR_Index,USGG10YR_Index,USGG2YR_Index,USGG30YR_Index,r_SPX_Index,r_MXEF_Index,r_VIX_Index,r_MOVE_Index,r_DXY_Curncy,r_JPEIDIVR_Index,d_USGG10YR_Index,d_USGG2YR_Index,d_USGG30YR_Index
2000-04-07,1516.35,500.3,24.39,106.45,105.97,179.79,5.853,6.366,5.709,0.0117881382164251,0.00180054064848623,0.0115465200347491,0.0396679714486403,0.00501396443254798,-0.00803261666073318,-0.151,-0.113,-0.119000000000001
2000-04-14,1356.56,464.27,33.49,106.93,105.47,178.33,5.85,6.235,5.776,-0.111354047669304,-0.0747416389523297,0.317073674578285,0.00449902342907649,-0.00472948289822206,-0.00815373667378161,-0.00300000000000011,-0.130999999999999,0.0670000000000002
2000-04-21,1434.54,450.56,25.85,123.75,107.45,178.04,5.987,6.362,5.827,0.0558921567140249,-0.0299750260122069,-0.258936285851675,0.146088986680234,0.018599070799997,-0.00162752231676855,0.137,0.127,0.0510000000000002
2000-04-28,1452.43,451.36,26.2,104.44,110.14,177.76,6.212,6.676,5.96,0.0123937754807768,0.00177399372406306,0.0134488098126129,-0.169650657617871,0.0247266607458156,-0.00157391825633368,0.225,0.314,0.133
2000-05-05,1432.63,446.25,27.53,103.83,111.31,173.15,6.505,6.824,6.188,-0.0137260998860507,-0.0113859141598374,0.0495169083874649,-0.00585779751556625,0.0105668176707994,-0.0262760550428895,0.293,0.148,0.228
2000-05-12,1420.96,431.91,26.05,108.99,109.9,170.13,6.512,6.897,6.201,-0.00817921639742902,-0.0326620998874745,-0.05525855095514,0.048501188585858,-0.0127482400955588,-0.0175954201543842,0.00699999999999967,0.0730000000000004,0.0129999999999999
2000-05-19,1406.95,425.34,25.44,110.17,111.47,170.57,6.494,6.84,6.206,-0.00990845862994583,-0.0153283841113927,-0.0236950297274547,0.0107684924507536,0.0141846349919561,0.00258291895873519,-0.0179999999999998,-0.0570000000000004,0.00500000000000078
2000-05-26,1378.02,410.21,24.47,108.89,109.12,171.48,6.331,6.672,6.059,-0.0207765546238692,-0.0362196254018246,-0.0388748610173413,-0.011686428994004,-0.0213073023063801,0.00532087207699483,-0.162999999999999,-0.168,-0.147
2000-06-02,1477.26,448.7,21.48,103.78,108.12,178.1,6.152,6.51,5.945,0.0695413342814062,0.0896852892887807,-0.130325607813916,-0.0480649244183757,-0.00920647268690544,0.0378785485658399,-0.179,-0.162,-0.114
2000-06-09,1456.95,453.12,22.14,98.23,106.99,179.25,6.126,6.542,5.895,-0.0138438110213359,0.00980247808336276,0.0302636576398267,-0.0549616062528155,-0.0105063492577315,0.00643628918411299,-0.0259999999999998,0.032,-0.0500000000000007
2000-06-16,1464.46,443.93,20.5,102.64,105.96,180.67,5.971,6.35,5.869,0.0051413643021947,-0.0204900987200078,-0.0769610411361281,0.0439160526206024,-0.00967370774664644,0.00789068330610654,-0.155,-0.192,-0.0259999999999998
2000-06-23,1441.48,439.09,22.34,92.95,108.1,179.44,6.185,6.539,6.041,-0.0158162102727886,-0.010962488892563,0.085953907496692,-0.099166006139928,0.0199950602412935,-0.00683127257388261,0.214,0.189,0.172000000000001
