date,CO1_Comdty,CL1_Comdty,BCOMIN_Index,BCOMEN_Index,BCOMAG_Index,BCOMPR_Index,BCOM_Index,HG1_Comdty,LA1_Comdty,LN1_Comdty,CVT1_Comdty,HRC1_Comdty,FC1_Comdty,LC1_Comdty,W_1_Comdty,S_1_Comdty,C_1_Comdty,IOE1_Comdty,GC1_Comdty,r_CO1_Comdty,r_CL1_Comdty,r_BCOMIN_Index,r_BCOMEN_Index,r_BCOMAG_Index,r_BCOMPR_Index,r_BCOM_Index,r_HG1_Comdty,r_LA1_Comdty,r_LN1_Comdty,r_CVT1_Comdty,r_HRC1_Comdty,r_FC1_Comdty,r_LC1_Comdty,r_W_1_Comdty,r_S_1_Comdty,r_C_1_Comdty,r_IOE1_Comdty,r_GC1_Comdty
2004-06-11,35.44,38.45,85.0693,302.7552,71.6605,68.3188,145.7751,117.3,1629.25,12910,,,107.5,86.75,350.5,847,285.75,,385.9,-0.00646887363392024,-0.00103977134400157,-0.0199479884061482,0.00149076300120043,-0.0304997589890803,-0.0124646599612817,-0.0162641942212582,-0.0486683689071175,-0.0117459972992959,0.0785269450677575,,,-0.0104107360178389,-0.0423194318789122,-0.0541422991636251,0.0100861133887911,-0.075793839369533,,-0.0128735042553361
2004-06-18,36.21,38.75,88.1139,310.0927,70.0595,70.2428,147.2155,119.25,1714.5,14760,,,109.8,86.55,352.75,872,274.5,,395.1,0.0214941980406698,0.00777205984770291,0.0351640773160717,0.0239467268626283,-0.0225948082417746,0.0277728269348323,0.00983247656761232,0.0164873741090208,0.0510017066904851,0.133918614313775,,,0.0211696815077129,-0.00230813720474998,0.00639888425827895,0.0290887292569249,-0.0401660417253353,,0.0235606288737715
2004-06-25,34.97,37.55,88.8088,302.4772,70.9438,71.68,147.0314,120.95,1726.25,14975,,,114.15,89.6,341.25,920.5,276.25,,402.9,-0.0348447727022654,-0.0314573775892124,0.00785544843491337,-0.0248653823065572,0.0125431333010466,0.0202539568085944,-0.00125133025375845,0.0141551072875856,0.00682993282052724,0.0144613248291865,,,0.0388528439003748,0.0346330383586659,-0.0331442442337542,0.0541275767641531,0.00635499188237709,,0.019549494779957
2004-07-02,35.92,38.39,88.998,305.7595,67.6522,70.6719,145.1736,122,1713.25,15360,,,108.4,85.325,335,939.5,255.25,,398.7,0.0268036923587145,0.0221236308025627,0.00212815338229877,0.0107929424916682,-0.0475081398917583,-0.0141637288010532,-0.0127159017325713,0.00864380767722039,-0.00755927425756919,0.0253845837180133,,,-0.0516852839702588,-0.048887825188114,-0.0184848146741032,0.0204308181803876,-0.0790627957871877,,-0.0104791378099929
2004-07-09,37.05,39.96,91.8456,314.5005,66.7743,73.3251,147.0961,128.1,1746.25,15705,,,112.55,84.3,330,954,242.25,,407.9,0.0309741083080968,0.0400819447676466,0.031495008752545,0.0281868207432172,-0.0130615984373295,0.036854938788303,0.0131558470015003,0.0487901641694322,0.0190784801052386,0.0222124052710839,,,0.0375694783471952,-0.012085629784961,-0.0150378773645405,0.0153158525947665,-0.0522732062738989,,0.0228127919362038
2004-07-16,38,41.25,91.8313,314.9189,66.5673,73.9647,146.6498,131.35,1743,14970,,,108.525,83.075,333.25,707.5,239,,406.8,0.02531780798429,0.031772159000337,-0.000155708203142702,0.00132947939522499,-0.00310480999608931,0.00868497370962995,-0.00303868304825805,0.02505430722886,-0.00186286505115074,-0.0479309345590728,,,-0.0364170061670839,-0.0146380507671511,0.00980030459829262,-0.298926041930894,-0.0135066988393646,,-0.00270038214910784
2004-07-23,38.27,41.71,87.7092,321.212,64.476,70.6391,145.2327,124.7,1661.75,14155,,,114.7,86.9,328.75,669.5,223.75,,390.5,0.00708013971122545,0.0110897954281639,-0.0459264011640617,0.0197861959155414,-0.0319204044451222,-0.0460041368058644,-0.00971014798412639,-0.0519546634455583,-0.0477365025983296,-0.0559802798676738,,,0.055339462949668,0.0450142180306878,-0.0135953755668439,-0.0552064643861661,-0.0659341947765464,,-0.0408936948946641
2004-07-30,40.03,43.8,90.4798,329.5241,62.1371,71.4102,146.4138,130.8,1696.5,13965,,,114.65,85.725,312.25,599.5,217.25,,391,0.0449628735668712,0.0488929091735466,0.0310998244173062,0.025548151115677,-0.0369498274711653,0.010856900727596,0.00809957573281839,0.0477585863371077,0.0206960413025934,-0.0135137191667223,,,-0.000436014831411313,-0.0136135339223626,-0.0514934344862876,-0.110435190663658,-0.0294805930094633,,0.00127959070562511
2004-08-06,40.63,43.95,88.1465,319.9868,62.6443,73.1715,144.8048,127.8,1675.5,13075,,,114.05,84.55,315.75,606.75,225.75,,399.8,0.014877536995153,0.00341880674878547,-0.026126418364778,-0.0293697474478263,0.0081294614954226,0.024365284605528,-0.0110502308064175,-0.0232028970796643,-0.0124556770469191,-0.0658521894461543,,,-0.00524706057351665,-0.0138014230043941,0.0111466122249135,0.0120208701391418,0.0383794281515932,,0.0222568620809342
2004-08-13,43.88,46.58,90.3136,333.0884,61.7069,72.5819,146.8723,131.8,1718,13590,,,116.55,87.55,299.5,652,217.75,,398.9,0.076951925407394,0.0581186403250089,0.0242878551559729,0.0401281752732201,-0.0150769394578054,-0.00809042143805705,0.0141768731772665,0.0308190801249726,0.0250491953668348,0.0386322182120669,,,0.0216834167513689,0.0348669833872712,-0.0528363436750965,0.0719277173199426,-0.0360805765644825,,-0.00225366315493947
2004-08-20,43.54,47.86,89.4505,337.9466,63.8363,75.1962,148.4827,126.85,1730,13795,,,118.175,85.025,312,594.75,231.25,,413.2,-0.007778579600628,0.0271088180240322,-0.00960265850934228,0.0144799746197055,0.0339262379673384,0.0353851183113632,0.0109049513890689,-0.0382803360231154,0.00696058494762397,0.0149719795061962,,,0.0138462111975342,-0.0292647278386013,0.0408887702539786,-0.0919034127435863,0.0601517606599229,,0.0352209783341229
2004-08-27,40.64,43.18,87.9084,312.9878,63.1961,73.0168,142.6336,125.9,1691,12830,,,112.1,82.875,301.5,600.5,220.25,,403.3,-0.068927252536175,-0.102902657393566,-0.0173900363888331,-0.0767236826911706,-0.0100794036804928,-0.0294111461068818,-0.040189348791186,-0.00751734499498991,-0.0228013385932444,-0.072520029041705,,,-0.0527752466011862,-0.0256118823872331,-0.0342331716422422,0.00962149233697129,-0.0487361115762459,,-0.0242510353661611
2004-09-03,41.23,43.99,85.9669,312.3043,64.3963,72.5274,142.8045,124.05,1642.5,12450,,,109.4,82.725,308,614.75,223.5,,401,0.0144133434485823,0.018584910273967,-0.0223330248193694,-0.00218617913843921,0.0188135876556661,-0.00672513016007148,0.00119745766540014,-0.0148032309124915,-0.0291005985398147,-0.0300655557168277,,,-0.0243804400902334,-0.00181159469835013,0.0213297668063337,0.023453039576264,0.0146481492373347,,-0.00571927457275301
2004-09-10,40.2,42.81,88.2508,307.5545,62.5512,71.3499,141.6543,128.1,1695.25,12275,,,112.3,85.025,323,563,210.75,,402.3,-0.025299151093833,-0.0271906152037738,0.0262204224822975,-0.0153257256917572,-0.0290707566624731,-0.0163684791169993,-0.00808697968570726,0.0321264987648791,0.0316107512051866,-0.0141559492301333,,,0.0261629717565173,0.0274234770855832,0.0475525402490824,-0.0879360529566116,-0.0587388171716592,,0.00323665164917308
2004-09-17,42.45,45.59,89.1805,325.8697,61.442,72.2269,144.9174,130.2,1705.5,12880,,,114.65,85.45,333.25,553,215.25,,406.1,0.0544599171323807,0.0629166740684957,0.0104796448937483,0.0578453009020095,-0.0178917809882329,0.0122166103066288,0.0227743426047002,0.0162605208717794,0.00602810029474821,0.0481110469956239,,,0.0207101475595159,0.00498607866834089,0.0312406358361619,-0.0179216266173556,0.021127546425876,,0.00940135573651002
2004-09-24,45.33,48.88,94.2368,348.0326,60.2305,72.93,149.3367,136.2,1799,14645,,,115.15,84.475,321.75,523.5,205.25,,408.1,0.0656421521954016,0.0696799206379897,0.0551483576475045,0.065798545331333,-0.0199147718608952,0.00968752430934572,0.0300395632025987,0.0450526639409432,0.0533726320918335,0.128423259603489,,,0.00435161696278019,-0.0114757769612464,-0.0351181125825821,-0.0548209712117433,-0.0475713949753027,,0.00491280771950731
2004-10-01,46.62,50.12,97.9751,364.3754,60.0283,76.0451,153.3178,140.4,1833,16048,,,112.525,85.875,303.75,534.5,206,,419.5,0.028060568654853,0.0250518151645274,0.0389026012843345,0.0458885013264405,-0.00336275084303672,0.0418265083381737,0.0263094031999671,0.0303710978762997,0.0187230138891712,0.0914852509398845,,,-0.0230602070876973,0.0164371179421599,-0.0575698518214782,0.0207947001545081,0.00364742045704336,,0.0275512834955007
2004-10-08,49.71,53.31,102.3919,385.311,59.5635,77.5823,157.7358,146.95,1903,17030,,,113.1,86.225,303.25,528.5,204.5,,423.1,0.0641764864989702,0.0617038008068023,0.0440942431605018,0.0558661455327378,-0.00777314732843148,0.0200127230542364,0.0284085901862197,0.0455969012732149,0.0374776194564443,0.0593922634550168,,,0.00509696394307824,0.00406740828039087,-0.00164744683059848,-0.0112889251548074,-0.0073081933067245,,0.00854503181876165
2004-10-15,49.93,54.93,92.4979,386.3844,59.4833,76.4321,154.9765,130.9,1833.5,13955,,,114.125,86.925,319.25,514,206.75,,418.7,0.00441590440593664,0.029935716519859,-0.101621666356247,0.0027819284455104,-0.00134736947373515,-0.0149365433892799,-0.01764798900017,-0.115658719949072,-0.0372048797847686,-0.199138627686311,,,0.00902195579305776,0.00808551907102029,0.0514169470884891,-0.0278195398551269,0.0109423584209436,,-0.0104538847009241
2004-10-22,51.22,55.17,91.4944,407.8986,59.094,77.8437,158.1304,130.55,1777,13290,,,113.2,87.75,308.5,530,201.75,,424.6,0.0255080562588614,0.00435967992981112,-0.0109081733352134,0.0541858852512878,-0.00656620447122336,0.0183002051506511,0.0201465165746857,-0.00267737777071631,-0.0313001593567295,-0.0488259942631313,,,-0.00813817314605014,0.00944618445205059,-0.0342526515672059,0.0306537410910019,-0.0244810267537421,,0.0139928762440578
2004-10-29,48.98,51.76,94.4712,388.7701,59.0795,78.2431,155.5494,133.75,1847,13920,,,109.2,87.85,316.5,527.5,202.5,,429.4,-0.0447180292473575,-0.0638016770916949,0.0320172579228348,-0.0480304477669522,-0.000245401889134023,0.00511767646861205,-0.0164566430407191,0.0242160906309774,0.0386361520445888,0.0463147821811187,,,-0.035975102458278,0.00113895228713101,0.0256013982387886,-0.00472814119594567,0.00371057939653596,,0.0112413361755248
2004-11-05,46.42,49.61,96.0043,366.4353,58.3759,79.5049,152.2651,136.3,1840.5,14398,,,107.4,82.45,306.5,505,199.5,,434.3,-0.0536816506777309,-0.0424252238796874,0.0160979559857974,-0.0591661953828266,-0.0119808610973875,0.0159980083625042,-0.0213402854015552,0.0188859529263716,-0.00352542738016393,0.0337626531408386,,,-0.0166208812360402,-0.0634387656274988,-0.0321054862079651,-0.0435904360748616,-0.0149256502166759,,0.011346654096096
2004-11-12,42.31,47.32,96.9716,348.8689,59.1833,80.402,150.6085,139.45,1816,14750,,,107.925,85.625,302.75,523.5,200,,438.3,-0.0927069361143147,-0.0472593872027716,0.0100251699973839,-0.0491257640229232,0.0137362740701024,0.0112203965163786,-0.0109393259779145,0.0228477753710106,-0.0134009936578376,0.0241537747387177,,,0.00487635936677666,0.0377852475767817,-0.0123103729430643,0.0359786010352314,0.00250313021811799,,0.00916806788398716
2004-11-19,44.89,48.44,97.1063,358.3605,60.5711,81.4728,153.0469,143.2,1793.25,13705,,,100.625,84.8,309.75,550.5,199.25,,447,0.0591915880618648,0.0233928795747054,0.0013881026291882,0.026843256042266,0.0231784741344283,0.0132301707137446,0.0160606556914837,0.0265361404530475,-0.0126066641546947,-0.0734823530310802,,,-0.0700358057028137,-0.00968175378453218,0.0228581380760495,0.0502899258521428,-0.00375704887771189,,0.0196549871888054
2004-11-26,44.57,49.44,99.0159,370.5959,60.5043,81.8106,156.2232,143.85,1856,14136,,,102.9,90.2,291.25,548.5,197,,449.3,-0.00715406583537659,0.0204338944645439,0.0194741885414658,0.0335727876758005,-0.00110344474233237,0.00413759735428965,0.02054134353767,0.00452883547101202,0.0343940183396025,0.0309640052626463,,,0.0223569071012761,0.0617338842707209,-0.0615835156293407,-0.00363967644744978,-0.0113565889323359,,0.00513222146254488
2004-12-03,39.36,42.54,96.4787,309.4974,60.2243,83.7989,145.2207,143.5,1811,12987,,,101.9,87.3,291,525.75,196.25,,456,-0.124310914774412,-0.150315003377344,-0.0259581847065178,-0.180162559206048,-0.00463851153802697,0.0240130613447844,-0.0730310996921002,-0.00243605479788123,-0.024544455462733,-0.0847758778894416,,,-0.00976570261132448,-0.0326789642230212,-0.000858737708417934,-0.0423614651324753,-0.00381437207547108,,0.0148019934382724
2004-12-10,37.38,40.71,93.5461,303.1505,59.3157,76.833,141.2706,140.15,1780,12670,,,100.575,85.5,284,533,193.5,,433.9,-0.051614270156636,-0.0439710472572035,-0.0308678956782131,-0.0207203095782749,-0.0152018989105311,-0.0867856455458487,-0.0275774541123806,-0.0236217575888791,-0.0172658145972822,-0.0247118627949057,,,-0.0130882223928275,-0.0208340869028421,-0.0243490290102866,0.013695609583035,-0.0141118441926809,,-0.0496787167100816
2004-12-17,43.39,46.28,98.1145,335.0037,60.7392,77.9928,149.5043,147.25,1833.5,13565,,,103.25,88.35,304.25,548.75,204.5,,441.6,0.149093197782843,0.128236139810588,0.0476808010928629,0.0999121946753059,0.0237152621957986,0.014982279372278,0.0566479548581205,0.0494185449208988,0.0296133442252495,0.0682559517778465,,,0.0262495140052907,0.0327898228229904,0.0688754937064307,0.029121540223537,0.0552904630130202,,0.0175904021585804
