date,fx_ticker,fx_level,r_fx
2016-10-07,USDMXN_Curncy,19.3009,-0.0043581613773318
2016-10-14,USDMXN_Curncy,19.0079,-0.0152970447243135
2016-10-21,USDMXN_Curncy,18.5946,-0.0219834662368834
2016-10-28,USDMXN_Curncy,18.9844,0.0207463732997866
2016-11-04,USDMXN_Curncy,19.0266,0.00222041079360968
2016-11-11,USDMXN_Curncy,20.8492,0.0914775781239858
2016-11-18,USDMXN_Curncy,20.6435,-0.00991507832334593
2016-11-25,USDMXN_Curncy,20.6538,0.000498821967226615
2016-12-02,USDMXN_Curncy,20.6281,-0.00124509789133498
2016-12-09,USDMXN_Curncy,20.3894,-0.0116390659925827
2016-12-16,USDMXN_Curncy,20.4395,0.00245414523268117
2016-12-23,USDMXN_Curncy,20.6095,0.00828283134338159
2016-12-30,USDMXN_Curncy,20.7272,0.0056947128378253
2017-01-06,USDMXN_Curncy,21.2217,0.0235773956998178
2017-01-13,USDMXN_Curncy,21.4765,0.0119350710144466
2017-01-20,USDMXN_Curncy,21.5877,0.00516439395836166
2017-01-27,USDMXN_Curncy,20.8863,-0.0330302664078155
2017-02-03,USDMXN_Curncy,20.3631,-0.0253690022187252
2017-02-10,USDMXN_Curncy,20.3461,-0.000835192093590287
2017-02-17,USDMXN_Curncy,20.4292,0.00407600263152075
2017-02-24,USDMXN_Curncy,19.9115,-0.0256677956981219
2017-03-03,USDMXN_Curncy,19.51,-0.0203702996288584
2017-03-10,USDMXN_Curncy,19.6086,0.00504109087783045
2017-03-17,USDMXN_Curncy,19.0772,-0.0274743407857305
2017-03-24,USDMXN_Curncy,18.7579,-0.0168789077133318
2017-03-31,USDMXN_Curncy,18.7249,-0.00176080807870393
2017-04-07,USDMXN_Curncy,18.6662,-0.00313978718055008
2017-04-14,USDMXN_Curncy,18.521,-0.0078091783138694
2017-04-21,USDMXN_Curncy,18.8112,0.0155472136906747
2017-04-28,USDMXN_Curncy,18.8206,0.000499577495389758
2017-05-05,USDMXN_Curncy,18.988,0.00885518606234248
2017-05-12,USDMXN_Curncy,18.8206,-0.00885518606234248
2017-05-19,USDMXN_Curncy,18.7276,-0.00495364306006207
2017-05-26,USDMXN_Curncy,18.5157,-0.0113793507323998
2017-06-02,USDMXN_Curncy,18.6812,0.00889864973183352
2017-06-09,USDMXN_Curncy,18.1721,-0.0276302197124805
2017-06-16,USDMXN_Curncy,17.9129,-0.0143663271740593
2017-06-23,USDMXN_Curncy,18.0072,0.00525055423793086
2017-06-30,USDMXN_Curncy,18.1203,0.00626117885167821
2017-07-07,USDMXN_Curncy,18.0912,-0.00160722457032625
2017-07-14,USDMXN_Curncy,17.564,-0.0295742794993727
2017-07-21,USDMXN_Curncy,17.6542,0.00512236271170696
2017-07-28,USDMXN_Curncy,17.7769,0.00692614626744392
2017-08-04,USDMXN_Curncy,17.889,0.00628613713045656
2017-08-11,USDMXN_Curncy,17.8321,-0.00318579484531734
2017-08-18,USDMXN_Curncy,17.7107,-0.00683122725843921
2017-08-25,USDMXN_Curncy,17.6151,-0.00541248794838811
2017-09-01,USDMXN_Curncy,17.8139,0.0112225626746212
2017-09-08,USDMXN_Curncy,17.7114,-0.00577055137780969
2017-09-15,USDMXN_Curncy,17.6607,-0.00286666806438651
2017-09-22,USDMXN_Curncy,17.7454,0.00478449541604675
2017-09-29,USDMXN_Curncy,18.2545,0.0282852975708572
2017-10-06,USDMXN_Curncy,18.5304,0.0150010017043161
2017-10-13,USDMXN_Curncy,18.9112,0.0203417124639556
2017-10-20,USDMXN_Curncy,18.9965,0.00450041252674716
2017-10-27,USDMXN_Curncy,19.133,0.00715984123158409
2017-11-03,USDMXN_Curncy,19.2032,0.00366233891019085
2017-11-10,USDMXN_Curncy,19.1017,-0.00529959548560122
2017-11-17,USDMXN_Curncy,18.9173,-0.0097004890182899
2017-11-24,USDMXN_Curncy,18.5575,-0.0192028272996003
2017-12-01,USDMXN_Curncy,18.6333,0.00407628257301296
2017-12-08,USDMXN_Curncy,18.9292,0.0157554007841969
2017-12-15,USDMXN_Curncy,19.1175,0.00989844256946837
2017-12-22,USDMXN_Curncy,19.7498,0.0325392187773348
2017-12-29,USDMXN_Curncy,19.659,-0.00460811598810862
2018-01-05,USDMXN_Curncy,19.1793,-0.02470367628655
2018-01-12,USDMXN_Curncy,19.0371,-0.0074418656005566
2018-01-19,USDMXN_Curncy,18.6353,-0.0213320752977921
2018-01-26,USDMXN_Curncy,18.4901,-0.00782217782733552
2018-02-02,USDMXN_Curncy,18.5949,0.00565189585960946
2018-02-09,USDMXN_Curncy,18.7006,0.00566825933446324
2018-02-16,USDMXN_Curncy,18.5249,-0.00943983585038843
2018-02-23,USDMXN_Curncy,18.5545,0.00159657417798842
2018-03-02,USDMXN_Curncy,18.8225,0.0143406155072325
2018-03-09,USDMXN_Curncy,18.6209,-0.0107683569378008
2018-03-16,USDMXN_Curncy,18.6901,0.00370936610360673
2018-03-23,USDMXN_Curncy,18.5255,-0.00884581053672795
2018-03-30,USDMXN_Curncy,18.1812,-0.0187600681995654
2018-04-06,USDMXN_Curncy,18.2896,0.00594449911772399
2018-04-13,USDMXN_Curncy,18.0447,-0.0134805794367305
2018-04-20,USDMXN_Curncy,18.5298,0.0265282340782247
2018-04-27,USDMXN_Curncy,18.6129,0.00447464178184198
2018-05-04,USDMXN_Curncy,19.2714,0.0347672428648962
2018-05-11,USDMXN_Curncy,19.4248,0.00792846861280161
2018-05-18,USDMXN_Curncy,19.9527,0.0268138723339186
2018-05-25,USDMXN_Curncy,19.5435,-0.0207217221953706
2018-06-01,USDMXN_Curncy,19.9395,0.0200599386646676
2018-06-08,USDMXN_Curncy,20.29,0.0174254648440968
2018-06-15,USDMXN_Curncy,20.6268,0.0164630473022509
2018-06-22,USDMXN_Curncy,20.0118,-0.030269101567554
2018-06-29,USDMXN_Curncy,19.9078,-0.00521048483915365
2018-07-06,USDMXN_Curncy,19.0413,-0.0445013103899123
2018-07-13,USDMXN_Curncy,18.8913,-0.00790880571668096
2018-07-20,USDMXN_Curncy,19.0234,0.00696830171589014
2018-07-27,USDMXN_Curncy,18.6299,-0.0209019834299995
2018-08-03,USDMXN_Curncy,18.562,-0.00365133673936269
2018-08-10,USDMXN_Curncy,18.91,0.018574402497165
2018-08-17,USDMXN_Curncy,18.8906,-0.0010264388238963
2018-08-24,USDMXN_Curncy,18.9111,0.00108460741234628
2018-08-31,USDMXN_Curncy,19.085,0.00915363493837695
2018-09-07,USDMXN_Curncy,19.3177,0.0121190878814006
2018-09-14,USDMXN_Curncy,18.8888,-0.0224526202579769
2018-09-21,USDMXN_Curncy,18.8287,-0.00318685230276472
2018-09-28,USDMXN_Curncy,18.7183,-0.00588064655787424
2018-10-05,USDMXN_Curncy,18.8246,0.00566287016025679
2018-10-12,USDMXN_Curncy,18.8599,0.00187344984408444
2018-10-19,USDMXN_Curncy,19.2827,0.0221703459069618
2018-10-26,USDMXN_Curncy,19.3609,0.0040472474999409
2018-11-02,USDMXN_Curncy,20.0141,0.0331814567870081
2018-11-09,USDMXN_Curncy,20.1363,0.00608713125271576
2018-11-16,USDMXN_Curncy,20.1666,0.00150361416715228
2018-11-23,USDMXN_Curncy,20.4061,0.0118061051824627
2018-11-30,USDMXN_Curncy,20.3668,-0.0019277516277052
2018-12-07,USDMXN_Curncy,20.2604,-0.0052378821705914
2018-12-14,USDMXN_Curncy,20.2374,-0.00113586429252255
2018-12-21,USDMXN_Curncy,19.9389,-0.0148597801542105
2018-12-28,USDMXN_Curncy,19.6587,-0.0141526090926738
2019-01-04,USDMXN_Curncy,19.4172,-0.0123607172112314
2019-01-11,USDMXN_Curncy,19.1443,-0.0141542500221115
2019-01-18,USDMXN_Curncy,19.0977,-0.00243711223602938
2019-01-25,USDMXN_Curncy,18.9877,-0.00577650784151151
2019-02-01,USDMXN_Curncy,19.1055,0.00618485060381335
2019-02-08,USDMXN_Curncy,19.077,-0.00149283076240625
2019-02-15,USDMXN_Curncy,19.2516,0.00911075320951271
2019-02-22,USDMXN_Curncy,19.1448,-0.00556303588000073
2019-03-01,USDMXN_Curncy,19.2714,0.0065909932947168
2019-03-08,USDMXN_Curncy,19.4925,0.0114076446240086
2019-03-15,USDMXN_Curncy,19.2082,-0.0146925050086772
2019-03-22,USDMXN_Curncy,19.0924,-0.00604692108502158
2019-03-29,USDMXN_Curncy,19.4279,0.0174198271521204
2019-04-05,USDMXN_Curncy,19.0722,-0.018478399854903
2019-04-12,USDMXN_Curncy,18.7544,-0.0168033858519654
2019-04-19,USDMXN_Curncy,18.7903,0.00191238768407809
2019-04-26,USDMXN_Curncy,18.9378,0.00781914549102059
2019-05-03,USDMXN_Curncy,18.9193,-0.000977359674811495
2019-05-10,USDMXN_Curncy,19.1036,0.00969423391407931
2019-05-17,USDMXN_Curncy,19.1698,0.00345932506741198
2019-05-24,USDMXN_Curncy,19.0517,-0.00617978759864402
2019-05-31,USDMXN_Curncy,19.6165,0.0292147123890572
2019-06-07,USDMXN_Curncy,19.6204,0.000198792463872
