date,country,cds_spread,risk_free_rate,implied_V,implied_sigma_V,cca_converged,B_f,LCL_usd,sigma_lcl
2022-08-21,Colombia,255.61,0.0335,392.1954121202055,0.1211537625243697,True,225.9030775,201.22228579325434,0.2355144176542918
2022-08-28,Colombia,255.16,0.0335,391.13863220904466,0.12073520438702273,True,225.9030775,200.16530726645547,0.23530194544767774
2022-09-04,Colombia,259.8,0.0335,387.06773565670767,0.1199813500504949,True,225.9030775,196.10003859527876,0.23614982263403994
2022-09-11,Colombia,239.16,0.0335,393.1358043555243,0.12273540939852125,True,225.9030775,202.1717921205573,0.23799026519083172
2022-09-18,Colombia,255.05,0.0335,389.3464515968428,0.12202199815123678,True,225.9030775,198.38794571819386,0.23875077894497757
2022-09-25,Colombia,303.6899,0.0335,389.21439304733894,0.12198018441416615,True,225.9030775,198.25595109412677,0.23874598636161404
2022-10-02,Colombia,329.97,0.0382,377.1741511013678,0.12219270410046582,True,230.45016299999997,186.93638585184192,0.2455177374375523
2022-10-09,Colombia,328.7,0.0382,376.78664047132304,0.12200550887000952,True,230.45016299999997,186.54855101937162,0.2453984613061046
2022-10-16,Colombia,359.8301,0.0382,373.6790005526394,0.12121894087128063,True,230.45016299999997,183.44587241704687,0.24584818043800435
2022-10-23,Colombia,387.0601,0.0382,365.4182436661547,0.12038377307676636,True,230.45016299999997,175.2151555642843,0.24973882775343692
2022-10-30,Colombia,334.1299,0.0382,368.4762342315821,0.12180818688226888,True,230.45016299999997,178.27474141337146,0.2504500968470041
2022-11-06,Colombia,362.22,0.0428,356.26991923695164,0.12126163759619135,True,234.900502,166.86109999608567,0.257115402851975
2022-11-13,Colombia,296.03,0.0428,366.1638629267488,0.1285453740821503,True,234.900502,176.80139975385828,0.26422816651295444
2022-11-20,Colombia,299.54,0.0428,359.5917811672118,0.12729781377161686,True,234.900502,170.25949309077197,0.2665911841154692
2022-11-27,Colombia,282.6299,0.0428,363.92588955569704,0.12919898759238543,True,234.900502,174.59244424731605,0.26710215086818734
2022-12-04,Colombia,266.0,0.0421999999999999,367.0991977410133,0.13015293294839342,True,234.32002299999988,177.65936900720405,0.26680941000725544
2022-12-11,Colombia,266.5901,0.0421999999999999,365.8724856907762,0.12944362677168786,True,234.32002299999988,176.42974570545996,0.2663122401771256
2022-12-18,Colombia,273.4099,0.0421999999999999,366.51307729066025,0.12946893120526395,True,234.32002299999988,177.0657577472263,0.2659047204391104
2022-12-25,Colombia,276.6201,0.0421999999999999,368.63298075405726,0.13041433561352844,True,234.32002299999988,179.1857979565354,0.2662331007948785
2023-01-01,Colombia,270.97,0.0387,370.1416698121903,0.13060939232750385,True,230.9338955,180.1361605452313,0.266314180176685
2023-01-08,Colombia,266.76,0.0387,380.93320171409607,0.1266700307501599,True,244.598277,179.69946679372086,0.26625030350690054
2023-01-15,Colombia,263.3999,0.0387,387.4692599575684,0.13019210425125802,True,244.598277,186.2498726509277,0.2685690884573094
2023-01-22,Colombia,264.47,0.0387,391.31244501104595,0.13179664690267578,True,244.598277,190.09277741313025,0.26907390739610126
2023-01-29,Colombia,257.8,0.0387,393.05987387717664,0.1324926255876169,True,244.598277,191.83955230061238,0.2692530098480934
2023-02-05,Colombia,250.95,0.0381,383.31018025175854,0.1314537633596391,True,243.983451,182.0598987753484,0.2740368905985345
2023-02-12,Colombia,269.74,0.0381,379.40549154624364,0.13033596140882003,True,243.983451,178.1689990866511,0.27468048579057186
2023-02-19,Colombia,286.8899,0.0381,375.5854455547221,0.12924642084401577,True,243.983451,174.36361369827296,0.2753867060707467
2023-02-26,Colombia,285.47,0.0381,377.8938675183521,0.13030365786578046,True,243.983451,176.67249923124706,0.2757327375592645
2023-03-05,Colombia,266.1799,0.0395,379.3552077537479,0.13076387995577446,True,245.418045,178.35348892749028,0.2752364213924411
2023-03-12,Colombia,283.5601,0.0395,382.04298743020905,0.13202261629298012,True,245.418045,181.04287853479616,0.27573329567927257
2023-03-19,Colombia,327.03,0.0395,377.11137069269904,0.13076465570109622,True,245.418045,176.13367528258652,0.2768977018949537
2023-03-26,Colombia,322.3401,0.0395,381.1183737377228,0.13279350158829828,True,245.418045,180.1464153323371,0.2778927495496223
2023-04-02,Colombia,279.75,0.0394,380.82833062679026,0.10329296701252841,True,245.31557400000003,179.43335239540602,0.21878211052745541
2023-04-09,Colombia,290.1101,0.0394,384.2911043607133,0.10499100319172949,True,245.31557400000003,182.89844505516606,0.22014342241608187
2023-04-16,Colombia,274.5701,0.0394,390.5474942782721,0.1082916915102117,True,245.31557400000003,189.16066068641467,0.22310151310304419
2023-04-23,Colombia,279.03,0.0394,386.2913968713627,0.10635952628003958,True,245.31557400000003,184.90235405822392,0.2217264715518604
2023-04-30,Colombia,293.8899,0.038,380.16715083017147,0.10343475416997427,True,243.88098000000002,178.54656321286637,0.21976500030408994
2023-05-07,Colombia,299.6201,0.038,386.8728429864409,0.1067750337099978,True,243.88098000000002,185.25726326002868,0.22248747904898755
2023-05-14,Colombia,304.8621,0.038,385.65659395203375,0.10631581943460923,True,243.88098000000002,184.04094888983033,0.22229059410545907
2023-05-21,Colombia,281.53,0.038,386.29459308371605,0.10498629711881438,True,243.88098000000002,184.6700769887045,0.21918270093180436
2023-05-28,Colombia,273.51,0.038,390.69680252347655,0.10689456516980489,True,243.88098000000002,189.0739738980782,0.2204527934407122
2023-06-04,Colombia,267.5801,0.0395999999999999,390.7692153276892,0.10555247666076366,True,245.5205159999999,189.40036415507657,0.2174010423162446
2023-06-11,Colombia,245.95,0.0395999999999999,398.51659216788096,0.1079327007845167,True,245.5205159999999,197.14612624987151,0.2178292531624911
2023-06-18,Colombia,237.97,0.0395999999999999,399.0942598134787,0.10794575619197583,True,245.5205159999999,197.7229383435811,0.21754126825523126
2023-06-25,Colombia,233.13,0.0395999999999999,398.1202399717658,0.10386441962582248,True,245.5205159999999,196.73411766104746,0.20994429324897165
2023-07-02,Colombia,233.55,0.0404,395.61409736246765,0.10314910563225987,True,246.340284,194.3623364539499,0.2097102045185257
2023-07-09,Colombia,241.4,0.0404,396.5562705512515,0.10044276230095792,True,246.340284,195.29540552413022,0.20377628054053046
2023-07-16,Colombia,223.17,0.0404,401.1402203148361,0.10204980984632121,True,246.340284,199.8796142333584,0.2046293829942573
2023-07-23,Colombia,214.11,0.0404,406.17161020212376,0.10331689611253256,True,246.340284,204.9100733719191,0.20462951150165976
2023-07-30,Colombia,199.15,0.0404,408.7352366300085,0.10042137136869587,True,246.340284,207.46587118034628,0.19773581452231734
2023-08-06,Colombia,205.35,0.0415,400.32172292566594,0.10031998461868671,True,247.467465,199.2452887149533,0.20141421988789157
2023-08-13,Colombia,203.78,0.0415,403.38253156474354,0.09893126645114529,True,247.467465,202.30132135110557,0.19715493084445665
2023-08-20,Colombia,224.11,0.0415,396.3475654453599,0.09555904249582686,True,247.467465,195.26440401178357,0.19386581218084056
2023-08-27,Colombia,215.56,0.0415,396.1465343835515,0.09548039992106286,True,247.467465,195.06334921790565,0.19380762445650945
2023-09-03,Colombia,203.78,0.0446,395.7336411582341,0.09511276882568684,True,250.644066,195.20081374637414,0.1927311310498814
2023-09-10,Colombia,209.68,0.0446,398.0351177398616,0.09461034212308914,True,250.644066,197.50055930451072,0.19059595023301912
2023-09-17,Colombia,204.79,0.0446,402.31760876073315,0.0957761877316645,True,250.644066,201.78284402658556,0.19088499517000732
2023-09-24,Colombia,222.79,0.0446,398.98612669294914,0.09535952399162595,True,250.644066,198.4521781248739,0.19163691711429554
2023-10-01,Colombia,238.49,0.0465,394.9657317539295,0.0903176985440807,True,252.59101500000003,194.78040235348334,0.1830931793926606
2023-10-08,Colombia,256.1299,0.0465,383.6856180024447,0.09226195709497806,True,252.59101500000003,183.50719382675524,0.19279692543700072
2023-10-15,Colombia,245.09,0.0465,387.57579109832665,0.0934687654886142,True,252.59101500000003,187.39724465058157,0.19320685722543562
2023-10-22,Colombia,244.86,0.0465,387.5798813295569,0.09062075288915829,True,252.59101500000003,187.39724465058157,0.18735159826893635
2023-10-29,Colombia,234.39,0.0465,393.85092155002735,0.09314748805427943,True,252.59101500000003,193.66895924077883,0.18935179100590577
2023-11-05,Colombia,216.42,0.0513,394.29970562066535,0.08725101906957222,True,257.50962300000003,195.05355225341881,0.17634897247086828
2023-11-12,Colombia,212.34,0.0513,392.24043090565146,0.0825255718677724,True,257.50962300000003,192.9925796939591,0.16771186522543083
2023-11-19,Colombia,201.64,0.0513,390.2577370302547,0.07994742680504603,True,257.50962300000003,191.009379691994,0.16333364431132713
2023-11-26,Colombia,197.91,0.0513,391.77447087985735,0.07950106808500147,True,257.50962300000003,192.52594440381105,0.1617701056999
2023-12-03,Colombia,181.87,0.0484,398.76934107600357,0.08181875141137228,True,254.537964,198.94370736014008,0.16399121291059185
