treatment_group,treatment_size,beta,pval,n_obs,is_true
"Abu Dhabi,Colombia,Dubai",3,0.0025208646766193207,0.954937568773023,9129,False
"Abu Dhabi,Colombia,Egypt",3,0.003516915507531289,0.9365955681270688,9129,False
"Abu Dhabi,Colombia,Indonesia",3,0.044452644492782814,0.2014367057293025,9129,False
"Abu Dhabi,Colombia,Malaysia",3,0.062318173439309406,0.08707717230258627,9129,False
"Abu Dhabi,Colombia,Mexico",3,0.061100702036829484,0.0914023143666447,9129,False
"Abu Dhabi,Colombia,Philippines",3,0.04853867684463728,0.1635448613003967,9129,False
"Abu Dhabi,Colombia,Qatar",3,0.03350202309286932,0.3475891180553563,9129,False
"Abu Dhabi,Colombia,Saudi Arabia",3,0.01539217471430574,0.6998636861283603,9129,False
"Abu Dhabi,Colombia,South Africa",3,0.01484917048845852,0.7111634831279106,9129,False
"Abu Dhabi,Colombia,South Korea",3,0.012663689940584128,0.7564026539501754,9129,False
"Abu Dhabi,Colombia,Thailand",3,0.015688611371995353,0.6936885382097826,9129,False
"Abu Dhabi,Colombia,Turkey",3,-0.0061598551989019545,0.8985771856933531,9129,False
"Abu Dhabi,Dubai,Egypt",3,-0.06555648310212461,0.0001734946473619381,9129,False
"Abu Dhabi,Dubai,Indonesia",3,-0.02462075411687314,0.3991247295174829,9129,False
"Abu Dhabi,Dubai,Malaysia",3,-0.006755225170346667,0.8629725520492002,9129,False
"Abu Dhabi,Dubai,Mexico",3,-0.007972696572826602,0.8356661017985478,9129,False
"Abu Dhabi,Dubai,Philippines",3,-0.020534721765018808,0.512794667562898,9129,False
"Abu Dhabi,Dubai,Qatar",3,-0.03557137551678673,0.13572190590123911,9129,False
"Abu Dhabi,Dubai,Saudi Arabia",3,-0.05368122389535036,0.002655804420510721,9129,False
"Abu Dhabi,Dubai,South Africa",3,-0.0542242281211976,0.0022816703477333,9129,False
"Abu Dhabi,Dubai,South Korea",3,-0.056409708669071995,0.001246580992717572,9129,False
"Abu Dhabi,Dubai,Thailand",3,-0.05338478723766078,0.0028853579742049718,9129,False
"Abu Dhabi,Dubai,Turkey",3,-0.07523325380855814,0.00011507415862843651,9129,False
"Abu Dhabi,Egypt,Indonesia",3,-0.023624703285961193,0.4120243905124128,9129,False
