date,country,CDS_observed,CDS_M0,CDS_M1,CDS_M2
2015-08-09,Malaysia,149.8,57.63402632785161,356.86984231262664,199.6923205448025
2015-08-16,Malaysia,170.76,70.09702638143509,363.9432544177337,204.50225838525066
2015-08-23,Malaysia,188.7,74.63492177906505,368.8858364581227,244.97252669635
2015-08-30,Malaysia,165.03,74.38932704774396,368.70997504732765,305.33611480189023
2015-09-06,Malaysia,181.02,76.23138736576418,368.2008933528385,290.28911363340313
2015-09-13,Malaysia,190.9,78.74841728161202,375.95449226171183,296.2031125326232
2015-09-20,Malaysia,168.41,86.97377910258416,382.3175107747713,257.575116460547
2015-09-27,Malaysia,216.89,104.42621091049804,393.67858596139627,282.3299134164108
2015-10-04,Malaysia,239.86,104.48648833291291,395.0815387140892,237.10289547241587
2015-10-11,Malaysia,201.7,141.05632533118,421.6014140286477,223.95704920202195
2015-10-18,Malaysia,197.83,141.6091900947438,427.23860807368715,192.99735077041956
2015-10-25,Malaysia,196.94,143.65959987089113,430.61066959570667,214.89612292332427
2015-11-01,Malaysia,196.81,148.22275662089518,432.82003961045484,223.22480510454633
2015-11-08,Malaysia,179.9,148.53966281547116,433.2262545375299,203.96848679408592
2015-11-15,Malaysia,179.99,151.2937274093098,440.37570896693074,269.45304947757097
2015-11-22,Malaysia,165.93,154.6285834383471,439.4656638234916,252.95089689537343
2015-11-29,Malaysia,167.11,154.60248199278524,438.2119434417459,281.97472156608524
2015-12-06,Malaysia,173.42,150.55713670516278,426.1049194106053,255.27610446388968
2015-12-13,Malaysia,191.41,154.65915778506627,440.1415829938783,330.70941020706164
2015-12-20,Malaysia,188.21,154.50667336053635,438.20620054188345,293.94607474507063
2015-12-27,Malaysia,185.56,154.72811837672702,438.24007883516384,294.43538214641165
2016-01-03,Malaysia,183.63,122.88515342345273,432.1816947957597,285.40422522250844
2016-01-10,Malaysia,195.38,126.38562287113773,425.3458211816584,337.55789988122
2016-01-17,Malaysia,207.11,126.05513835688548,424.7553353534843,367.41130729604066
2016-01-24,Malaysia,200.06,130.36210002317256,424.23899477838376,361.6082858140098
2016-01-31,Malaysia,178.71,138.6141352719293,413.8561972910379,354.95710983748046
2016-02-07,Malaysia,181.16,137.79510377312874,372.4574712165884,374.01802569787134
2016-02-14,Malaysia,193.8,137.50907253094445,375.211351809101,384.5830412835735
2016-02-21,Malaysia,180.76,138.2116961047425,374.74888035274256,363.1262609651656
2016-02-28,Malaysia,177.4,138.35517605197685,380.91642370063556,353.2624850553269
2016-03-06,Malaysia,162.84,137.84532463755292,381.72926721789554,300.3050681800019
2016-03-13,Malaysia,154.11,137.47908131629634,380.33000225142797,286.54811283112105
2016-03-20,Malaysia,143.2,137.42974626154523,377.96101808509644,238.1206301574041
2016-03-27,Malaysia,158.27,135.99165739314492,371.1141527781571,237.66294956873386
2016-04-03,Malaysia,151.54,147.22066046518805,367.7411646417968,254.498483217314
2016-04-10,Malaysia,155.9,147.14788287210655,370.4726926106605,251.3178213339688
2016-04-17,Malaysia,149.59,145.83584502322722,356.6326184625769,283.1874938874977
2016-04-24,Malaysia,153.93,144.51298872423106,355.9119852578267,200.80095140003007
2016-05-01,Malaysia,162.72,144.51761880151875,355.03588321271576,206.5080806092024
2016-05-08,Malaysia,161.74,151.32686435993745,367.9090781242532,210.71501192694762
2016-05-15,Malaysia,156.89,151.24150341908745,366.4201663108206,203.26890342033144
2016-05-22,Malaysia,160.07,155.2230425001273,370.02903421501753,192.7880549396716
2016-05-29,Malaysia,156.24,151.18901784610472,367.2428406590672,151.19001018954336
2016-06-05,Malaysia,160.6,150.50082770984758,362.17027454398453,150.501678901819
2016-06-12,Malaysia,157.92,152.0026027649141,360.60642600565194,187.84694248681853
2016-06-19,Malaysia,166.61,152.154782369844,367.9176046316633,202.71081490411888
2016-06-26,Malaysia,161.81,151.4760020748777,367.22319959783323,221.4551948627171
2016-07-03,Malaysia,158.83,154.16080482439827,367.0864440143831,154.16170886185097
2016-07-10,Malaysia,153.81,155.65788408136615,371.19875719265514,200.2062638455289
2016-07-17,Malaysia,123.29,156.86643227580606,371.79197219648046,156.86741086339447
2016-07-24,Malaysia,133.94,165.99169495716623,380.0898258088889,176.34263060161044
2016-07-31,Malaysia,139.08,166.05632304577037,383.6520220849752,198.76893833894997
2016-08-07,Malaysia,134.19,159.89100749133436,374.73506032910234,201.78121616933657
2016-08-14,Malaysia,124.66,146.53985061284186,369.11461229269406,164.85151172068245
2016-08-21,Malaysia,115.67,142.2586806827217,364.87173908400075,142.2592917710364
2016-08-28,Malaysia,121.28,142.21155841920265,364.1315744233271,147.54338653977052
2016-09-04,Malaysia,121.06,142.7671324191759,369.04205740088787,175.866679453556
2016-09-11,Malaysia,113.23,139.8590359606511,361.200496038691,185.92608246398743
2016-09-18,Malaysia,121.54,138.84279512549824,361.69365672980865,190.72732580801505
2016-09-25,Malaysia,121.23,122.16819246983222,350.9890138918656,229.17773861111277
2016-10-02,Malaysia,121.97,122.96933030605497,359.70445090743976,184.95882178380288
2016-10-09,Malaysia,118.06,87.60508141347543,312.1797786475286,159.57431183222522
2016-10-16,Malaysia,120.02,89.1963129689618,310.93615957297345,150.729797635294
2016-10-23,Malaysia,120.76,87.1599924546029,308.7406415240123,119.8358886405685
2016-10-30,Malaysia,122.72,82.78466258976832,305.94339234487023,173.2231257946428
2016-11-06,Malaysia,126.12,81.34766603706518,312.39365940967303,231.89352872191472
2016-11-13,Malaysia,148.54,87.37262739716603,315.286753685586,252.01700234686714
2016-11-20,Malaysia,169.39,96.82149247328641,316.1449782595581,269.81625303625674
2016-11-27,Malaysia,167.68,98.51362965076967,314.4909879181101,327.73677367914775
2016-12-04,Malaysia,159.68,98.18715608729066,319.33504883976207,160.0513666082966
2016-12-11,Malaysia,138.59,94.13738867028924,299.92879234127594,156.24797367884403
2016-12-18,Malaysia,143.71,97.65703060176203,298.7501212238272,98.82573497625707
2016-12-25,Malaysia,140.28,97.49473265233657,299.36098209606473,105.18169753630548
2017-01-01,Malaysia,137.6,76.70748841895416,297.0777823057929,114.52077052990225
2017-01-08,Malaysia,129.57,84.23405206095472,259.34965479718517,84.23406122268473
2017-01-15,Malaysia,132.03,83.99275845838739,253.38548057222593,83.99276789725626
2017-01-22,Malaysia,130.06,78.7039305253984,253.3572470867406,78.70393607614233
2017-01-29,Malaysia,127.89,68.68350697463399,248.67672436771758,68.68351154691494
2017-02-05,Malaysia,124.96,66.85397293722468,247.36592889492817,66.85397571246334
2017-02-12,Malaysia,118.38,67.14800562793471,241.48525432435335,67.1480075905805
2017-02-19,Malaysia,114.94,66.5187231894859,242.30662728238883,66.51872485622904
2017-02-26,Malaysia,107.6,66.22538208517008,223.8825428810176,66.2253836018308
2017-03-05,Malaysia,108.34,66.48907440765387,228.031076849523,66.48907638471789
2017-03-12,Malaysia,114.24,66.33168647575255,223.74816105291947,83.41938827984143
2017-03-19,Malaysia,100.0,64.5064287747187,216.81178882647026,64.50643138547136
2017-03-26,Malaysia,105.88,64.34681087048894,216.0143219946714,64.3468164018914
2017-04-02,Malaysia,104.65,48.119643979413986,211.9689994909272,48.119645477816846
2017-04-09,Malaysia,109.31,48.13903812039679,194.68018746048355,48.139039565482726
2017-04-16,Malaysia,114.94,48.592087081026555,194.66935055751347,48.59208846082969
2017-04-23,Malaysia,113.24,48.58885706780466,195.29681540296914,56.095679381717254
2017-04-30,Malaysia,108.09,49.03896703662808,194.3872414141371,49.038968482604545
2017-05-07,Malaysia,107.35,44.051369282808785,178.81298053002766,83.83095177066009
2017-05-14,Malaysia,102.94,43.83657796425026,178.05493483862,83.22451628553914
2017-05-21,Malaysia,104.42,41.024766386528555,175.26591024731954,53.10045970581762
2017-05-28,Malaysia,99.98999,41.25746063049223,176.18793938863723,54.11562368462493
2017-06-04,Malaysia,96.29999,40.9418388690754,175.90296389460056,71.11503241492761
2017-06-11,Malaysia,91.37999,37.215241546842506,171.89604646440773,71.85961121296516
2017-06-18,Malaysia,82.75,37.24433859353632,165.81743870847222,40.56937133392188
2017-06-25,Malaysia,86.2,37.333790306650606,164.6601362837868,67.44765198934164
2017-07-02,Malaysia,85.95999,32.6812531923594,167.55919259618022,45.65039926112348
2017-07-09,Malaysia,89.64999,32.441346395670415,162.7255518450054,78.01165195691148
2017-07-16,Malaysia,84.23,29.124982066214606,153.0457977849666,56.42234604062794
2017-07-23,Malaysia,84.23,23.07152294958941,141.76199998711397,49.38038108467463
2017-07-30,Malaysia,80.28,23.061243177470114,137.98745044242492,53.35785003364435
2017-08-06,Malaysia,79.78999,22.751397957271074,124.70029338951684,44.39343785279803
2017-08-13,Malaysia,84.96999,22.89289308617925,124.39840315082058,43.90970876166505
2017-08-20,Malaysia,80.03,22.8405148220972,127.47317096350037,38.74420270662233
2017-08-27,Malaysia,75.32999,22.846733408094398,130.30729852551892,46.4460647245998
2017-09-03,Malaysia,71.12,21.728494007236716,128.44897369439968,47.18842925738997
2017-09-10,Malaysia,70.87999,23.595302349752643,135.3689395748991,48.79502782727511
2017-09-17,Malaysia,66.53,21.188164666163125,123.63661670259197,32.5926769609563
2017-09-24,Malaysia,68.45,20.969427791655967,118.91536407717118,31.413481191180974
2017-10-01,Malaysia,69.39,21.240561588968056,105.89987085800823,34.09249103608331
2017-10-08,Malaysia,65.67,21.122258131752616,108.85278599007894,38.80962997792657
2017-10-15,Malaysia,65.92999,20.231928397662244,103.86310681859946,28.925323710447145
2017-10-22,Malaysia,64.17999,20.30272008245444,103.31500463026215,23.569570980913074
2017-10-29,Malaysia,62.81999,20.435565131781864,102.98430456823961,26.735755360945422
2017-11-05,Malaysia,63.17,20.343733478534652,95.35794640405828,25.063202769418258
2017-11-12,Malaysia,69.59999,15.90515560968206,78.7407634422836,49.43931022546583
2017-11-19,Malaysia,68.62999,9.021474443332067,74.57434888140794,34.71713752908825
2017-11-26,Malaysia,66.62,8.37002485990443,73.53558929180134,33.55368968405144
2017-12-03,Malaysia,63.79999,8.286946187772093,57.6501171340372,18.913611335525047
2017-12-10,Malaysia,63.78999,8.330732269926935,61.49488036611447,19.408124781727256
2017-12-17,Malaysia,61.42999,6.968755607411408,61.24834839793865,11.250168465065952
2017-12-24,Malaysia,60.09,7.015694116244753,63.23414246078402,7.015694131752823
2017-12-31,Malaysia,59.20999,6.926741945649908,63.15163262768131,11.238625598527904
2018-01-07,Malaysia,55.07999,30.70975049932873,101.79591769218072,30.709750948265885
2018-01-14,Malaysia,52.84999,30.59084274198022,101.3123304997444,30.590843220033186
2018-01-21,Malaysia,55.92999,30.48405691403079,100.58169668094773,30.484057161106136
2018-01-28,Malaysia,56.06,31.437530516726873,100.3055526276177,31.437530884789467
2018-02-04,Malaysia,57.35999,31.025106371009866,102.17423493894913,31.025106872940533
2018-02-11,Malaysia,65.20999,33.773611298143656,103.7843460881074,68.29443097490754
2018-02-18,Malaysia,63.12,33.30461016726667,102.18111480593008,47.24006624956006
2018-02-25,Malaysia,64.25,34.52231942537269,104.98961845835886,34.52232020196151
2018-03-04,Malaysia,64.21999,32.27144061455423,101.52206992410444,42.65175625788709
2018-03-11,Malaysia,62.14999,32.21894193242174,101.1344720262592,43.214131156741644
2018-03-18,Malaysia,64.0,32.465304965037035,101.58306716354069,33.58343652568963
2018-03-25,Malaysia,75.75,32.550985122926896,100.46602495287911,51.972187133827624
2018-04-01,Malaysia,74.5,32.46109371449609,99.39181522412365,50.846705317425894
2018-04-08,Malaysia,73.03999,32.13474726186229,99.36911328605778,35.02722724060877
2018-04-15,Malaysia,73.06,32.766629813578604,98.53126975152091,57.773943635629095
2018-04-22,Malaysia,72.29999,34.51833026644415,102.70802843029699,62.123503685334455
2018-04-29,Malaysia,73.76999,35.14151505255776,101.85906807652685,40.08449601470041
2018-05-06,Malaysia,78.90999,34.94984552007872,107.27557187931056,43.608264900181396
2018-05-13,Malaysia,90.67999,35.387318704616725,107.32615890167507,41.366151732908314
2018-05-20,Malaysia,85.28999,36.457671396289555,108.8733537423276,38.952804471268735
2018-05-27,Malaysia,84.31999,36.075100361359716,111.14080436727482,55.18294844165529
2018-06-03,Malaysia,91.67,36.085079868333644,111.81272972436419,61.61963820425884
2018-06-10,Malaysia,95.82999,36.51134886708829,109.73254271398862,54.3872115651401
2018-06-17,Malaysia,97.06,36.47085766677673,107.52459658607421,54.8898672649096
2018-06-24,Malaysia,105.87,36.67586884818548,109.52405045388295,41.40759647400298
2018-07-01,Malaysia,107.81,38.06339061300989,106.01604751192366,52.9652805203659
2018-07-08,Malaysia,106.84,38.629442375178954,114.64512269114836,60.44332255333172
2018-07-15,Malaysia,97.53999,39.1753061063214,118.87451568403566,56.6295744381968
2018-07-22,Malaysia,93.37999,39.71561455098807,121.52906499683056,46.67185331816944
2018-07-29,Malaysia,80.37,39.83062011401738,117.98021612384885,40.32531205842122
2018-08-05,Malaysia,86.25999,40.18612775079123,118.36024329628877,44.5945415676442
2018-08-12,Malaysia,86.25999,40.04971136201875,119.60282720565442,43.609325808811356
2018-08-19,Malaysia,88.95999,40.87225238191128,117.0456517946865,45.80474200241272
2018-08-26,Malaysia,88.7,40.82506574131072,111.4572378143609,40.825067337037666
2018-09-02,Malaysia,92.64,40.845163847270605,108.5280129713056,41.6536155511904
2018-09-09,Malaysia,100.98,40.0980645534117,95.74399614684235,49.49435574797819
2018-09-16,Malaysia,97.04999,39.982069013462805,95.62879419164832,51.69565144716232
