treatment_group,treatment_size,beta,pval,n_obs,is_true
"Indonesia,Turkey",2,-0.0601544143038553,0.6137829986393657,442,False
"Malaysia,Mexico",2,0.2931927493881705,1.0548201645477207e-08,442,False
"Malaysia,Philippines",2,0.2381103628177179,0.0031866585600284214,442,False
"Malaysia,Qatar",2,0.10808116846027559,0.4930667068126038,442,False
"Malaysia,Saudi Arabia",2,0.1096020890963441,0.48445262469947425,442,False
"Malaysia,South Africa",2,0.10345355567936877,0.5191501206840807,442,False
"Malaysia,South Korea",2,0.07549134630354161,0.6704737970487704,442,False
"Malaysia,Thailand",2,0.12671796698074628,0.38685849677970463,442,False
"Malaysia,Turkey",2,0.05666570638692042,0.764140190962274,442,False
"Mexico,Philippines",2,0.17904070873275948,0.0007388350205153049,442,False
"Mexico,Qatar",2,0.049011514375317186,0.690078962161669,442,False
"Mexico,Saudi Arabia",2,0.050532435011385664,0.678784396576317,442,False
"Mexico,South Africa",2,0.04438390159441035,0.723865529746051,442,False
"Mexico,South Korea",2,0.01642169221858314,0.9080263413573189,442,False
"Mexico,Thailand",2,0.06764831289578781,0.5460342011539174,442,False
"Mexico,Turkey",2,-0.0024039476980380783,0.987493086871869,442,False
"Philippines,Qatar",2,-0.0060708721951355515,0.9471960361625824,442,False
"Philippines,Saudi Arabia",2,-0.004549951559067094,0.9600491759055805,442,False
"Philippines,South Africa",2,-0.010698484976042555,0.9095907799223637,442,False
"Philippines,South Korea",2,-0.038660694351869584,0.7250848207240015,442,False
"Philippines,Thailand",2,0.012565926325334991,0.8776248107349223,442,False
"Philippines,Turkey",2,-0.057486334268490896,0.6340268434159153,442,False
"Qatar,Saudi Arabia",2,-0.13457914591650946,0.0012337960999395658,442,False
"Qatar,South Africa",2,-0.14072767933348482,0.0007182620005070639,442,False
"Qatar,South Korea",2,-0.16868988870931204,0.00021316836120943705,442,False
"Qatar,Thailand",2,-0.11746326803210733,0.007009318174084012,442,False
"Qatar,Turkey",2,-0.18751552862593326,0.000264438345086937,442,False
"Saudi Arabia,South Africa",2,-0.1392067586974164,0.0008466529869590733,442,False
"Saudi Arabia,South Korea",2,-0.1671689680732435,0.00028092452007721924,442,False
"Saudi Arabia,Thailand",2,-0.1159423473960389,0.0074803451478060445,442,False
"Saudi Arabia,Turkey",2,-0.18599460798986478,0.00035106788310912407,442,False
"South Africa,South Korea",2,-0.1733175014902189,8.904002907339503e-05,442,False
"South Africa,Thailand",2,-0.12209088081301427,0.005886878018399377,442,False
"South Africa,Turkey",2,-0.19214314140684016,0.00010519701400424353,442,False
"South Korea,Thailand",2,-0.15005309018884136,0.004015725044521856,442,False
"South Korea,Turkey",2,-0.22010535078266721,6.943895103361797e-08,442,False
"Thailand,Turkey",2,-0.16887873010546253,0.00467111641353779,442,False
"Abu Dhabi,Brazil,Chile",3,0.005101666056408167,0.9501117609474234,442,False
"Abu Dhabi,Brazil,China",3,-0.026978943881846813,0.7695083947764416,442,False
"Abu Dhabi,Brazil,Colombia",3,0.12884170184005178,0.14447872383171179,442,False
"Abu Dhabi,Brazil,Dubai",3,0.05694845944699025,0.44436411517441066,442,False
"Abu Dhabi,Brazil,Egypt",3,0.026167156205745553,0.7338768591366924,442,False
"Abu Dhabi,Brazil,Indonesia",3,0.07876142745006547,0.2994752445594908,442,False
"Abu Dhabi,Brazil,Malaysia",3,0.16220437080061964,0.1105562705541534,442,False
"Abu Dhabi,Brazil,Mexico",3,0.12001176073993497,0.15960712299338997,442,False
"Abu Dhabi,Brazil,Philippines",3,0.08066719890389717,0.2895313732432361,442,False
"Abu Dhabi,Brazil,Qatar",3,-0.012210797065704538,0.8880703282148534,442,False
"Abu Dhabi,Brazil,Saudi Arabia",3,-0.011124425182798443,0.8975468089174181,442,False
"Abu Dhabi,Brazil,South Africa",3,-0.015516234766352317,0.8598581131622258,442,False
"Abu Dhabi,Brazil,South Korea",3,-0.03548924146337168,0.7100141390191335,442,False
"Abu Dhabi,Brazil,Thailand",3,0.0011012018774887997,0.9893680054528113,442,False
"Abu Dhabi,Brazil,Turkey",3,-0.0489361271181011,0.6285662380296522,442,False
"Abu Dhabi,Chile,China",3,-0.12776539885375326,0.00864920420801285,442,False
"Abu Dhabi,Chile,Colombia",3,0.028055246868145388,0.7662909823629085,442,False
"Abu Dhabi,Chile,Dubai",3,-0.0438379955249162,0.44712793379760307,442,False
"Abu Dhabi,Chile,Egypt",3,-0.07461929876616069,0.11799576762737929,442,False
"Abu Dhabi,Chile,Indonesia",3,-0.022025027521840875,0.7441655982462578,442,False
"Abu Dhabi,Chile,Malaysia",3,0.06141791582871337,0.5900270650742729,442,False
"Abu Dhabi,Chile,Mexico",3,0.01922530576802857,0.8296699944171202,442,False
"Abu Dhabi,Chile,Philippines",3,-0.020119256068009156,0.7687240350004143,442,False
"Abu Dhabi,Chile,Qatar",3,-0.1129972520376109,0.013716462504332227,442,False
"Abu Dhabi,Chile,Saudi Arabia",3,-0.1119108801547048,0.014363461618512208,442,False
"Abu Dhabi,Chile,South Africa",3,-0.11630268973825869,0.012041848175343928,442,False
"Abu Dhabi,Chile,South Korea",3,-0.13627569643527807,0.007588750027762492,442,False
"Abu Dhabi,Chile,Thailand",3,-0.09968525309441757,0.026607804689739556,442,False
"Abu Dhabi,Chile,Turkey",3,-0.1497225820900075,0.007221479214601478,442,False
"Abu Dhabi,China,Colombia",3,-0.0040253630701096695,0.9694904394706385,442,False
"Abu Dhabi,China,Dubai",3,-0.07591860546317113,0.25411571581051273,442,False
"Abu Dhabi,China,Egypt",3,-0.10669990870441562,0.04872868897991656,442,False
"Abu Dhabi,China,Indonesia",3,-0.05410563746009587,0.4842552915452738,442,False
"Abu Dhabi,China,Malaysia",3,0.029337305890458232,0.8146089313085914,442,False
"Abu Dhabi,China,Mexico",3,-0.012855304170226492,0.8978315536982393,442,False
"Abu Dhabi,China,Philippines",3,-0.05219986600626423,0.5052357225474995,442,False
"Abu Dhabi,China,Qatar",3,-0.14507786197586586,0.0019246633345944009,442,False
"Abu Dhabi,China,Saudi Arabia",3,-0.14399149009295978,0.0020999326650996686,442,False
"Abu Dhabi,China,South Africa",3,-0.14838329967651365,0.001492188546239781,442,False
"Abu Dhabi,China,South Korea",3,-0.168356306373533,0.000511508988289,442,False
"Abu Dhabi,China,Thailand",3,-0.13176586303267254,0.006045112647530715,442,False
"Abu Dhabi,China,Turkey",3,-0.18180319202826242,0.00041292683306526357,442,False
"Abu Dhabi,Colombia,Dubai",3,0.07990204025872749,0.34827210799692376,442,False
"Abu Dhabi,Colombia,Egypt",3,0.04912073701748287,0.5819851344102152,442,False
"Abu Dhabi,Colombia,Indonesia",3,0.10171500826180263,0.2320952542566117,442,False
"Abu Dhabi,Colombia,Malaysia",3,0.18515795161235687,0.07661529115467247,442,False
