model,country,horizon,group,alpha,beta,se_beta,t_stat,p_value,r2,n_obs,ci_lower,ci_upper
M0,Chile,4,Control,-0.3526519799116837,-3.4668777589070046,1.2390239126456262,-2.798071710742332,0.005140869760545676,0.01703774400054181,518,-5.895320003676334,-1.0384355141376753
M0,China,4,Control,-0.23398979534894065,-0.05801754736649228,0.04419827328644954,-1.312665474293076,0.18929569642604227,0.0022162171125719166,518,-0.14464457118679214,0.02860947645380759
M0,Colombia,4,Exporter,0.320362836334004,-5.7405175593775155,3.258718855106968,-1.7615872416797007,0.07813906109076603,0.027369176348301938,518,-12.12748915112877,0.6464540323737404
M0,Dubai,4,Control,-1.4123315767704758,-0.13071771214214598,0.09674163241924273,-1.3512043251003185,0.17662998950111297,0.0017313003778886005,518,-0.3203278274894742,0.05889240320518227
M0,Egypt,4,Exporter,2.2198557813769266,2.5294241422312354,2.6460337071119735,0.9559304310571265,0.3391073833465338,0.0028337705929657453,518,-2.6567066255872387,7.715554910049709
M0,Indonesia,4,Control,-0.6555316111214773,-0.33988233858837547,0.42197901026004964,-0.8054484472555137,0.4205609441868684,0.001036759494884465,518,-1.1669460009299306,0.4871813237531798
M0,Malaysia,4,Exporter,-0.6464934231360658,-0.6549888909920978,0.27518768185482934,-2.3801533796037653,0.017305433290114174,0.01154823677671657,518,-1.1943468364166299,-0.1156309455675657
M0,Mexico,4,Exporter,-0.13090886841085142,-8.227525178123502,3.594826127911116,-2.2887129684083933,0.022096035030723958,0.17963358359253956,518,-15.273254919512867,-1.1817954367341361
M0,Philippines,4,Control,-0.25835701993029414,0.005745740869391737,0.12635092167986173,0.04547446740396444,0.9637291258993603,1.5550883571968654e-06,518,-0.24189751503657836,0.2533889967753618
M0,Qatar,4,Exporter,-0.23082392437658172,-0.42816983693398614,0.4228118703140703,-1.0126722237385055,0.31121674943741506,0.012903216708925802,518,-1.2568658749855839,0.4005262011176117
M0,Saudi Arabia,4,Exporter,-0.042170227605144876,-0.05294606163590606,0.037876170935190884,-1.3978726024470887,0.16215132731193338,0.0007107435302928788,518,-0.12718199254116297,0.021289869269350857
M0,South Africa,4,Control,0.025244622964612384,-19.671876157567052,5.688779963421826,-3.4580131915902634,0.0005441747383429527,0.10894792997510372,518,-30.821680001846918,-8.522072313287186
M0,South Korea,4,Control,-0.18788851796883013,-0.07794439489933996,0.16228577966360117,-0.4802909722645403,0.6310205072733509,0.0005106252894581109,518,-0.39601867824300097,0.24012988844432104
M0,Thailand,4,Control,-0.5275314485330509,-0.007571775710534545,0.1099594366833947,-0.06885971717312354,0.945101283411375,5.823198269694352e-06,518,-0.2230883113703006,0.2079447599492315
M0,Turkey,4,Control,-0.5551068574309649,-13.42166013099367,7.363821559048737,-1.822648746084973,0.06835660766770547,0.025120046143480512,518,-27.854485175308785,1.0111649133214442
M0,Abu Dhabi,8,Exporter,-0.4526770455878125,-0.05410479562778299,0.09976936166035201,-0.5422987050069906,0.587612747584623,0.001096752613874763,514,-0.2496491512426242,0.14143955998705826
M0,Brazil,8,Exporter,0.39694739782475297,-14.432171602882198,4.7803601652183065,-3.0190552812087366,0.0025356425897965764,0.12029976642792073,514,-23.80150535984002,-5.062837845924374
M0,Chile,8,Control,-0.7194166743509669,-5.204107923902967,1.6352511380885422,-3.182451797578988,0.001460338215090719,0.034256810762510526,514,-8.409141260234644,-1.9990745875712896
M0,China,8,Control,-0.45813824253248836,-0.11497613467529272,0.11862683972881854,-0.9692253029595044,0.33243278906242524,0.005548568856789893,514,-0.3474804681435823,0.11752819879299686
M0,Colombia,8,Exporter,0.7518201278745514,-5.078495439994949,3.706904112440074,-1.3700099290272776,0.17068380222590507,0.02189717840861094,514,-12.343893994520908,2.1869031145310105
M0,Dubai,8,Control,-2.768985387320445,-0.185979359465742,0.23006451084614485,-0.8083791749615624,0.41887233651048783,0.0029562419493317504,514,-0.6368975148450106,0.26493879591352654
M0,Egypt,8,Exporter,4.867962145338719,4.300409707436064,3.74508080816363,1.1482822207899794,0.2508520762882802,0.006734402195295308,514,-3.0398137957568103,11.640633210628938
M0,Indonesia,8,Control,-1.3488224650326484,0.24990367001254993,0.723035573342997,0.345631223726802,0.7296198774041649,0.00045403474457217374,514,-1.167220013280993,1.6670273533060926
M0,Malaysia,8,Exporter,-1.2671440551982882,-1.0684705835671569,0.5091744038328477,-2.098437343912353,0.035866529331391,0.024091709200026012,514,-2.0664340769291916,-0.07050709020512202
M0,Mexico,8,Exporter,-0.31940390343899416,-8.841451617739551,3.409799304251464,-2.592953669359866,0.00951555883621849,0.2509681344049559,514,-15.524535448582155,-2.1583677868969477
M0,Philippines,8,Control,-0.4798846288974722,0.11633905248980052,0.1693889851395989,0.6868159248602957,0.49219873320710184,0.0007163097859835821,514,-0.21565725776160377,0.44833536274120483
M0,Qatar,8,Exporter,-0.39842165142989616,-0.6724282816425905,0.5340812639874326,-1.259037391842327,0.20801682636985908,0.03135667620883886,514,-1.7192083238755873,0.3743517605904064
M0,Saudi Arabia,8,Exporter,-0.11787559145909526,-0.08048372817999326,0.05337815012120288,-1.5078028743454617,0.13160498629489156,0.0009877152285914237,514,-0.18510297997892322,0.0241355236189367
M0,South Africa,8,Control,0.0021320281159023674,-20.827393939777394,6.677848090395188,-3.1188780663839344,0.0018154107216847035,0.14776509616989275,514,-33.91573569118154,-7.73905218837325
M0,South Korea,8,Control,-0.4218566975512123,-0.11115190189121471,0.23208772205518546,-0.4789219391139751,0.631994162682061,0.0009715673952525039,514,-0.5660354783733206,0.34373167459089116
M0,Thailand,8,Control,-1.1100997575518436,-0.09805192382067006,0.17733890729183,-0.5529070034209426,0.580327091570696,0.0008942646313283564,514,-0.44562979517034446,0.2495259475290043
M0,Turkey,8,Control,-1.9300226098421474,-17.761312561355265,7.70959853231763,-2.3037921477885215,0.021234314123402744,0.0403072339625663,514,-32.87184801996068,-2.650777102749851
M1,Abu Dhabi,1,Exporter,-0.052363166470199195,-0.6777087051421791,0.665625506078229,-1.0181531491110407,0.30860518047783514,0.016016338737630642,521,-1.9823107242467548,0.6268933139623967
M1,Brazil,1,Exporter,0.06874410821272182,-13.538309365854747,3.483126605309258,-3.886826664646235,0.00010156322206145592,0.07903103049019766,521,-20.365112065854152,-6.7115066658553415
M1,Chile,1,Control,-0.08224834794072045,-5.552599763909245,2.120073618121608,-2.619059883792557,0.008817246763660018,0.04210873098266876,521,-9.70786770000112,-1.3973318278173688
M1,China,1,Control,-0.04552353406720265,-0.41375608635150857,0.26104091241828126,-1.5850239049445352,0.11296090305529415,0.006050027672629299,521,-0.9253868731828143,0.09787470047979724
M1,Colombia,1,Exporter,0.11538222849466187,-8.398759704841138,4.576686028839956,-1.8351181732625772,0.0664881817776266,0.04107545013240799,521,-17.368899489915094,0.5713800802328173
M1,Dubai,1,Control,-0.3285705853361113,-2.6739618911704435,2.1613515958373615,-1.2371711739637086,0.21602354078387775,0.06692012021329041,521,-6.910133176939843,1.5622093945989564
M1,Egypt,1,Exporter,0.5025253832692039,-1.0457066050721047,3.5205794213459303,-0.29702684698200255,0.7664460126477692,0.00016106278605976243,521,-7.945915475622992,5.854502265478783
M1,Indonesia,1,Control,-0.13831299844027603,-2.82922717934248,2.0542659542776462,-1.3772448369945058,0.16843656372971438,0.013325844523478514,521,-6.855514464393472,1.1970601057085117
M1,Malaysia,1,Exporter,-0.1014566022615935,-3.0038590210758325,2.050479581842013,-1.4649543685664832,0.14293336782613245,0.03974071096431642,521,-7.022725152520929,1.0150071103692633
M1,Mexico,1,Exporter,-0.01640734108411487,-9.088317300888184,3.3736026042003258,-2.6939501675664808,0.007061072086504108,0.09372755189481485,521,-15.700456903271357,-2.47617769850501
M1,Philippines,1,Control,-0.0645841379294871,-1.1908683450725401,0.9466320333763464,-1.2580055428983083,0.20838975165609963,0.010788618897766278,521,-3.0462330371020974,0.6644963469570171
M1,Qatar,1,Exporter,-0.062070957458353,-1.6686367768060228,1.7454372825386142,-0.9559992750808608,0.3390726007324256,0.018518749375167842,521,-5.08963098785517,1.7523574342431236
M1,Saudi Arabia,1,Exporter,0.006055520703971753,-1.3485164424388987,1.3028847710327034,-1.0350235664893268,0.300657905536889,0.008409616709522227,521,-3.902123669668712,1.2050907847909145
