date,country,DD_market,DD_M0,DD_M1,DD_M2
2015-09-20,South Korea,1.6434120845190439,11.132741877531828,4.845923337036939,2.7836349712640094
2015-09-27,South Korea,1.5494089080681193,10.943439784927454,4.771160475035824,2.7627440293811
2015-10-04,South Korea,1.48670884907891,11.046775214613088,4.808444293810187,2.8149921085401184
2015-10-11,South Korea,1.5960339726553974,10.971096633020824,4.6550582754660494,2.823019221243234
2015-10-18,South Korea,1.6172948132348552,10.92769071844558,4.641763582472827,2.831106466991416
2015-10-25,South Korea,1.6265876528037995,10.91475596694954,4.609054067379636,2.826995215078423
2015-11-01,South Korea,1.6452525584512987,10.955419781982242,4.633394903893965,2.824148898034814
2015-11-08,South Korea,1.6725527119927288,10.82773188586341,4.610571988069858,2.7952565044935964
2015-11-15,South Korea,1.6647877544659817,10.73978827849922,4.500900788670051,2.779042094037097
2015-11-22,South Korea,1.7055886975706565,10.737472383922324,4.509914878278351,2.787727355168637
2015-11-29,South Korea,1.711953038983952,10.727178534969257,4.539342224417775,2.7016229957935844
2015-12-06,South Korea,1.7053322157264899,10.720396232931645,4.620554272831136,2.9545629772124453
2015-12-13,South Korea,1.6817357308296357,10.468504762269704,4.330542583653278,2.367131165715216
2015-12-20,South Korea,1.6706215881274253,10.471876926037018,4.371792182985397,2.6519359013308215
2015-12-27,South Korea,1.682637720028312,10.448742313098498,4.3828342444774995,2.6726244263560126
2016-01-03,South Korea,1.6887437021547742,11.264482132467474,4.503156733196475,2.7177616577566694
2016-01-10,South Korea,1.6324915504752993,11.060353640653616,4.409376555539951,2.3051496460613623
2016-01-17,South Korea,1.5840960840098461,11.110748036653863,4.4267262398376275,2.0951923253175746
2016-01-24,South Korea,1.6266620078900431,11.027549485765176,4.436888506855786,2.1251253334490157
2016-01-31,South Korea,1.6228820945933145,11.227030295979208,4.723604280685336,2.111307233964302
2016-02-07,South Korea,1.596245601281171,11.284783814441903,5.332848336395132,2.0508420737020496
2016-02-14,South Korea,1.5119579557499054,11.28977438175948,5.338783527138818,1.988085987132837
2016-02-21,South Korea,1.5737527522395942,11.01970696507677,5.344804992533753,2.1062605839727206
2016-02-28,South Korea,1.5840960840098461,10.988001276719068,5.222965999297674,2.1634882890611773
2016-03-06,South Korea,1.6451758269542887,10.487048816424243,5.253606426389184,2.6076092515477978
2016-03-13,South Korea,1.6547799611179237,10.705254185868553,5.334691159924722,2.7220593894346075
2016-03-20,South Korea,1.6786307999805186,10.73327033625996,5.264574728719361,3.1657151495254228
2016-03-27,South Korea,1.5939921062267028,10.735873595067517,5.353270111166699,3.156185866084797
2016-04-03,South Korea,1.618979976800965,10.832170314454189,5.395973776577111,2.9298508974327584
2016-04-10,South Korea,1.601063170835749,10.864155989573602,5.300941375513423,2.9566760855170777
2016-04-17,South Korea,1.629793637994558,10.9151326957816,5.577462641576033,2.700004273555056
2016-04-24,South Korea,1.6334689228913912,10.917012509615017,5.586781745811194,3.4152396268106866
