COUNTRY,INDICATOR,FREQUENCY,SCALE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
G7,Primary Net lending (+) / net borrowing (-) - General government - Percent of GDP,Annual,Units,,0.292,-1.964,-2.651,-1.981,-1.304,-0.32,-0.226,-2.499,-7.908,-6.779,-5.183,-4.332,-2.485,-1.778,-1.316,-1.575,-1.633,-1.575,-2.058,-10.129,-7.133,-1.495,-3.762,-3.597
United Kingdom,Net lending (+) / net borrowing (-) - General government - Percent of GDP,Annual,Units,1.395,0.336,-1.957,-3.215,-3.164,-3.15,-2.759,-2.654,-5.087,-10.057,-9.219,-7.378,-7.449,-5.344,-5.529,-4.594,-3.312,-2.491,-2.27,-2.472,-13.173,-7.725,-4.556,-6.054,-5.749
United Kingdom,Population - Persons for countries / Index for country groups,Annual,Millions,58.886,59.113,59.366,59.637,59.95,60.413,60.827,61.319,61.824,62.261,62.76,63.285,63.705,64.106,64.597,65.11,65.648,66.04,66.436,66.797,67.081,67.026,67.596,68.265,69.226
United States,Net debt - General government - Percent of GDP,Annual,Units,,34.447,36.675,38.815,47.375,45.949,44.385,44.046,50.277,61.363,67.881,74.224,78.22,79.106,79.766,80.082,81.07,79.231,79.967,81.651,96.128,95.891,91.98,94.474,97.397
United Kingdom,Net debt - General government - Percent of GDP,Annual,Units,31.755,30.544,31.317,32.961,35.902,37.083,37.678,38.079,45.022,58.223,68.767,73.205,76.03,77.077,78.9,79.346,78.826,77.224,76.564,75.771,93.123,91.65,89.811,91.784,93.684
United States,Net lending (+) / net borrowing (-) - General government - Percent of GDP,Annual,Units,,-0.544,-3.821,-4.771,-4.244,-3.075,-2.036,-2.913,-6.612,-13.177,-10.993,-9.716,-8.114,-4.561,-4.026,-3.53,-4.356,-4.794,-5.335,-5.805,-14.121,-11.434,-3.72,-7.798,-8.031
United Kingdom,Gross domestic product (GDP) - Current prices - Per capita - US dollar,Annual,Units,28337.638,27916.906,30127.493,34480.168,40410.653,42143.874,44589.681,50419.848,47884.16,38892.333,39641.869,42106.64,42501.709,43469.644,47468.211,44978.619,41114.514,40617.562,43275.096,42712.614,40230.545,46908.348,46236.523,49382.815,52648.187
G7,Gross domestic product (GDP) - Current prices - US dollar,Annual,Billions,22112.21,21854.685,22533.722,24879.158,27331.248,28544.573,29771.997,31977.972,33541.289,31944.526,33178.32,35290.292,35444.971,35502.72,36378.856,34938.79,35927.787,37196.592,39238.227,39958.027,39273.741,43438.469,44740.682,47490.417,49422.823
United States,Current account balance (credit less debit) - Percent of GDP,Annual,Units,-3.921,-3.724,-4.173,-4.559,-5.205,-5.746,-5.911,-5.089,-4.716,-2.623,-2.871,-2.919,-2.573,-2.011,-2.102,-2.233,-2.107,-1.874,-2.125,-2.052,-2.777,-3.619,-3.812,-3.337,-4.046
Austria,Primary Net lending (+) / net borrowing (-) - General government - Percent of GDP,Annual,Units,0.67,1.975,1.187,0.583,-2.643,-0.18,-0.259,0.671,0.653,-3.064,-2.212,-0.29,0.068,0.181,0.108,1.387,0.232,0.723,1.513,1.711,-7.082,-4.794,-2.551,-1.843,-3.596
United Kingdom,Gross national savings - Percent of GDP,Annual,Units,16.491,16.341,16.149,15.893,15.39,15.882,15.09,14.848,13.744,11.746,13.388,14.259,12.894,11.511,12.368,12.876,12.412,14.949,14.123,15.562,14.638,17.244,16.643,14.286,15.022
United States,Gross domestic product (GDP) - Current prices - US dollar,Annual,Billions,10250.95,10581.925,10929.1,11456.45,12217.175,13039.2,13815.6,14474.25,14769.85,14478.05,15048.975,15599.725,16253.95,16880.675,17608.125,18295,18804.9,19612.1,20656.525,21539.975,21375.275,23725.65,26054.6,27811.5,29298.025
G7,Gross debt - General government - Percent of GDP,Annual,Units,,75.105,76.848,79.949,85.151,85.148,82.668,80.997,88.91,103.82,111.946,116.859,121.004,118.669,117.521,116.586,119.617,117.464,117.281,118.223,139.677,132.405,124.604,123.117,123.979
United States,Gross domestic product (GDP) - Current prices - Per capita - US dollar,Annual,Units,36312.782,37101.453,37945.761,39405.354,41641.617,44034.256,46216.853,47943.353,48470.553,47102.428,48586.288,50008.108,51736.738,53363.904,55263.817,57006.926,58179.697,60292.978,63165.278,65561.32,64518.063,71365.337,77944.095,82523.258,86144.797
G7,Unemployment rate,Annual,Units,5.66,5.887,6.454,6.629,6.372,6.17,5.775,5.426,5.864,8.008,8.122,7.626,7.357,7.078,6.364,5.793,5.439,4.973,4.525,4.263,6.497,5.218,4.081,4.076,4.292
G7,Gross national savings - Percent of GDP,Annual,Units,23.121,22.037,20.908,20.361,20.954,21.091,21.767,21.2,19.678,17.691,18.93,19.788,20.139,20.129,20.862,21.026,20.771,21.35,21.571,21.793,20.689,21.229,20.766,19.867,19.515
United Kingdom,Output gap - Percent of potential GDP,Annual,Units,0.505,0.299,-0.508,0.135,0.252,0.865,1.449,2.627,1.224,-4.398,-3.297,-3.416,-3.396,-3.266,-1.91,-1.493,-1.317,-0.251,-0.271,-0.014,-3.501,0.53,1.946,-0.052,-0.307
G7,Exports of goods and services - US dollar,Annual,Billions,3633.842,3485.453,3572.936,4022.965,4729.861,5137.377,5761.405,6526.602,7127.889,5704.595,6559.69,7503.938,7461.129,7596.929,7856.847,7147.423,7102.71,7632.325,8225.413,8117.638,7093.399,8517.601,9455.189,9604.746,9787.217
United Kingdom,Gross debt - General government - Percent of GDP,Annual,Units,37.686,34.958,35.434,36.764,39.802,41,42.058,43.174,50.827,64.915,75.86,81.425,84.483,85.316,87.094,87.867,87.825,86.723,86.345,85.657,105.84,105.131,99.614,100.354,101.227
G7,Output gap - Percent of potential GDP,Annual,Units,2.052,0.724,-0.369,-0.674,0.112,0.599,1.543,2.219,1.062,-3.718,-2.024,-1.719,-1.749,-1.944,-1.484,-1.179,-1.269,-0.643,-0.124,0.058,-3.864,-0.644,0.244,0.121,0.033
G7,Structural balance - General government - Percent,Annual,Units,,-2.57,-3.989,-4.473,-4.239,-3.549,-2.928,-3.343,-4.661,-6.381,-7.612,-6.488,-5.202,-3.669,-2.993,-2.543,-2.869,-3.063,-3.155,-3.721,-8.668,-8.005,-5.128,-5.937,-5.788
United States,Structural balance - General government - Percent,Annual,Units,,-1.581,-3.734,-4.612,-4.499,-3.55,-2.956,-4.047,-6.178,-8.251,-10.054,-8.472,-6.439,-4.362,-3.546,-3.131,-3.853,-4.338,-4.903,-5.749,-10.46,-10.541,-5.973,-7.415,-7.595
United States,Output gap - Percent of potential GDP,Annual,Units,3.682,1.462,0.153,-0.039,0.871,1.643,2.043,2.03,0.522,-3.384,-2.37,-2.529,-2.141,-2.058,-1.719,-1.062,-1.468,-1.287,-0.597,0.054,-3.38,0.127,0.136,0.29,0.385
Denmark,Expenditure - General government - Percent of GDP,Annual,Units,52.869,52.997,53.098,53.501,52.79,51.055,49.711,49.455,50.283,56.329,56.515,56.29,57.906,55.58,55.102,54.418,52.352,50.601,50.754,49.807,53.34,49.706,45.089,47.398,47.329
San Marino,Current account balance (credit less debit) - Percent of GDP,Annual,Units,,,,,,,,,,,,,,,,,,-0.391,-1.887,2.034,2.782,5.396,13.596,21.993,18.324
Italy,Net debt - General government - Percent of GDP,Annual,Units,99.409,99.554,97.441,97.449,96.815,97.169,97.452,95.268,96.882,105.962,107.815,108.946,113.524,118.642,120.919,121.807,121.129,120.928,121.625,121.508,140.995,133.681,127.158,124.15,125.13
Germany,Gross domestic product (GDP) - Current prices - US dollar,Annual,Billions,1967.85,1966.395,2100.865,2534.081,2851.023,2894.992,3046.47,3484.467,3807.781,3474.768,3469.925,3822.903,3598.761,3807.079,3965.893,3425.446,3535.812,3764.023,4057.272,3960.332,3938.244,4358.147,4204.327,4563.523,4684.182
Germany,Current account balance (credit less debit) - Percent of GDP,Annual,Units,-1.524,-0.173,1.954,1.499,4.514,4.651,5.81,6.672,5.601,5.806,5.744,6.292,7.19,6.71,7.235,8.101,8.909,8.062,8.421,7.873,6.318,6.909,3.811,5.517,5.631
Germany,Unemployment rate,Annual,Units,7.95,7.8,8.6,9.708,10.333,11.008,10.042,8.542,7.425,7.342,6.575,5.525,5.083,4.942,4.708,4.358,3.9,3.525,3.192,2.95,3.625,3.6,3.142,3.083,3.392
Austria,Unemployment rate,Annual,Units,3.883,4.008,4.392,4.792,5.875,6.025,5.6,5.192,4.425,5.692,5.208,4.875,5.242,5.35,6.05,6.158,6.467,5.942,5.217,4.825,5.475,6.175,4.742,5.1,5.175
Other Advanced Economies (Advanced Economies excluding G7 and Euro Area countries),Imports of goods and services - US dollar,Annual,Billions,1259.562,1163.497,1227.703,1411.395,1731.516,1968.301,2239.615,2584.48,2986.88,2423.238,2985.296,3597.667,3713.938,3793.903,3771.65,3343.755,3279.061,3602.534,3910.83,3786.842,3491.054,4279.526,4750.374,4629.759,4840.172
Belgium,Unemployment rate,Annual,Units,6.858,6.567,7.525,8.175,8.383,8.475,8.267,7.492,6.967,7.992,8.383,7.217,7.642,8.567,8.658,8.667,7.842,7.1,5.975,5.367,5.558,6.275,5.55,5.517,5.7
Austria,Gross domestic product (GDP) - Current prices - US dollar,Annual,Billions,196.268,196.479,212.687,260.714,299.075,314.126,333.924,386.806,429.187,398.857,390.146,428.879,407.008,426.587,438.669,379.584,393.579,414.78,452.787,443.033,434.05,480.786,472.145,511.833,523.956
