date,country,cds_spread,yield_market,spread_M0,spread_M1,spread_M2,RNS_M0,RNS_M1,RNS_M2,yield_rf_M0,yield_rf_M1,yield_rf_M2,yield_rns_M0,yield_rns_M1,yield_rns_M2
2019-08-31,China,46.73,237.73,8.881784197001255e-13,8.881784197001255e-13,725.6520670970866,-1.3877787807814457e-13,2.7755575615628914e-13,161.41549882747603,191.00000000000088,191.00000000000088,916.6520670970866,190.99999999999986,191.00000000000028,352.41549882747603
2019-09-30,China,47.89,238.89,2.220446049250313e-13,2.220446049250313e-13,860.8466750386954,2.7755575615628914e-13,2.7755575615628914e-13,243.253679686805,191.00000000000023,191.00000000000023,1051.8466750386954,191.00000000000028,191.00000000000028,434.25367968680496
2019-10-31,China,40.21999,237.21999,-0.0,-0.0,797.320304928607,6.938893903907228e-14,6.938893903907228e-14,202.98540678767299,197.0,197.0,994.320304928607,197.00000000000006,197.00000000000006,399.985406787673
2019-11-30,China,39.60999,252.60999,-0.0,-0.0,813.7349849329914,1.0408340855860843e-13,1.0408340855860843e-13,213.71085104648725,213.0,213.0,1026.7349849329914,213.0000000000001,213.0000000000001,426.7108510464873
2019-12-31,China,32.2,245.2,-0.0,-0.0,626.3092011662986,1.0408340855860843e-13,1.0408340855860843e-13,118.69331987874745,213.0,213.0,839.3092011662986,213.0000000000001,213.0000000000001,331.69331987874745
2020-01-31,China,40.90999,247.90999,-0.0,-0.0,913.0226950543745,2.0816681711721685e-13,2.0816681711721685e-13,274.7239869126249,207.0,207.0,1120.0226950543745,207.0000000000002,207.0000000000002,481.7239869126249
2020-02-29,China,49.92999,230.92999000000003,-0.0,-0.0,1090.2033408194047,-3.469446951953614e-14,-3.469446951953614e-14,446.3993812366353,181.00000000000003,181.00000000000003,1271.2033408194047,181.0,181.0,627.3993812366353
2020-03-31,China,50.5,231.50000000000003,-0.0,-0.0,1310.4789277718974,-3.469446951953614e-14,581.9459370424687,874.2157808433844,181.00000000000003,181.00000000000003,1491.4789277718974,181.0,762.9459370424687,1055.2157808433844
2020-05-31,China,56.84,168.84,-0.0,-0.0,1281.2822317712755,-5.204170427930421e-14,2.3814573941322026e-05,752.6368334491403,112.0,112.0,1393.2822317712755,111.99999999999994,112.00002381457394,864.6368334491403
2020-06-30,China,50.73338,162.73338,-0.0,-0.0,1191.7942403297684,-5.204170427930421e-14,-5.204170427930421e-14,584.0833550342927,112.0,112.0,1303.7942403297684,111.99999999999994,111.99999999999994,696.0833550342927
2020-07-31,China,44.42236,153.42236,-0.0,-0.0,992.6560585720417,1.734723475976807e-14,8.676462326384637e-09,340.1716815260118,109.0,109.0,1101.6560585720417,109.00000000000001,109.00000000867647,449.1716815260118
2020-08-31,China,36.39,145.39,-0.0,-0.0,755.4285025539052,1.734723475976807e-14,2.5326962749261384e-12,172.37598614840272,109.0,109.0,864.4285025539052,109.00000000000001,109.00000000000253,281.3759861484027
2020-09-30,China,51.10001,165.10000999999897,-0.0,-0.0,975.2675626149529,3.122502256758253e-13,2.802566633625103e-05,328.4884964701652,113.99999999999899,113.99999999999899,1089.2675626149519,113.9999999999993,114.00002802566533,442.4884964701642
2020-10-31,China,40.87,174.87,-0.0,-0.0,1234.1110889799531,8.673617379884035e-14,1.473583009087287e-06,684.5596156679414,134.0,134.0,1368.1110889799531,134.00000000000009,134.000001473583,818.5596156679414
2020-11-30,China,30.64999,164.64999,-0.0,-0.0,1008.9986430160924,8.673617379884035e-14,8.673617379884035e-14,370.3345593013744,134.0,134.0,1142.9986430160925,134.00000000000009,134.00000000000009,504.3345593013744
2020-12-31,China,29.12,169.119999999999,-0.0,-0.0,837.2846214112747,-1.214306433183765e-13,-1.214306433183765e-13,228.6956822312032,139.999999999999,139.999999999999,977.2846214112736,139.9999999999989,139.9999999999989,368.6956822312022
2021-01-31,China,32.10001,195.10000999999997,-0.0,-0.0,924.3068050071088,1.0408340855860843e-13,1.0408340855860843e-13,278.47311418640436,162.99999999999997,162.99999999999997,1087.3068050071088,163.00000000000009,163.00000000000009,441.47311418640436
2021-02-28,China,31.11,219.109999999999,-0.0,-0.0,966.4529001015677,3.469446951953614e-14,3.469446951953614e-14,313.34135140343574,187.999999999999,187.999999999999,1154.4529001015667,187.99999999999903,187.99999999999903,501.3413514034347
2021-03-31,China,34.14999,222.149989999999,-0.0,-0.0,1024.3260376266853,3.469446951953614e-14,3.469446951953614e-14,365.5490703360539,187.999999999999,187.999999999999,1212.3260376266844,187.99999999999903,187.99999999999903,553.5490703360529
2021-04-30,China,38.14999,258.14999,-0.0,-0.0,894.3717570636118,4.163336342344337e-13,4.163336342344337e-13,254.08970391668646,220.0,220.0,1114.3717570636118,220.00000000000043,220.00000000000043,474.08970391668646
2021-05-31,China,38.08,258.08,-0.0,-0.0,784.9331049161076,4.163336342344337e-13,4.163336342344337e-13,186.43198916792448,220.0,220.0,1004.9331049161076,220.00000000000043,220.00000000000043,406.4319891679245
2021-06-30,China,36.67,258.67,-0.0,-0.0,775.1221034394454,-1.0408340855860843e-13,-1.0408340855860843e-13,179.16432434770948,222.0,222.0,997.1221034394454,221.9999999999999,221.9999999999999,401.16432434770945
2021-07-31,China,40.13,227.13,-0.0,-0.0,778.2086215546757,-1.3877787807814457e-13,-1.3877787807814457e-13,180.6910055972749,187.0,187.0,965.2086215546757,186.99999999999986,186.99999999999986,367.6910055972749
2021-08-31,China,35.64,222.64,-0.0,-0.0,810.3407260449735,-1.3877787807814457e-13,-1.3877787807814457e-13,198.70967304624773,187.0,187.0,997.3407260449735,186.99999999999986,186.99999999999986,385.70967304624776
2021-09-30,China,43.66,226.66,-0.0,-0.0,899.2539822340428,6.938893903907228e-14,6.938893903907228e-14,257.9342454625622,183.0,183.0,1082.2539822340427,183.00000000000006,183.00000000000006,440.9342454625622
2021-10-31,China,46.08,249.07999999999998,-0.0,-0.0,879.1401038485528,-1.3877787807814457e-13,-1.3877787807814457e-13,245.10916631492373,203.0,203.0,1082.1401038485528,202.99999999999986,202.99999999999986,448.10916631492375
2021-11-30,China,52.25,255.25,-0.0,-0.0,1294.6944504968192,-1.3877787807814457e-13,-1.3877787807814457e-13,795.6358861954025,203.0,203.0,1497.6944504968192,202.99999999999986,202.99999999999986,998.6358861954025
