country,year,total_exports_usd,exports_copper_usd,exports_energy_usd,gdp_usd,gdp_usd_if_billions,share_copper,share_energy,expgdp_copper,expgdp_copper_if_gdp_billions,expgdp_energy,expgdp_energy_if_gdp_billions,total_expgdp,total_expgdp_if_gdp_billions
PER,2023,64355040435,22682292080.81,2600622078.14,2.7178e+11,2.7178e+20,0.352455564125076,0.0404105422133436,0.083458282731658,8.3458282731658e-11,0.00956885009250129,9.56885009250129e-12,0.236790935444109,2.36790935444109e-10
PER,2024,74053924515.753,23009685696.072,2712478709.105,2.94675e+11,2.94675e+20,0.310715277367607,0.0366284262021521,0.0780849603667498,7.80849603667498e-11,0.0092049841659625,9.2049841659625e-12,0.251307116368043,2.51307116368043e-10
PHL,2023,72923284860,2702823465,175936556,4.37055e+11,4.37055e+20,0.037063929171443,0.00241262521755249,0.00618417239249065,6.18417239249065e-12,0.000402550150438732,4.02550150438732e-13,0.166851505783025,1.66851505783025e-10
PHL,2024,72983913780,2662538284,355456108,4.61617e+11,4.61617e+20,0.0364811661378678,0.00487033497643705,0.00576785145261115,5.76785145261115e-12,0.000770023868271749,7.70023868271749e-13,0.158104909004651,1.58104909004651e-10
POL,2023,381932840227,2619051505,3098775447,8.12959e+11,8.12959e+20,0.00685736137129077,0.0081134040350085,0.0032216280341321,3.2216280341321e-12,0.00381172414229992,3.81172414229992e-12,0.469805783842728,4.69805783842728e-10
POL,2024,380333187161,2754784862,3119705862,9.14553e+11,9.14553e+20,0.0072430830518975,0.00820256019540937,0.00301216535509697,3.01216535509697e-12,0.00341118104910268,3.41118104910268e-12,0.415867847091421,4.15867847091421e-10
QAT,2023,97751493996.069,115789198.555,25405813694.359,2.13003e+11,2.13003e+20,0.0011845261266253,0.25990205014545,0.000543603604432802,5.43603604432801e-13,0.119274440709093,1.19274440709093e-10,0.45892073818711,4.5892073818711e-10
QAT,2024,95043976630.903,147463079.606,22704317366.354,2.19631e+11,2.19631e+20,0.00155152472395661,0.238882232953328,0.000671412867974011,6.71412867974011e-13,0.103374830357982,1.03374830357982e-10,0.432743905145007,4.32743905145007e-10
ROU,2023,100642462676.41,83317893.61,2642301281.4,3.50847e+11,3.50847e+20,0.000827860243025723,0.0262543384882745,0.000237476431635442,2.37476431635442e-13,0.0075312067123276,7.5312067123276e-12,0.286855702560974,2.86855702560974e-10
ROU,2024,100370881686.1,79615509.68,2685609186.65,3.82854e+11,3.82854e+20,0.000793213214256597,0.0267568555893429,0.00020795266519352,2.0795266519352e-13,0.00701470844408051,7.01470844408051e-12,0.262164902772597,2.62164902772597e-10
SAU,2023,320018426729.139,593232049.702,236955183606.512,1.218585e+12,1.218585e+21,0.00185374341023215,0.74044231148936,0.000486820410313602,4.86820410313601e-13,0.194451091722376,1.94451091722376e-10,0.262614775932035,2.62614775932035e-10
SAU,2024,305499387356.915,717985014.05,218089637043.492,1.239805e+12,1.239805e+21,0.00235020115837803,0.713879130594451,0.000579111242534108,5.79111242534108e-13,0.175906402251557,1.75906402251557e-10,0.2464092235125,2.464092235125e-10
SEN,2023,5316892833.899,111291.642,1128198668.44,3.0701e+10,3.0701e+19,2.09317068214044e-05,0.21219135003943,3.62501683984235e-06,3.62501683984235e-15,0.0367479452929872,3.67479452929872e-11,0.173183050516237,1.73183050516237e-10
SEN,2024,6310482680.303,899932.292,2042706598.654,3.2816e+10,3.2816e+19,0.00014260910576761,0.323700531661378,2.74235827645051e-05,2.74235827645051e-14,0.0622472756781448,6.22472756781448e-11,0.19229896027252,1.9229896027252e-10
