,country,date,cds_spread,fx_rate,domestic_rate,risk_free_rate,monetary_base_bn_local,external_debt_bn_usd,domestic_debt_bn_local,LCL_usd,sigma_lcl,B_f,implied_V,implied_sigma_V,cca_converged
126,China,2024-07-31,66.21001,7.251053215,0.02208,0.0454,11773.68,2447.538,0,1445.01514482542,0.11940839130655022,3003.129126,3838.2710790018336,0.044954383439800294,True
127,China,2024-08-31,57.25,7.090740202,0.02183,0.0425,11947.26,2447.538,0,1519.4709688141124,0.1251820712595096,2967.639825,3918.9865554037083,0.04853575653588057,True
128,China,2024-09-30,58.77,7.011049414,0.02183,0.0425,11947.26,2447.538,0,1536.741969444364,0.12499881476212153,2967.639825,3936.257570166066,0.04880050304713806,True
129,China,2024-10-31,63.73,7.1205799,0.0216,0.0409999999999999,12183.0,2447.538,0,1552.788533799286,0.12426325094858558,2949.2832899999985,3955.4140863878138,0.04878248114215818,True
130,China,2024-11-30,64.73,7.24286035,0.02054,0.0463,12418.03,2447.538,0,1507.3200074464708,0.12980885367382,3014.143047,3898.5678997400364,0.050188810688209656,True
131,China,2024-12-31,65.7,7.298417703,0.02054,0.0463,12418.03,2447.538,0,1495.8459163289886,0.1008744633062378,3014.143047,3887.094285382013,0.03881888222893088,True
12,Colombia,2015-01-31,164.94,2439.619419,0.06485,0.022,41965.5,113.686,0,21.311691116269873,0.15269832254717164,126.19146,134.35700888398475,0.024236866006494398,True
13,Colombia,2015-02-28,132.02,2500.0,0.0653099999999999,0.0233999999999999,41367.83,113.686,0,20.404649545032182,0.1579133650041144,126.98726199999996,133.36866386588778,0.024183458922722924,True
14,Colombia,2015-03-31,157.62,2558.199028,0.0653099999999999,0.0233999999999999,41367.83,113.686,0,19.940443766981392,0.1511814485638955,126.98726199999996,132.90529234791902,0.02269664078264312,True
15,Colombia,2015-04-30,136.93,2452.182442,0.0697,0.0241,41516.31,113.686,0,21.265965722586348,0.16629672662936812,127.385163,134.18635737308685,0.026396476086762034,True
16,Colombia,2015-05-31,146.33,2531.004809,0.0688,0.0269,41663.89,113.686,0,20.297920143488003,0.16985037911158773,128.976767,133.03877182758,0.0259660189847191,True
17,Colombia,2015-06-30,166.98,2584.647196,0.0688,0.0269,41663.89,113.686,0,19.876652246918926,0.16927461904701938,128.976767,132.61768772675208,0.025420619608564326,True
18,Colombia,2015-07-31,181.04,2880.184332,0.07135,0.0277,44579.45,113.686,0,19.2530346842541,0.1529307717972233,129.431511,131.94298024642978,0.022331812108722343,True
19,Colombia,2015-08-31,215.3,3075.03075,0.07135,0.0277,44579.45,113.686,0,18.033084332909915,0.15971987990439598,129.431511,130.7221280628481,0.022059974101274603,True
20,Colombia,2015-09-30,243.27,3073.14075,0.0765,0.0255,44537.06,113.686,0,18.701833502586286,0.16556732028134952,128.18096500000001,131.53531014467845,0.02357993788084884,True
21,Colombia,2015-10-31,207.47,2896.871379,0.0776,0.025,46602.38,113.686,0,20.92658359297541,0.20503174409845498,127.89675000000001,133.76685349617014,0.032352026850748145,True
22,Colombia,2015-11-30,217.34,3107.520199,0.0776,0.025,46602.38,113.686,0,19.50803765981939,0.21088521493416654,127.89675000000001,132.34174852789698,0.031422477297957316,True
23,Colombia,2015-12-31,236.87,3186.743149,0.0814,0.0269,48150.13,113.686,0,19.842466214488738,0.20162457944862008,128.976767,132.5639158543778,0.03041914754330793,True
24,Colombia,2016-01-31,278.5398,3281.916639,0.086,0.0249,50384.21,122.837,0,20.837416470321763,0.19817864028310295,138.1302065,142.7758039744742,0.02913024598150134,True
25,Colombia,2016-02-29,274.0398,3342.245989,0.086,0.0249,50384.21,122.837,0,20.461289819120385,0.19395483340568578,138.1302065,142.40365925898703,0.028041148471222934,True
26,Colombia,2016-03-31,221.16,3073.14075,0.087,0.022,49093.8,122.837,0,22.11005913987175,0.2064548409038033,136.34907,144.22410391323965,0.031940491311975155,True
27,Colombia,2016-04-30,217.5,2848.191398,0.0818,0.0220999999999999,47966.06,122.837,0,22.698741486513445,0.1985991907994787,136.41048849999993,144.81566483834422,0.031343747001184176,True
28,Colombia,2016-05-31,228.64,3069.36771,0.0818,0.0220999999999999,47966.06,122.837,0,21.063087370301854,0.20841628715983168,136.41048849999993,143.1690578950803,0.030970173555644145,True
29,Colombia,2016-06-30,228.83,2970.885324,0.0806,0.0222,47566.43,122.837,0,21.44019139236498,0.20713343103838638,136.47190700000002,143.5415624384727,0.031233877594508186,True
