date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,lambda_annual,implied_V,implied_sigma_V,cca_converged
2023-02-19,Qatar,46.24001,0.0388,241.8967584,89.17362214895543,0.10531061766843845,6.141814413436716,288.41373120158005,0.03960997550903395,True
2023-02-26,Qatar,45.5,0.0388,241.8967584,89.41513473664743,0.10523435289581362,6.277234390118176,288.6552400917702,0.039793804310847544,True
2023-03-05,Qatar,42.25,0.0339,236.9332152,92.43724609021675,0.1087913597461097,6.048018241202462,292.42934002254185,0.041247096569623595,True
2023-03-12,Qatar,44.55,0.0339,236.9332152,92.53515260388532,0.10878362435378205,6.222356865082048,292.52723866625365,0.041458140392367865,True
2023-03-19,Qatar,46.91,0.0339,236.9332152,92.50139173513175,0.10878306523121989,7.858651269801473,292.4933514364392,0.04321226624845181,True
2023-03-26,Qatar,50.28999,0.0339,236.9332152,92.75122213913374,0.10881921456817116,7.518220608472253,292.7432159634633,0.04291899716471336,True
2023-04-02,Qatar,44.09,0.0401,243.2136168,84.76023701956376,0.12321257174903769,6.623977454947175,283.7861971040426,0.044175534262429705,True
2023-04-09,Qatar,43.50999,0.0401,243.2136168,84.78813192060099,0.12317448030295122,5.998971978563579,283.81430568723664,0.043500911547340156,True
2023-04-16,Qatar,41.61,0.0401,243.2136168,84.61766302290896,0.1231745398734521,5.749306071098592,283.6439047592223,0.04318156366975167,True
2023-04-23,Qatar,42.72,0.0401,243.2136168,84.8036290977429,0.12320683912069293,6.044672206593261,283.82978543450935,0.043563977518992505,True
2023-04-30,Qatar,43.86,0.0343,237.3384024,85.79774326109441,0.12343332117344732,6.096007948328619,285.73088600393794,0.04386060278912979,True
2023-05-07,Qatar,44.11,0.0343,237.3384024,85.87907406317522,0.12344286629503146,6.288439413712392,285.81215608221794,0.04409372985953811,True
2023-05-14,Qatar,43.802,0.0343,237.3384024,85.83528055645047,0.12343542383015985,6.285077722527154,285.7683628027563,0.04407530585636934,True
2023-05-21,Qatar,42.44,0.0343,237.3384024,85.83215245206385,0.12343456727131671,6.120581389007785,285.7652889649293,0.04389736341213666,True
2023-05-28,Qatar,42.22,0.0343,237.3384024,85.8165119121793,0.12343541380071564,6.1317554817838476,285.74964457682916,0.04390509685502535,True
2023-06-04,Qatar,38.52,0.0359,238.9591512,84.93082525173193,0.12365746533531037,6.540885540357612,284.6251197814357,0.044180535317266956,True
2023-06-11,Qatar,38.64,0.0359,238.9591512,84.91844735728726,0.12364792359191185,5.881094503697315,284.6129663121622,0.043464517268814666,True
2023-06-18,Qatar,34.64,0.0359,238.9591512,84.89059714168232,0.12359966170349002,5.802388725821789,284.5851413049354,0.0433575610249486,True
2023-06-25,Qatar,35.32001,0.0359,238.9591512,84.94010865689371,0.1235824913637035,6.065868438117728,284.6345743006311,0.043651311427708034,True
2023-07-02,Qatar,37.23,0.0361,239.1617448,86.18951694258897,0.12452361946012344,5.834510065147582,285.85355766815604,0.04404223793138931,True
2023-07-09,Qatar,39.75999,0.0361,239.1617448,86.20522145291234,0.12449482965562222,5.975586304555288,285.8692209916428,0.044190234195657235,True
2023-07-16,Qatar,37.06,0.0361,239.1617448,86.1424033969154,0.12449512423643692,5.473676838601122,285.8065504452301,0.043631030435394215,True
