date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V,implied_sigma_V,cca_converged
2024-07-21,Colombia,188.39,0.0441,268.473385,236.01383049010295,0.21955365263821558,451.3146139094662,0.11496681310213921,True
2024-07-28,Colombia,184.3,0.0441,268.473385,236.96684416470057,0.21932085331053797,452.26845852831156,0.11506252527209253,True
2024-08-04,Colombia,200.42,0.0448,269.24328,230.34861413210652,0.21572057580138643,445.5192096913354,0.11166746679134222,True
2024-08-11,Colombia,201.98,0.0448,269.24328,233.871200917646,0.2157178806606306,449.0427573682541,0.1124792087560625,True
2024-08-18,Colombia,181.34,0.0448,269.24328,236.01331448229888,0.21230693353430327,451.191792227151,0.11116201623333036,True
2024-08-25,Colombia,171.58,0.0448,269.24328,236.63214730153575,0.21226124686219724,451.81084524316753,0.11127589434213138,True
2024-09-01,Colombia,177.63,0.0399,263.854015,230.91003749681693,0.21405465734694412,447.0068926421415,0.11069676190695077,True
2024-09-08,Colombia,192.07,0.0399,263.854015,231.29690246216154,0.21386554038666947,447.3942208328396,0.11068681783245715,True
2024-09-15,Colombia,188.21,0.0399,263.854015,230.95839560466737,0.2130369311645112,447.05719290129,0.11017562682847784,True
2024-09-22,Colombia,195.88,0.0399,263.854015,232.79600429627948,0.21223599909590524,448.8966974236419,0.11017499664457722,True
2024-09-29,Colombia,198.68,0.0399,263.854015,231.34526056524004,0.21161350452599287,447.44671187898865,0.10951963867964411,True
2024-10-06,Colombia,186.54,0.0391,262.974135,232.68555284630273,0.2018053628725083,448.9436582914107,0.10465787044620765,True
2024-10-13,Colombia,188.96,0.0391,262.974135,230.020474698921,0.20165311844620273,446.2783611657852,0.10399999987049861,True
2024-10-20,Colombia,187.05,0.0391,262.974135,227.11311669520023,0.20227774934066184,443.36984953797923,0.10368365944320748,True
2024-10-27,Colombia,197.84,0.0391,262.974135,223.8665668982688,0.200728358330412,440.1245828338957,0.10216368778991168,True
2024-11-03,Colombia,217.58,0.0374,261.10439,223.8635865426547,0.20071332899720545,440.4168827638297,0.1020870645017257,True
2024-11-10,Colombia,193.06,0.0374,261.10439,227.9383510645641,0.20088886345332846,444.4920449287447,0.10307985075498607,True
2024-11-17,Colombia,205.56,0.0374,261.10439,224.55927805996825,0.20124777255893783,441.1120747232776,0.10251646745869634,True
2024-11-24,Colombia,197.97,0.0374,261.10439,224.85743154614627,0.20118133492545776,441.41034834162394,0.10254888927645389,True
