date,country,cds_spread,risk_free_rate,B_f,LCL_usd,sigma_lcl,implied_V_M0,implied_sigma_V_M0,cca_converged_M0,implied_V_M1,implied_sigma_V_M1,cca_converged_M1,convenience_yield,implied_V_M2,implied_sigma_V_M2,cca_converged_M2,lambda_annual,group,exporter,DD_M0,DD_M1,DD_M2,PD_M0,PD_M1,PD_M2
2016-01-03,Turkey,267.5098,0.0215,442.59520875,179.54129731510957,0.1542676778315526,577.0223062376515,0.0480107479006582,True,552.7341232634703,0.0480107475473376,True,-0.1708718926474559,577.0019061754386,0.0557426222213855,True,7.32046112687203,Control,0.0,3.418208103997852,3.0176333046614974,2.927706199279861,0.00031517445265126623,0.001273784834109304,0.001707362751042205
2016-01-10,Turkey,299.1099,0.0215,442.59520875,173.15900181041005,0.1562393513072728,570.6391636185023,0.047423098632384,True,542.7722344695085,0.0474230982171897,True,-0.1991246582947257,570.6077919866531,0.0562442347766758,True,8.349554596247506,Control,0.0,3.356986263073121,2.884837125257925,2.8118740170925784,0.000393985137121795,0.001958081055067472,0.00246268952939091
2016-01-17,Turkey,310.3398,0.0215,442.59520875,171.61574178290394,0.1560867330506798,569.0959229241121,0.0470819283622275,True,544.0589323989004,0.0470819279376893,True,-0.1788224454151004,569.0596647568766,0.0565389681022391,True,8.955246767508955,Control,0.0,3.356354722187157,2.9289980250831165,2.7750691275371238,0.0003948860073372694,0.0017002829146773992,0.0027594987805052425
2016-01-24,Turkey,284.3999,0.0215,442.59520875,174.15296583129705,0.1568288328886182,571.6329216737738,0.0477925045800703,True,547.3121541946115,0.047792504178082,True,-0.1727696400447157,571.596601571292,0.0572012968231687,True,8.932731911791404,Control,0.0,3.3464976247681917,2.9396590847872726,2.776241618049304,0.00040919690350288754,0.001642867743490076,0.0027495662439914643
2016-01-31,Turkey,275.5598,0.0227,444.99301575,177.26821368793713,0.1519983952561935,574.5126180539849,0.0469080955293218,True,553.5012680843314,0.0469080951285463,True,-0.1478804922671357,574.4856620610321,0.0563302678703171,True,8.932731911791404,Control,0.0,3.465188512699102,3.1099771051119696,2.865899123603902,0.00026492996341679205,0.0009355092288991873,0.0020791336349173877
2016-02-07,Turkey,285.5598,0.0227,444.99301575,179.20642996435757,0.1521072605046164,576.450840606721,0.0472952725976255,True,554.5643259344598,0.0472952721956197,True,-0.1536956135264074,576.4215916379684,0.0571699627899043,True,9.38986225798762,Control,0.0,3.467806044282342,3.1017988467166884,2.848258262918303,0.0002623629325410734,0.0009617430641760584,0.0021979617612752707
2016-02-14,Turkey,296.3398,0.0227,444.99301575,178.8135482639664,0.151947344121274,576.0579946921616,0.047174042142681,True,553.9604915271881,0.0471740417580636,True,-0.1554151915667379,576.0218791708188,0.0580975379513911,True,10.41418898428237,Control,0.0,3.4705264435344545,3.0997134910432127,2.7953862231045186,0.0002597195969846531,0.0009685396019036016,0.0025918872403339244
2016-02-21,Turkey,303.6899,0.0227,444.99301575,177.4777505455691,0.1520583876544566,574.7221425032741,0.0469649736443208,True,554.395679370117,0.0469649732911722,True,-0.142988956855771,574.6948131389257,0.0564451691783059,True,8.991333019235885,Control,0.0,3.464336939634905,3.121458359451692,2.8626925221387354,0.00026577013993194453,0.0008997884798411028,0.0021002899023581894
2016-02-28,Turkey,300.3699,0.0227,444.99301575,175.04188418192092,0.1508310110271448,572.2865524410954,0.0461414120257722,True,556.2529348132445,0.0461414117550256,True,-0.1125999802564606,572.2616408797484,0.0553965217664482,True,8.744370122299545,Control,0.0,3.486867029168261,3.2114453839235195,2.8849976327553595,0.00024435713980330316,0.0006603453604795337,0.001957083025137057
2016-03-06,Turkey,274.9099,0.0197,438.99849825,183.00003723685407,0.1511732061297711,580.8161631215567,0.0476381462559306,True,563.9710382930325,0.0476381461169591,True,-0.1166584033145274,580.7972932309701,0.0559724068959992,True,7.902909079224179,Control,0.0,3.499411866735527,3.223118193357628,2.9608432473361526,0.00023314286134860706,0.0006340160987007243,0.0015339902133217663
2016-03-13,Turkey,248.03,0.0197,438.99849825,185.63447138243663,0.1517149313861056,583.45050737847,0.0482782640965063,True,567.9162481919493,0.048278263983087,True,-0.1069427316293374,583.4324549437105,0.0564093598039504,True,7.725174852694362,Control,0.0,3.4935108848801724,3.24353590076994,2.9728241156704134,0.0002383567747648651,0.0005902796597031347,0.0014753674289012845
2016-03-20,Turkey,235.6,0.0197,438.99849825,185.58125047990796,0.1495109655994074,583.3977950476012,0.0475662225616236,True,571.3503339499456,0.0475662224783597,True,-0.0824551915981233,583.3841986026289,0.0551165156420492,True,7.143653713541549,Control,0.0,3.5465615480397807,3.3503744967159172,3.0448100090612975,0.00019514678092513474,0.0004035118545155821,0.0011641366961445004
2016-03-27,Turkey,265.24,0.0197,438.99849825,185.0224311170653,0.1488471974634898,582.8391034429408,0.0472573810821995,True,570.4059673004672,0.0472573809948681,True,-0.0852396350207875,582.8259861174486,0.0548138280428702,True,7.141424004798154,Control,0.0,3.561365322609753,3.357308444161045,3.0544919841428633,0.00018446566748777117,0.0003935262926158922,0.0011272101949514988
2016-04-03,Turkey,256.6899,0.0183,436.20105675,190.43120718341856,0.1509209461273558,588.4891745313663,0.0488438307840095,True,576.481655034822,0.0488438307292674,True,-0.0814719301337252,588.4740048361292,0.056673567425304,True,7.452104909276732,Control,0.0,3.524973097482805,3.3362222560790267,3.0214786037425063,0.00021176290042350512,0.00042462619855965634,0.0012577170858185912
2016-04-10,Turkey,264.21,0.0183,436.20105675,188.63088391459553,0.1495657694336535,586.6891206132767,0.0480940779306197,True,579.0123988518365,0.0480940779011191,True,-0.0517780587882384,586.6750071828851,0.05590612795699,True,7.414559413685488,Control,0.0,3.553128252041078,3.43065306849436,3.0401911711885248,0.00019033941064344344,0.0003010650754074681,0.001182140126149298
2016-04-17,Turkey,240.81,0.0183,436.20105675,188.25469695842864,0.1482913544999387,586.313178946177,0.0476190444315472,True,580.5037421782342,0.0476190444112881,True,-0.0389489753862841,586.2986215097656,0.0558766576089351,True,7.835936017453294,Control,0.0,3.583620859983549,3.4901019988728708,3.036724130495646,0.00016943192927377148,0.00024141811132580692,0.001195821150991128
2016-04-24,Turkey,232.28,0.0183,436.20105675,188.63088391459553,0.1475752815836555,586.6894993241835,0.0474529642483366,True,581.810840051249,0.0474529642317697,True,-0.0325182533649018,586.6789631429857,0.0546548439577192,True,6.806923993124431,Control,0.0,3.6025821632995414,3.5238855925068813,3.1126793572549554,0.0001575358823067193,0.00021263391398189312,0.0009269866135627527
2016-05-01,Turkey,236.2,0.0179,435.40178775,191.9831258609953,0.1452596209948575,590.1082104843933,0.0472618614878635,True,589.2397799494698,0.0472618614825219,True,-0.0049899570051336,590.0994558284038,0.0545287964115586,True,6.868591485912299,Control,0.0,3.670985671213201,3.6570500173843663,3.1664730631560776,0.00012080844345043313,0.00012756730510275343,0.000771498180077674
2016-05-08,Turkey,265.0198,0.0179,435.40178775,183.34200668653827,0.1526156142409268,581.4654948536661,0.0481297412945352,True,571.6752775386301,0.0481297412480689,True,-0.0669225050972979,581.4497013135281,0.0553806173467147,True,6.862987239483793,Control,0.0,3.465772512475626,3.3079925326484925,2.996634292868068,0.0002643552106883385,0.0004698365756640729,0.001364889867025511
2016-05-15,Turkey,265.21,0.0179,435.40178775,180.68526507913455,0.1460543544308425,578.8101161041689,0.0455978334627766,True,574.6546916929665,0.0455978334390693,True,-0.0277972632508017,578.7996754458219,0.0528097878224686,True,6.762049891871897,Control,0.0,3.619143147993279,3.5484766303129764,3.109717819580483,0.0001477900536678639,0.00019373318995197765,0.0009363307610251414
2016-05-22,Turkey,274.3198,0.0179,435.40178775,180.3364000074272,0.1458350939816519,578.4612817821838,0.0454687992667646,True,571.6193442838809,0.0454687992299842,True,-0.0465609747066067,578.4514009787408,0.0525210636921107,True,6.604888887842859,Control,0.0,3.623773251900513,3.506745884431479,3.122335120149097,0.00014516808055620335,0.00022681106053022823,0.0008971128730027097
2016-05-29,Turkey,266.24,0.0179,435.40178775,181.4635024994711,0.1422865199504865,579.588863079009,0.0445514699722555,True,572.3070257742071,0.0445514699337314,True,-0.0495412807955324,579.5823085550036,0.0511355146387074,True,6.133990617662887,Control,0.0,3.7200083097844843,3.5930922814693993,3.2271585116485624,9.960811162658962e-05,0.0001633883967408546,0.0006251308902900803
2016-06-05,Turkey,254.83,0.0187999999999999,437.2001429999998,186.94317166154025,0.1454188860760594,584.9176541654347,0.046480739859219,True,580.4029311201836,0.0464807398336071,True,-0.0299525496803265,584.9103212222024,0.0528760505405207,True,6.004542218179782,Control,0.0,3.653073109925421,3.578521020838601,3.1976956324884975,0.00012956020710766785,0.00017277204020089946,0.0006926520539344085
2016-06-12,Turkey,250.44,0.0187999999999999,437.2001429999998,185.260954467918,0.1444344134451023,583.2355566660726,0.0458822927826529,True,579.3307585040992,0.0458822927593988,True,-0.0258399624396495,583.2272448372036,0.0528928141439498,True,6.580185606860099,Control,0.0,3.6739967927255024,3.6085207599853604,3.1722801376015597,0.00011939286514556905,0.00015397393794368597,0.0007562351687145633
2016-06-19,Turkey,260.3499,0.0187999999999999,437.2001429999998,185.3966171640395,0.1443053053814467,583.3712375748464,0.0458641240855362,True,577.2023466890763,0.045864124050474,True,-0.0414869668849203,583.3626323715528,0.0530382105503197,True,6.737361886348137,Control,0.0,3.677760971505761,3.5741011694265055,3.1652162465566795,0.00011764514690852048,0.00017571651921471728,0.0007748386555899762
