date,debt_st,debt_lt,default_barrier,msci_index,msci_ret_weekly,n_obs,msci_vol_annual,country,cds_spread,rf,country_lower,A,d2,pd_model,spread_model,ln_cds,d_ln_cds,d_pd,ym
2021-07-09,2528899200.0,303876000000.0,154466899200.0,48.929,-0.0105513446242787,5,0.2801244723376138,Greece,71.38,0.0008,greece,71435660608.6859,-1.5379817243337472,0.9379734583174292,1875.9469166348583,4.268017718062014,0.027986768710521304,0.0036178578312110465,2021-07
2021-07-16,2528899200.0,303876000000.0,154466899200.0,47.729,-0.024831088118109,5,0.2812456363771219,Greece,71.37,0.0008,greece,69683677270.98386,-1.573837027466553,0.9422374343172966,1884.4748686345931,4.267877612982976,-0.00014010507903794434,0.0042639759998673865,2021-07
2021-07-23,2528899200.0,303876000000.0,154466899200.0,47.068,-0.0139458150129018,5,0.2819515580221461,Greece,71.37,0.0007000000000000001,greece,68718626449.13299,-1.5943861583762384,0.9445752146473178,1889.1504292946356,4.267877612982976,0.0,0.0023377803300211886,2021-07
2021-07-30,2528899200.0,303876000000.0,154466899200.0,49.068,0.041613726568823,5,0.2833399962609373,Greece,72.85001,0.0007000000000000001,greece,71638598678.63638,-1.5239886951777601,0.9362442323980215,1872.488464796043,4.288402669909564,0.020525056926588015,-0.008330982249296293,2021-07
2021-08-06,2528899200.0,303876000000.0,154466899200.0,48.963,-0.0021421803338371,5,0.2831662966213602,Greece,72.33,0.0009,greece,71485300136.58746,-1.5263388977144923,0.9365372569082769,1873.0745138165537,4.28123898086119,-0.007163689048374167,0.0002930245102554796,2021-08
2021-08-13,2528899200.0,303876000000.0,154466899200.0,49.224,0.0053163986015204,5,0.2830896277658637,Greece,72.35001,0.0008,greece,71866356512.53764,-1.5189720618466345,0.9356152357604325,1871.2304715208652,4.281515591294484,0.00027661043329452184,-0.000922021147844454,2021-08
2021-08-20,2528899200.0,303876000000.0,154466899200.0,48.072,-0.0236814224065623,5,0.2843123045847985,Greece,72.85001,0.0006,greece,70184452508.3437,-1.5539909152028377,0.93990670816791,1879.8134163358202,4.288402669909564,0.006887078615079645,0.004291472407477515,2021-08
2021-08-27,2528899200.0,303876000000.0,154466899200.0,50.689,0.0530090375010822,5,0.2881120512893817,Greece,73.83,0.0007000000000000001,greece,74005236170.6489,-1.4588788179156427,0.9277007679359207,1855.4015358718414,4.3017651530710745,0.013362483161510674,-0.012205940231989287,2021-08
2021-09-03,2528899200.0,303876000000.0,154466899200.0,51.181,0.0096594448904279,5,0.2879199288100598,Greece,73.83,0.0008,greece,74723549339.10672,-1.4436423254655089,0.9255801937116821,1851.1603874233642,4.3017651530710745,0.0,-0.002120574224238614,2021-09
2021-09-10,2528899200.0,303876000000.0,154466899200.0,50.502,-0.013355429965643,5,0.2885985604293284,Greece,73.82001,0.0008,greece,73732218767.19032,-1.4624589551980296,0.9281922579881635,1856.384515976327,4.301629833066487,-0.00013532000458749138,0.0026120642764814184,2021-09
2021-09-17,2528899200.0,303876000000.0,154466899200.0,51.126,0.0122802346163797,5,0.2871790572799371,Greece,72.34,0.0007000000000000001,greece,74643250102.79538,-1.4481608880381704,0.9262139698980527,1852.4279397961054,4.281377226523952,-0.020252606542535467,-0.0019782880901108024,2021-09
2021-09-24,2528899200.0,303876000000.0,154466899200.0,48.588,-0.0509165872358495,5,0.2762264889761566,Greece,77.36,0.0008,greece,70937805343.55557,-1.5622302153238938,0.9408831175242002,1881.7662350484002,4.348469851145039,0.067092624621087,0.01466914762614746,2021-09
2021-10-01,2528899200.0,303876000000.0,154466899200.0,48.353,-0.0048483192937883,5,0.2764777789932011,Greece,75.37,0.0009,greece,70594708606.58893,-1.5684055302073638,0.9416067393408143,1883.2134786816284,4.322409317855379,-0.026060533289659737,0.0007236218166141173,2021-10
2021-10-08,2528899200.0,303876000000.0,154466899200.0,49.316,0.0197203044620704,5,0.2732194458125579,Greece,76.85001,0.0009,greece,72000675235.09482,-1.5475017930611468,0.9391288537824241,1878.2577075648483,4.341855600108214,0.019446282252834735,-0.002477885558390236,2021-10
2021-10-15,2528899200.0,303876000000.0,154466899200.0,49.305,-0.000223076222014,5,0.262171537052127,Greece,74.87,0.0012,greece,71984615387.83253,-1.5853109507451486,0.9435521488988783,1887.1042977977565,4.315753276242594,-0.026102323865619503,0.004423295116454229,2021-10
2021-10-22,2528899200.0,303876000000.0,154466899200.0,50.28,0.0195818879377542,5,0.2619058870944292,Greece,73.89999,0.0013,greece,73408101849.71545,-1.5520340756376871,0.93967296480574,1879.3459296114802,4.30271269263615,-0.013040583606444223,-0.003879184093138255,2021-10
2021-10-29,2528899200.0,303876000000.0,154466899200.0,49.337,-0.0189330770636325,5,0.2422153886849488,Greece,85.72,0.0015,greece,72031334943.5046,-1.6654958538140692,0.9520930649309661,1904.1861298619322,4.451086170605376,0.1483734779692263,0.012420100125226097,2021-10
2021-11-05,2528899200.0,303876000000.0,154466899200.0,49.767,0.0086778071198338,5,0.2346338913354572,Greece,86.7,0.0014000000000000002,greece,72659128972.84782,-1.6864978245646711,0.9541500231270759,1908.3000462541518,4.462453883786496,0.011367713181120287,0.002056958196109737,2021-11
2021-11-12,2528899200.0,303876000000.0,154466899200.0,49.333,-0.008758885461826,5,0.2209875545539092,Greece,92.63,0.0017000000000000001,greece,72025494999.0456,-1.7738753335029127,0.9619581131753405,1923.916226350681,4.5286130632659365,0.06615917947944006,0.00780809004826466,2021-11
2021-11-19,2528899200.0,303876000000.0,154466899200.0,48.974,-0.0073036832751878,5,0.2107592766088765,Greece,92.63,0.0018,greece,71501359983.84973,-1.8509733481123296,0.9679133062864871,1935.826612572974,4.5286130632659365,0.0,0.005955193111146562,2021-11
2021-11-26,2528899200.0,303876000000.0,154466899200.0,45.641,-0.0704831096826601,5,0.2122841873270747,Greece,92.63,0.002,greece,66635226263.38231,-1.987452989992451,0.9765638897604685,1953.127779520937,4.5286130632659365,0.0,0.0086505834739814,2021-11
2021-12-03,2528899200.0,303876000000.0,154466899200.0,46.873,0.0266353813550862,5,0.1952897759972732,Greece,92.63,0.0026,greece,68433929156.7564,-2.052885030674672,0.9799581354211252,1959.9162708422505,4.5286130632659365,0.0,0.003394245660656714,2021-12
2021-12-10,2528899200.0,303876000000.0,154466899200.0,48.08,0.0254244735132921,5,0.1958611375044075,Greece,92.63,0.0027,greece,70196132397.2617,-1.9889782810639458,0.9766481998533632,1953.296399706726,4.5286130632659365,0.0,-0.0033099355677620457,2021-12
2021-12-17,2528899200.0,303876000000.0,154466899200.0,47.034,-0.0219955457923121,5,0.1950451308357533,Greece,92.63,0.0027,greece,68668986921.23143,-2.045904048748512,0.9796170940346269,1959.234188069254,4.5286130632659365,0.0,0.0029688941812637815,2021-12
2021-12-24,2528899200.0,303876000000.0,154466899200.0,47.615,0.0122770932113693,5,0.1940578223066426,Greece,92.63,0.0031,greece,69517238853.90218,-2.0211975939079267,0.9783703426533552,1956.7406853067102,4.5286130632659365,0.0,-0.0012467513812717268,2021-12
2021-12-31,5722783000.0,317576000000.0,164510783000.0,47.868,0.0052993850652604,5,0.1914261012142758,Greece,92.63,0.0039000000000000003,greece,69886615340.93436,-2.1685076202415416,0.984939957266177,1969.8799145323542,4.5286130632659365,0.0,0.006569614612821795,2021-12
