,country,T,GARCH_LL,Jump_LL,LR,p_value,lambda,theta,delta
32,Canada,735,1729.2697704049856,1766.687017043324,74.83449327667677,4.440892098500626e-16,0.04311504690737959,-0.046600752640301724,0.02433582824479054
33,United Arab Emirates,735,1634.493261068465,1662.1378201806306,55.289118224331105,5.9571236832312024e-12,0.04074114617925432,-0.02606697588549589,0.06288732996987782
34,Qatar,735,1758.8947648459884,1778.8982559505855,40.00698220919412,1.0618840584619704e-08,0.042512062234598316,-0.013244527103882416,0.04277474899973357
35,Philippines,735,1656.3103011179874,1667.1651936992553,21.70978516253581,7.495903534393555e-05,0.046391465998278474,-0.020193535895490552,0.04567539293815994
36,Greece,735,1201.601484263367,1219.5851784727952,35.967388418856444,7.608210772502844e-08,0.04952509944757092,-0.027667624425104766,0.08424905119437237
37,Mexico,735,1497.698999855972,1517.016255071816,38.634510431687886,2.0743613049489795e-08,0.04917148121140659,-0.039334499568378645,0.040361441655667574
38,Hong Kong,735,1695.6166318428823,1706.354000091464,21.474736497163576,8.38868111161517e-05,0.05035373453212481,-0.0072519487952197375,0.04043887796763694
39,Vietnam,735,1566.5928475882063,1602.730977278358,72.2762593803036,1.4432899320127035e-15,0.047432042890429696,-0.06594039543377399,0.01686861558600999
40,Turkey,735,1239.5373806586308,1267.1601906766305,55.24562003599931,6.0856875094827956e-12,0.21584972511449518,-0.018167874565733336,0.05776321617114236
41,Argentina,735,1115.399535999371,1156.208597147357,81.61812229597217,0.0,0.16342121122517628,-0.005564550519044534,0.08445795004286225
42,United Kingdom,735,1724.1043855873927,1764.9300045857242,81.65123799666299,0.0,0.033253326264263916,-0.046232270380221735,0.0394297343202901
43,Qatar_domestic,735,1762.052161095996,1788.7057184545208,53.307114717049444,1.576772046263386e-11,0.049966540197170894,-0.019070619117546227,0.03801738757419707
44,Tunisia,735,1954.512165520707,2010.7914615718864,112.55859210235894,0.0,0.035033048496040324,-0.016662226447711696,0.04660372733484858
45,Australia,735,1643.7558295499516,1673.222665327398,58.93367155489295,9.93205517829665e-13,0.04673720164705785,-0.03989668099337404,0.029210130493688743
46,Sri Lanka,735,1608.6759645053432,1646.4054765401006,75.45902406951473,3.3306690738754696e-16,0.04128744721796132,-0.014800710800920177,0.08224112944518923
47,Kuwait_domestic,735,1859.3753592000883,1913.535783823943,108.32084924770925,0.0,0.0398420437850053,-0.017709387102939362,0.050542941976546726
48,Sweden,735,1544.0104722225392,1562.38016223231,36.73938001954184,5.224241150791897e-08,0.03516821009683467,-0.028461642189463083,0.05764703230150764
49,Botswana,735,1947.0909749587265,2005.6875645663044,117.19317921515585,0.0,0.04939631767508767,-0.011115340717135654,0.0829814325308697
50,Estonia,735,1738.5273676631023,1781.4533093549112,85.85188338361786,0.0,0.03882804626451861,-0.011150082212644293,0.06389080068855484
51,Ukraine,735,1251.636841018153,1347.2830355140404,191.29238899177471,0.0,0.060275225259607774,-0.022387994129851138,0.10004980029398818
52,Belgium,735,1652.7379922193318,1690.4087185795709,75.34145272047817,3.3306690738754696e-16,0.03765486696859803,-0.02452693448674395,0.06280103615020918
53,Austria,735,1533.7846195667378,1567.849717872894,68.13019661231237,1.0769163338864018e-14,0.04039210651828626,-0.0311651349084593,0.07257397186240382
54,Mauritius,735,1903.5442284067021,1937.877587814389,68.66671881537377,8.215650382226158e-15,0.03680119980241326,-0.010765861744487721,0.05753531562796041
55,Kenya,735,1558.4359710160456,1575.3012773606454,33.73061268919946,2.258338024363482e-07,0.05330237342112713,-0.030633615359601178,0.056372293361596666
56,South Korea,735,1557.1022500212314,1559.2321143350728,4.259728627682762,0.2347495362244607,0.03695881390741287,-0.015957069966968072,0.0516310802152353
57,Finland,735,1590.8843163978813,1609.1969867728587,36.62534074995483,5.522625035059292e-08,0.01744190181674421,-0.0500486245332732,0.07679791813096064
58,Singapore,735,1787.1891128905434,1797.7152273606523,21.0522289402179,0.00010267931789420537,0.0392614744237695,-0.013924432227409035,0.05869107393664588
59,GCC_domestic,735,1920.7387221251956,1969.9065582724581,98.33567229452501,0.0,0.04976372767429943,-0.02791948211104821,0.03397310579534071
60,Netherlands,735,1597.2449897891297,1620.6448298375267,46.79968009679396,3.833886541571019e-10,0.03834099593434982,-0.02395747339853259,0.05748975856245141
61,Zhonghua,735,1567.3365523907275,1578.8230061718598,22.97290756226448,4.091152772223161e-05,0.03711760734979866,-0.006350902816148971,0.06259862746879674
62,Bosnia and Herzegovina,735,1623.8360400152558,1701.0259984522363,154.37991687396106,0.0,0.038765733916788635,-0.015082119334219398,0.07215067433435829
63,Morocco,735,1866.6302356818644,1895.5616372956717,57.86280322761468,1.681543793097262e-12,0.04061327139845398,-0.011045348462642669,0.053301424784238
64,Portugal,735,1558.1238416496146,1575.820790158904,35.39389701857863,1.0057852550815483e-07,0.03786089944084282,-0.02930181761271374,0.054231390326125686
65,Oman,735,1967.8679410700297,2023.4777205699274,111.21955899979548,0.0,0.036870842190104135,-0.013511935530667101,0.04816615295465891
66,Slovenia,735,1703.828935428883,1731.5487709729482,55.43967108813058,5.5323523540096176e-12,0.03758427684596862,-0.021859505393572787,0.04885843374568127
67,Bahrain,735,1786.977387317848,1841.9182077652772,109.88164089485826,0.0,0.03749056724502019,-0.015446243678663733,0.05679796693822033
68,Malaysia,735,1873.2295647846813,1895.6953605929791,44.9315916165956,9.567681091837699e-10,0.040970171424175444,-0.006808154803460656,0.04433074122314458
69,Trinidad and Tobago,735,1886.648085260267,2011.8534779212669,250.4107853219998,0.0,0.04941077609481992,-0.008269711438519874,0.07444982887621743
70,New Zealand,735,1727.6537524402104,1743.7858390635447,32.26417324666863,4.60371362587253e-07,0.03598059537377822,-0.022947879902050394,0.048272413545049984
71,Chile,735,1482.4842316176862,1490.9465876964928,16.924712157613158,0.0007323914676158338,0.03747543943396987,-0.0221128095904609,0.048985006480629235
72,Saudi Arabia,735,1684.5476389737298,1746.1633267474745,123.23137554748928,0.0,0.07637677258746031,-0.027187389091884943,0.0455288427700231
73,China_onshore,735,1545.4445129617993,1567.4957928735857,44.10255982357285,1.4353412902678997e-09,0.03332708831440217,-0.008681043725238704,0.062301911324417425
74,LatAm,735,1474.300988241754,1491.7475760162738,34.89317554903937,1.2832292384246102e-07,0.05170613115949314,-0.03635925703642483,0.05136562864180772
75,Bulgaria,735,1590.8472953446808,1646.9664875538451,112.23838441832868,0.0,0.05624275888998576,0.01712742686042467,0.0640895600947755
76,Hungary,735,1413.1992551599856,1427.3535426806293,28.30857504128744,3.1287482792352606e-06,0.046423595339054304,-0.04617214289167484,0.06856779408529298
77,Poland,735,1420.6424987958299,1438.5967149047879,35.908432217916015,7.829730663821977e-08,0.03345739395552709,-0.03819473827188125,0.06672385949679237
78,Israel,735,1653.6572053898635,1689.4125572814867,71.5107037832463,1.9984014443252818e-15,0.040045208663373376,-0.027881619452866546,0.060713785041454194
79,Norway,735,1527.132981341145,1546.7903075722752,39.314652462260256,1.4886822219395413e-08,0.03917780552929242,-0.030230655869375768,0.06669747801861567
80,Peru,735,1427.2420438063264,1442.7990782100999,31.114068807547028,8.043115967693026e-07,0.03879014931997114,-0.007038165669486424,0.07476914058738918
81,Switzerland,735,1800.159101318001,1831.8068912077576,63.295579779513446,1.1612932837579137e-13,0.03854453369026724,-0.02093751132147183,0.049781732760554066
82,Pakistan,735,1578.6927273997508,1582.1101489096209,6.8348430197402195,0.07735240203372162,0.03935446899344981,-0.02301776244965396,0.06119754588331567
83,Denmark,735,1640.047067851888,1655.4759011889546,30.85766667413327,9.107738642155638e-07,0.04447449047866389,-0.03652355529644407,0.04110950475796324
84,Nigeria,735,1447.5686533838127,1499.2136029424353,103.28989911724511,0.0,0.06964925886361768,-0.027653945054869355,0.10691924710150431
