#NAME?,Brazil,Chile,China,Colombia,Czechia,Egypt,Euro,Hungary,India,Indonesia,South Korea,Kuwait,Malaysia,Mexico,Peru,Philippines,Poland,Qatar,Saudi Arabia,South Africa,Taiwan,Thailand,Turkey,United Arab Emirates
2/8/00,1.765006972,514.9330587,8.278145695,1952.362358,36.17945007,#DIV/0!,1.014455998,259.1344908,43.59197908,7347.538575,#DIV/0!,0.306100585,3.799392097,9.398496241,3.453038674,40.51863857,4.139072848,#DIV/0!,3.750937734,6.289308176,30.67484663,37.62227239,0.561873511,3.672420125
2/9/00,1.768002687,514.4032922,8.278145695,1950.838861,35.97122302,#DIV/0!,1.006036217,257.4002574,43.59197908,7256.894049,#DIV/0!,0.305903946,3.799392097,9.433971164,3.434065934,40.50222762,4.139072848,#DIV/0!,3.750937734,6.333122229,30.68425898,37.5516335,0.558802821,3.673769287
2/10/00,1.766004415,515.995872,8.278145695,1949.317739,36.17945007,#DIV/0!,1.01502233,259.6053998,43.61100899,7315.288954,#DIV/0!,0.305903946,3.799392097,9.433971164,3.441157413,40.4040404,4.147656574,#DIV/0!,3.750937734,6.321112516,30.5997552,37.36920777,0.561873511,3.672420125
2/11/00,1.772483959,514.9330587,8.278145695,1950.078003,36.21876132,#DIV/0!,1.013273888,259.2017261,43.61100899,7299.270073,#DIV/0!,0.305903946,3.799392097,9.433971164,3.436427298,40.48582996,4.156275977,#DIV/0!,3.750937734,6.337135615,30.56234719,37.39715782,0.561873511,3.672420125
2/14/00,1.772986774,514.6680391,8.278145695,1951.981261,36.41660597,#DIV/0!,1.021763564,261.0966057,43.61100899,7241.129616,#DIV/0!,0.306100585,3.799392097,9.398496241,3.429355281,40.37141704,4.15282392,#DIV/0!,3.750937734,6.345177665,30.66544005,37.48125937,0.564978135,3.673769287
2/15/00,1.776482919,513.8746146,8.278145695,1949.317739,36.19254434,#DIV/0!,1.018900606,260.8923196,43.66812227,7336.757153,#DIV/0!,0.306297476,3.799392097,9.36329588,3.436427298,40.42037187,4.142502071,#DIV/0!,3.750937734,6.349206349,30.70310101,37.50937734,0.564978135,3.673769287
2/16/00,1.773993259,512.8205128,8.278145695,1945.903872,36.32401017,#DIV/0!,1.013376571,259.3360996,43.63001745,7412.898443,#DIV/0!,0.306203687,3.799392097,9.36329588,3.434065934,40.55150041,4.132231405,#DIV/0!,3.750937734,6.325110689,30.71253071,37.66478343,0.564978135,3.672420125
2/17/00,1.772483959,511.5089514,8.278145695,1945.903872,36.24501631,#DIV/0!,1.012196974,259.0673575,43.61100899,7451.564829,#DIV/0!,0.306100585,3.799392097,9.36329588,3.43997248,40.60089322,4.108463435,#DIV/0!,3.750937734,6.309148265,30.66544005,37.8214826,0.564978135,3.672420125
2/18/00,1.77799904,511.7707267,8.278145695,1945.146859,36.25815809,#DIV/0!,1.013736124,260.213375,43.6490806,7423.910485,#DIV/0!,0.306100585,3.799392097,9.398496241,3.447087211,40.6504065,4.113533525,#DIV/0!,3.750937734,6.321112516,30.71253071,38.1097561,0.564978135,3.672420125
2/21/00,1.77799904,511.7707267,8.278145695,1945.146859,36.25815809,#DIV/0!,1.012709504,260.213375,43.6490806,7423.910485,#DIV/0!,0.306100585,3.799392097,9.398496241,3.447087211,40.6504065,4.113533525,#DIV/0!,3.750937734,6.321112516,30.71253071,38.1097561,0.564978135,3.672420125
2/22/00,1.785491099,508.646999,8.278145695,1942.879347,35.49875754,#DIV/0!,0.996015936,257.003341,43.59197908,7457.121551,#DIV/0!,0.306100585,3.799392097,9.425070688,3.463803256,40.74979625,4.078303426,#DIV/0!,3.750937734,6.30517024,30.7408546,38.16793893,0.561873511,3.672420125
2/23/00,1.78348493,507.6142132,8.278145695,1945.525292,35.57452864,#DIV/0!,0.997008973,256.6076469,43.59197908,7434.944238,#DIV/0!,0.305903946,3.799392097,9.372080011,3.460207612,40.7000407,4.074979625,#DIV/0!,3.750937734,6.325110689,30.72196621,38.0952381,0.561873511,3.672420125
2/24/00,1.776988005,507.3566717,8.278145695,1947.040498,35.86800574,#DIV/0!,1.006897246,258.5315408,43.59197908,7547.169811,#DIV/0!,0.306297476,3.799392097,9.380863039,3.46981263,40.8997955,4.093327876,#DIV/0!,3.750937734,6.333122229,30.77870114,38.15337657,0.564978135,3.672420125
2/25/00,1.773489873,506.3291139,8.278145695,1947.798987,36.32401017,#DIV/0!,1.026219919,263.5046113,43.6490806,7369.196758,#DIV/0!,0.306297476,3.799392097,9.380863039,3.468609088,40.8997955,4.149377593,#DIV/0!,3.750937734,6.285355123,30.72196621,37.8214826,0.571444898,3.672420125
2/28/00,1.776988005,501.5045135,8.278145695,1947.040498,36.77822729,#DIV/0!,1.02891244,264.2007926,43.61100899,7473.841555,#DIV/0!,0.306899092,3.799392097,9.380863039,3.457815857,41.00041,4.170141785,#DIV/0!,3.750937734,6.369426752,30.7408546,37.92188093,0.571444898,3.672420125
2/29/00,1.768002687,502.5125628,8.278145695,1947.419669,36.87315634,#DIV/0!,1.036591687,266.028199,43.61100899,7434.944238,#DIV/0!,0.306795521,3.799392097,9.372080011,3.436427298,41.00041,4.164931279,#DIV/0!,3.750937734,6.337135615,30.70310101,38.12428517,0.574808445,3.672420125
3/1/00,1.761990344,503.5246727,8.278145695,1950.838861,36.76470588,#DIV/0!,1.026957638,263.5740643,43.63001745,7363.775673,#DIV/0!,0.306795521,3.799392097,9.345794393,3.407156186,41.05090312,4.108463435,#DIV/0!,3.750937734,6.345177665,30.67484663,38.02281369,0.574808445,3.672420125
3/2/00,1.756975192,502.7652086,8.278145695,1959.631589,37.02332469,#DIV/0!,1.036914144,265.7454159,43.57300374,7485.02994,#DIV/0!,0.306504015,3.799392097,9.319664492,3.40367597,40.95004095,4.130524577,#DIV/0!,3.750937734,6.37755102,30.70310101,38.02281369,0.574808445,3.672420125
3/3/00,1.744987523,503.0181087,8.278145695,1964.636542,37.02332469,#DIV/0!,1.041775185,266.8089648,43.59197908,7462.692136,#DIV/0!,0.306400711,3.799392097,9.319664492,3.411804845,40.8997955,4.116920543,#DIV/0!,3.750937734,6.455777921,30.67484663,38.02281369,0.578058072,3.672420125
