Date,Austria,Belgium,Bulgaria,Croatia,Cyprus,Estonia,Finland,France,Germany,Greece,Ireland,Italy,Latvia,Lithuania,Netherlands,Portugal,Slovakia,Slovenia,Spain,Abu Dhabi,Dubai,Bahrain,Kuwait,Oman,Qatar,Saudi Arabia,Argentina,Brazil,Chile,Colombia,Dominican Republic,Ecuador,El Salvador,Guatemala,Jamaica,Mexico,Panama,Paraguay,Peru,Trinidad and Tobago,United States,Uruguay,Venezuela,Czech Republic,Denmark,Hungary,Iceland,Norway,Poland,Romania,Russia,Serbia,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,Australia,China,Hong Kong,India,Indonesia,Japan,Kazakhstan,Malaysia,Mongolia,New Zealand,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam,Egypt,Ghana,Iraq,Israel,Jordan,Kenya,Lebanon,Morocco,Nigeria,South Africa,Tunisia
2000-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,108.58000183105469,,,,,,,,,,,,,,,,,,,,,,,
2000-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,108.45999908447266,,,,,,,,,,,,,,,,,,,,,,,
2000-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,108.2699966430664,,,,,,,,,,,,,,,,,,,,,,,
2000-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,106.80000305175781,,,,,,,,,,,,,,,,,,,,,,,
2000-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,105.94999694824219,,,,,,,,,,,,,,,,,,,,,,,
2000-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,106.11000061035156,,,,,,,,,,,,,,,,,,,,,,,
2000-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,107.26000213623047,,,,,,,,,,,,,,,,,,,,,,,
2000-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,,,
2000-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,108.12999725341797,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,108.7300033569336,,,,,,,,,,,,,,,,,,,,,,,
2000-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,107.69999694824219,,,,,,,,,,,,,,,,,,,,,,,
2000-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,108.83000183105469,,,,,,,,,,,,,,,,,,,,,,,
2000-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,108.52999877929688,,,,,,,,,,,,,,,,,,,,,,,
2000-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,106.94999694824219,,,,,,,,,,,,,,,,,,,,,,,
