Dates,Argentina,Brazil,Chile,Colombia,Mexico,Peru,Uruguay,Angola,Egypt,Ghana,Kenya,Morocco,Nigeria,South Africa,Tunisia,Zambia,West African CFA Franc,Kazakhstan,Poland,Euro,Turkey,Ukraine,Hungary,Bahrain,Oman,Saudi,United Arab Emirates,Qatar,Iraq,Indonesia,Pakistan,Philippines,Sri Lanka,Vietnam
16.10.2020,77.5278,5.6462,795.8,3849.48,21.1383,3.5865,42.8975,646.2859,15.7166,5.81,108.56,9.2081,381.25,16.5613,2.7539,20.2,559.9351,429.13,3.8813,0.8534,7.9223,28.3112,311.29,0.37709,0.38498,3.7512,3.673,3.6416,1182.8718,14698,162.4721,48.63,184.29,23167
23.10.2020,78.1241,5.6191,776.73,3788.34,20.8689,3.5973,42.66,656.4232,15.6972,5.81,108.56,9.1521,381.25,16.1816,2.7447,20.295,554.0187,427.52,3.8561,0.8431,7.9615,28.3251,307.93,0.37707,0.38499,3.7512,3.673,3.6415,1182.8718,14660,161.3698,48.486,184.31,23167
30.10.2020,78.3226,5.7451,773.87,3870.94,21.1774,3.6153,43.0125,673.593,15.7022,5.8113,108.56,9.2273,385.46,16.2439,2.7736,20.425,561.1383,432.68,3.9569,0.8586,8.3449,28.4671,314.57,0.37705,0.385,3.7504,3.673,3.6413,1182.8718,14625,160.2539,48.405,184.33,23178
06.11.2020,79.0974,5.3772,753.82,3722.51,20.6008,3.5928,42.7475,664.582,15.7043,5.8088,108.56,9.1238,382.25,15.6033,2.7318,20.5975,559.7135,432.11,3.7936,0.8422,8.5153,28.0223,301.81,0.37707,0.385,3.7508,3.673,3.6414,1182.8718,14210,159.15,48.234,184.64,23167
13.11.2020,79.7554,5.4635,767.25,3639.63,20.4075,3.6428,42.9325,667.1978,15.7104,5.8213,109.17,9.1409,382.1,15.5083,2.7464,20.9,555.4172,429.67,3.7894,0.8449,7.6553,28.12,302.26,0.37707,0.38502,3.7505,3.673,3.641,1182.8718,14170,158.1633,48.21,184.65,23166
20.11.2020,80.3572,5.3893,760.92,3641.75,20.105,3.5931,42.77,654.0748,15.644,5.845,109.17,9.1142,383.24,15.3985,2.7444,20.955,553.4233,427.59,3.7699,0.8435,7.6381,28.3242,303.84,0.37707,0.38498,3.7505,3.673,3.6412,1193.0742,14165,160.7144,48.222,185.15,23169
27.11.2020,81.0628,5.3373,767.39,3613.02,20.0437,3.6028,42.62,650.6759,15.6339,5.825,109.17,9.075,389.74,15.2413,2.7284,21,549.593,424.16,3.7495,0.8359,7.8363,28.5345,302.05,0.37705,0.38499,3.7503,3.673,3.6413,1192.8799,14090,159.4319,48.08,185.23,23161
04.12.2020,81.6553,5.1295,745.09,3467.04,19.7674,3.588,42.7025,654.1064,15.6592,5.8562,109.17,8.9892,392.54,15.2025,2.7061,21.035,540.1549,420.25,3.6874,0.825,7.8011,28.2689,296.28,0.37705,0.38497,3.7505,3.673,3.6417,1189.7273,14105,160.1348,48.035,185.65,23121
11.12.2020,82.2187,5.0594,733.22,3435.54,20.1317,3.5923,42.4425,658.8347,15.6592,5.8275,109.17,8.9903,384,15.1377,2.7119,21.075,540.6733,418.92,3.6724,0.8255,7.8452,27.9592,292.53,0.37708,0.38498,3.751,3.673,3.6417,1192.8429,14080,160.0941,48.073,186.57,23119
18.12.2020,82.8376,5.0849,725.88,3419.94,19.9476,3.5952,42.1,654.582,15.6951,5.8525,109.17,8.908,392.62,14.54,2.6929,21.105,538.4866,419.19,3.6455,0.8158,7.6232,28.0175,291.81,0.37707,0.385,3.751,3.673,3.6414,1192.8435,14110,160.0695,48.079,187.71,23125
25.12.2020,83.3511,5.1739,714.03,3499.47,19.8646,3.612,42.3025,651.8922,15.694,5.8475,109.17,8.9643,390.57,14.6134,2.6937,21.135,537.8085,419.55,3.6952,0.8201,7.5529,28.3646,297.47,0.37704,0.385,3.7517,3.6729,3.6415,1460,14200,160.3094,48.067,189.75,23131
