COUNTRY;INDICATOR;FREQUENCY;SCALE;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Advanced Economies;Portfolio investment - Net (assets minus liabilities) - US dollar;Annual;Billions;-228.031;-18.03;-436.777;-462.657;-790.443;-735.665;-785.804;-1064.6;-1647.796;-555.116;-954.606;-1130.017;-282.863;-525.058;17.136;220.524;525.295;23.995;502.96;61.057;121.872;274.383;-763.063;-415.767;-352.834
Advanced Economies;Change in reserve assets - Net (assets minus liabilities) - US dollar;Annual;Billions;84.316;64.538;142.121;260.945;249.749;67.95;125.446;95.694;78.999;425.23;355.888;354.437;258.935;154.377;130.93;208.575;191.455;249.134;131.213;69.933;360.517;635.334;-210.791;-42.507;23.688
World;Gross domestic product (GDP) - Constant prices - Percent;Annual;Units;4.272;1.724;1.918;2.797;4.04;3.568;3.95;3.82;1.586;-2.007;4.181;3.08;2.49;2.677;2.922;2.889;2.614;3.358;3.198;2.62;-3.02;6.445;3.339;2.912;2.829
Advanced Economies;Structural balance - General government - Percent;Annual;Units;;-2.294;-3.462;-3.8;-3.603;-2.847;-2.34;-2.676;-4.162;-5.924;-6.689;-5.632;-4.409;-3.153;-2.543;-2.179;-2.344;-2.392;-2.474;-3.156;-7.514;-6.679;-4.405;-5.002;-4.935
Advanced Economies;Primary net lending (+) / net borrowing (-) - General government - Percent of GDP;Annual;Units;;0.591;-1.405;-2.05;-1.423;-0.66;0.283;0.435;-1.816;-6.99;-5.953;-4.401;-3.689;-2.089;-1.472;-1.085;-1.132;-1.007;-0.939;-1.547;-9.029;-5.936;-1.102;-3.014;-2.927
Advanced Economies;Direct investment - Net (assets minus liabilities) - US dollar;Annual;Billions;-44.579;85.058;61.182;154.434;404.61;135.479;298.523;542.014;663.33;384.54;371.408;356.936;187.891;181.331;270.01;-62.105;-210.068;231.831;-117.005;1.007;48.7;678.852;484.822;324.882;436.596
Advanced Economies;Output gap - Percent of potential GDP;Annual;Units;1.9;0.671;-0.241;-0.672;0.12;0.56;1.591;2.516;1.369;-3.31;-1.666;-1.405;-1.732;-1.989;-1.551;-1.27;-1.21;-0.504;0.036;0.188;-3.866;-0.573;0.443;0.142;0.075
World;All Items - Consumer price index (CPI) - End-of-period (EoP) - percent change;Annual;Units;4.995;4.009;4.134;3.627;4.096;3.898;3.794;5.198;4.615;3.195;4.181;4.705;3.886;3.217;2.834;2.817;2.985;3.36;3.619;3.896;2.998;6.31;8.885;6.148;4.872
Advanced Economies;Imports of goods and services - US dollar;Annual;Billions;6124.526;5893.063;6088.493;6980.044;8337.029;9301.743;10484.757;11846.09;13249.065;10426.965;12112.39;14142.817;14054.996;14276.028;14617.179;13125.382;12981.896;14139.749;15471.838;15300.68;13855.313;16837.305;19172.606;18735.254;19214.128
Advanced Economies;Current account balance (credit less debit) - Percent of GDP;Annual;Units;-0.898;-0.88;-0.836;-0.765;-0.623;-1.099;-1.219;-1.003;-1.349;-0.204;0.041;-0.082;0.015;0.487;0.498;0.569;0.819;0.987;0.791;0.716;0.249;0.779;-0.45;-0.027;0.076
Advanced Economies;Revenue - General government - Percent of GDP;Annual;Units;;35.397;34.251;34.487;34.832;35.527;36.188;36.593;36.215;34.847;34.608;35.2;35.319;36.5;36.534;36.107;35.924;35.779;35.862;35.612;35.977;36.954;37.36;35.654;35.806
World;All Items - Consumer price index (CPI) - Period average - percent change;Annual;Units;4.975;4.653;3.724;3.899;3.83;3.973;3.955;4.131;6.31;2.653;3.634;4.965;4.023;3.556;3.172;2.734;2.717;3.268;3.659;3.558;3.341;4.714;8.683;6.741;5.786
Advanced Economies;Gross domestic product (GDP) - Price deflator - Index;Annual;Units;91.191;92.946;94.399;95.987;97.926;100;102.124;104.463;106.517;107.295;108.31;109.802;111.19;112.639;114.194;115.6;116.706;118.385;120.402;122.178;124.161;128.214;135.592;141.273;145.329
Advanced Economies;Imports of goods - Volume - Cost insurance freight (CIF) - Percent change;Annual;Units;12.923;-0.787;3.15;5.218;9.601;7.087;8.285;4.982;0.02;-12.966;13.032;5.821;0.611;2.348;3.433;3.623;2.16;4.522;3.911;0.432;-5.953;11.533;5.092;-3.224;1.311
World;Gross national savings - Percent of GDP;Annual;Units;24.145;23.386;22.728;22.923;23.826;24.287;25.383;25.524;25.093;23.22;24.849;25.719;25.997;25.982;26.415;26.151;25.807;26.454;26.811;26.809;26.579;27.896;27.801;26.424;26.226
