Date,Austria,Belgium,Bulgaria,Croatia,Cyprus,Estonia,Finland,France,Germany,Greece,Ireland,Italy,Latvia,Lithuania,Netherlands,Portugal,Slovakia,Slovenia,Spain,Abu Dhabi,Dubai,Bahrain,Kuwait,Oman,Qatar,Saudi Arabia,Argentina,Brazil,Chile,Colombia,Dominican Republic,Ecuador,El Salvador,Guatemala,Jamaica,Mexico,Panama,Paraguay,Peru,Trinidad and Tobago,United States,Uruguay,Venezuela,Czech Republic,Denmark,Hungary,Iceland,Norway,Poland,Romania,Russia,Serbia,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,Australia,China,Hong Kong,India,Indonesia,Japan,Kazakhstan,Malaysia,Mongolia,New Zealand,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam,Egypt,Ghana,Iraq,Israel,Jordan,Kenya,Lebanon,Morocco,Nigeria,South Africa,Tunisia
2017-01-19,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,0.9409300088882446,3.672100067138672,3.672100067138672,0.3742299973964691,0.30504998564720154,0.38402000069618225,3.6391000747680664,3.7458999156951904,15.963500022888184,3.229599952697754,648.0800170898438,2942.75,46.650001525878906,1.0,1.0,7.347400188446045,127.94999694824219,21.92198944091797,1.0,5640.2998046875,3.281399965286255,6.581099987030029,1.0,28.1200008392334,,25.422700881958008,6.9965500831604,289.4620056152344,113.08000183105469,8.49489974975586,4.102560043334961,4.228899955749512,59.52320098876953,116.11000061035156,8.951709747314453,1.0077999830245972,3.806570053100586,27.405000686645508,0.8156800270080566,1.3316999673843384,6.8379998207092285,7.755959987640381,68.197998046875,13370.0,114.76200103759766,328.9200134277344,4.447500228881836,,1.4028799533843994,104.69999694824219,49.66999816894531,1.4292800426483154,1176.7900390625,147.6300048828125,31.57900047302246,35.41999816894531,22196.0,18.87649917602539,4.297900199890137,1177.0,3.817460060119629,0.7059999704360962,101.91999816894531,1476.300048828125,10.03279972076416,315.0,13.617500305175781,2.316499948501587
2017-01-20,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,0.9381099939346313,3.671999931335449,3.671999931335449,0.3742299973964691,0.3049499988555908,0.38402000069618225,3.6391000747680664,3.7458999156951904,15.897000312805176,3.1949000358581543,660.2999877929688,2919.75,45.558998107910156,1.0,1.0,7.300300121307373,127.3499984741211,21.576650619506836,1.0,5604.10009765625,3.313999891281128,6.54610013961792,1.0,27.94099998474121,,25.346839904785156,6.9751200675964355,289.5740051269531,113.06999969482422,8.44435977935791,4.1008100509643555,4.214399814605713,59.65999984741211,115.8499984741211,8.950830459594727,1.0063300132751465,3.8269999027252197,27.150999069213867,0.810479998588562,1.3215999603271484,6.861299991607666,7.756800174713135,68.09030151367188,13378.0,114.9800033569336,329.4100036621094,4.444499969482422,,1.3901599645614624,104.75,49.84700012207031,1.4251999855041504,1173.75,146.86000061035156,31.613000869750977,35.40999984741211,22084.0,18.86549949645996,4.290200233459473,1147.0,3.811460018157959,0.7059000134468079,102.05999755859375,1512.0,9.733099937438965,315.0,13.541999816894531,2.281399965286255
2017-01-23,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,0.9333800077438354,3.672100067138672,3.672100067138672,0.3767699897289276,0.3049499988555908,0.38492000102996826,3.640399932861328,3.7500998973846436,15.78499984741211,3.1422998905181885,644.1799926757812,2923.75,45.63100051879883,1.0,1.0,7.305500030517578,126.55000305175781,21.325199127197266,1.0,5569.7998046875,3.222100019454956,6.556700229644775,1.0,27.945999145507812,,25.211999893188477,6.940800189971924,288.6300048828125,112.43000030517578,8.38949966430664,4.07919979095459,4.206299781799316,59.799800872802734,115.26000213623047,8.876099586486816,1.0009100437164307,3.765429973602295,26.957000732421875,0.8072999715805054,1.3203999996185303,6.875500202178955,7.757699966430664,68.07720184326172,13406.0,113.80999755859375,327.6499938964844,4.435500144958496,,1.3908799886703491,102.69000244140625,49.92100143432617,1.420490026473999,1173.300048828125,145.99000549316406,31.523000717163086,35.33000183105469,22100.0,18.739999771118164,4.280900001525879,1178.0,3.795180082321167,0.7059999704360962,102.04000091552734,1460.0999755859375,9.975099563598633,315.0,13.606889724731445,2.2790000438690186
2017-01-24,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,0.9293000102043152,3.671999931335449,3.671999931335449,0.374210000038147,0.30452001094818115,0.38402000069618225,3.6391000747680664,3.746000051498413,15.930000305175781,3.1617000102996826,636.8599853515625,2925.25,46.65999984741211,1.0,1.0,7.330599784851074,126.81999969482422,21.50670051574707,1.0,5591.2998046875,3.209399938583374,6.588099956512451,1.0,28.049999237060547,,25.096599578857422,6.911310195922852,288.4200134277344,114.77999877929688,8.350350379943848,4.065370082855225,4.179200172424316,59.510101318359375,114.74500274658203,8.832710266113281,0.9973499774932861,3.754499912261963,26.94099998474121,0.7989000082015991,1.3187999725341797,6.843999862670898,7.7566399574279785,68.05139923095703,13345.0,112.77999877929688,326.9200134277344,4.433000087738037,,1.3819600343704224,102.94999694824219,49.720001220703125,1.417829990386963,1162.6500244140625,146.41000366210938,31.41200065612793,35.25,22229.0,18.974000930786133,4.321300029754639,1177.0,3.7898099422454834,0.7059999704360962,102.04000091552734,1464.0,9.988499641418457,315.0,13.453900337219238,2.2644999027252197
2017-01-25,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,0.9320799708366394,3.671999931335449,3.671999931335449,0.3741999864578247,0.304749995470047,0.3836199939250946,3.640899896621704,3.745800018310547,15.913999557495117,3.1686999797821045,652.0999755859375,2919.25,45.810001373291016,1.0,1.0,7.315100193023682,127.47000122070312,21.055299758911133,1.0,5611.2998046875,3.2809998989105225,6.582499980926514,1.0,27.735000610351562,,25.17099952697754,6.930699825286865,289.1499938964844,115.16000366210938,8.351530075073242,4.0706400871276855,4.190800189971924,59.139801025390625,114.94499969482422,8.850830078125,1.0010700225830078,3.781909942626953,26.95800018310547,0.7978900074958801,1.3171000480651855,6.848999977111816,7.757289886474609,68.16449737548828,13342.0,113.83999633789062,326.7200012207031,4.418799877166748,,1.378000020980835,104.69999694824219,49.709999084472656,1.4210200309753418,1168.030029296875,146.99000549316406,31.37299919128418,35.2400016784668,22227.0,18.946500778198242,4.239999771118164,1178.0,3.7871599197387695,0.7059999704360962,102.05000305175781,1512.0,9.980799674987793,315.0,13.361869812011719,2.3006999492645264
2017-01-26,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,0.9300600290298462,3.6725499629974365,3.6725499629974365,0.3742299973964691,0.30445000529289246,0.38363000750541687,3.639400005340576,3.745800018310547,15.947500228881836,3.1684999465942383,647.9000244140625,2893.0,46.066001892089844,1.0,1.0,7.332099914550781,127.12000274658203,21.212160110473633,1.0,5633.2001953125,3.2920000553131104,6.610400199890137,1.0,27.81999969482422,,25.108699798583984,6.916500091552734,288.05999755859375,115.68000030517578,8.306699752807617,4.05019998550415,4.181700229644775,59.56679916381836,114.70999908447266,8.814929962158203,0.9990400075912476,3.833400011062622,26.94700050354004,0.7915099859237671,1.3202999830245972,6.873600006103516,7.756669998168945,67.9729995727539,13316.0,113.29299926757812,325.82000732421875,4.427499771118164,,1.3697099685668945,104.5999984741211,49.52000045776367,1.4131799936294556,1161.260009765625,147.22999572753906,31.31999969482422,35.189998626708984,22327.0,18.86750030517578,4.3130998611450195,1158.5999755859375,3.781480073928833,0.7057999968528748,102.12999725341797,1511.0,10.019000053405762,314.0,13.230799674987793,2.2674999237060547
2017-01-27,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,0.9360700249671936,3.671999931335449,3.671999931335449,0.37674999237060547,0.3043999969959259,0.38492000102996826,3.640500068664551,3.749799966812134,15.940999984741211,3.176100015640259,638.27001953125,2929.64990234375,46.779998779296875,1.0,1.0,7.287300109863281,127.79000091552734,20.859529495239258,1.0,5685.5,3.234299898147583,6.577300071716309,1.0,27.64299964904785,,25.269399642944336,6.961100101470947,291.0090026855469,116.30999755859375,8.337599754333496,4.067599773406982,4.203800201416016,60.279300689697266,115.5199966430664,8.840399742126465,0.9998999834060669,3.859800100326538,27.035999298095703,0.793940007686615,1.3273999691009521,6.878399848937988,7.7571001052856445,68.14900207519531,13387.0,114.45500183105469,327.4100036621094,4.430099964141846,,1.3802599906921387,103.80000305175781,49.65599822998047,1.4263499975204468,1170.6700439453125,147.8800048828125,31.33300018310547,35.29999923706055,22210.0,18.6875,4.36269998550415,1153.5,3.790299892425537,0.7060999870300293,102.12000274658203,1476.0,10.018500328063965,314.0,13.339469909667969,2.286799907684326
2017-01-30,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,0.9333599805831909,3.6719000339508057,3.6719000339508057,0.37674999237060547,0.3046500086784363,0.38492000102996826,3.640500068664551,3.7502999305725098,15.907500267028809,3.109600067138672,649.4000244140625,2927.679931640625,45.678001403808594,1.0,1.0,7.2617998123168945,127.0999984741211,20.76749038696289,1.0,5651.7001953125,3.224400043487549,6.55620002746582,1.0,27.520000457763672,,25.218900680541992,6.941450119018555,290.260986328125,115.8499984741211,8.325429916381836,4.042660236358643,4.202400207519531,59.77750015258789,115.30999755859375,8.834050178527832,0.9973999857902527,3.868000030517578,26.895000457763672,0.794160008430481,1.3238699436187744,6.882999897003174,7.758240222930908,68.11000061035156,13326.0,114.66799926757812,325.04998779296875,4.43120002746582,,1.3750100135803223,103.26000213623047,49.638999938964844,1.4284100532531738,1177.5999755859375,146.9499969482422,31.520000457763672,35.237998962402344,22139.0,18.66900062561035,4.3292999267578125,1177.0,3.7672600746154785,0.7056000232696533,102.12999725341797,1469.800048828125,10.0024995803833,315.0,13.468170166015625,2.307499885559082
2017-01-31,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,0.9338300228118896,3.671799898147583,3.671799898147583,0.3743300139904022,0.3047100007534027,0.38356998562812805,3.6393001079559326,3.745699882507324,15.909000396728516,3.125499963760376,647.7000122070312,2915.0,45.66299819946289,1.0,1.0,7.258900165557861,126.70999908447266,20.805099487304688,1.0,5638.7001953125,3.2054998874664307,6.554299831390381,1.0,27.476999282836914,,25.229949951171875,6.944590091705322,289.82501220703125,115.66999816894531,8.304400444030762,4.047389984130859,4.197999954223633,59.718299865722656,115.25499725341797,8.82056999206543,0.9943600296974182,3.7761900424957275,26.729000091552734,0.800000011920929,1.3217999935150146,6.88070011138916,7.7581000328063965,67.82099914550781,13338.0,113.6500015258789,322.05999755859375,4.427199840545654,,1.3707599639892578,102.94000244140625,49.67499923706055,1.4202100038528442,1169.2099609375,146.5,31.37700080871582,35.189998626708984,22132.0,18.86750030517578,4.25629997253418,1177.0,3.767709970474243,0.7056999802589417,101.93000030517578,1463.9000244140625,9.93529987335205,315.0,13.508079528808594,2.308199882507324
2017-02-01,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,0.925599992275238,3.671799898147583,3.671799898147583,0.3741599917411804,0.3044700026512146,0.3835099935531616,3.63919997215271,3.745699882507324,15.892999649047852,3.150099992752075,648.0,2904.25,46.83000183105469,1.0,1.0,7.311800003051758,126.66999816894531,20.710180282592773,1.0,5637.89990234375,3.1988000869750977,6.603700160980225,1.0,27.638999938964844,,24.990400314331055,6.883800029754639,286.7900085449219,114.8499984741211,8.24402141571045,4.001800060272217,4.162300109863281,60.15549850463867,114.31999969482422,8.743410110473633,0.9890000224113464,3.7725000381469727,26.708999633789062,0.7943000197410583,1.319200038909912,6.878699779510498,7.757699966430664,67.50160217285156,13345.0,112.74299621582031,319.3599853515625,4.427700042724609,,1.3709299564361572,102.9000015258789,49.62099838256836,1.4095499515533447,1149.25,146.66000366210938,31.33799934387207,35.099998474121094,22298.0,18.69700050354004,4.329400062561035,1176.0,3.7682900428771973,0.7059999704360962,102.04000091552734,1464.800048828125,9.954500198364258,315.0,13.46735954284668,2.2867000102996826
2017-02-02,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,0.9287300109863281,3.6728999614715576,3.6728999614715576,0.3742400109767914,0.30434998869895935,0.38359999656677246,3.6393001079559326,3.746000051498413,15.788999557495117,3.128000020980835,646.0999755859375,2873.5,46.81999969482422,1.0,1.0,7.275700092315674,127.61000061035156,20.528270721435547,1.0,5675.89990234375,3.2690000534057617,6.716000080108643,1.0,28.100000381469727,,25.07080078125,6.90749979019165,287.239990234375,112.94999694824219,8.232000350952148,3.998800039291382,4.210999965667725,60.091400146484375,114.71499633789062,8.748809814453125,0.9931100010871887,3.771559953689575,26.770999908447266,0.7897999882698059,1.318600058555603,6.880899906158447,7.7586798667907715,67.39540100097656,13360.0,113.31099700927734,323.57000732421875,4.421999931335449,,1.3784899711608887,104.6500015258789,49.68000030517578,1.4130699634552002,1151.949951171875,147.86000061035156,31.2810001373291,35.11000061035156,22640.0,18.81100082397461,4.372600078582764,1178.0,3.7707600593566895,0.7057999968528748,102.04000091552734,1512.0,9.970000267028809,315.0,13.456500053405762,2.2853000164031982
2017-02-03,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,0.9292200207710266,3.672100067138672,3.672100067138672,0.37696999311447144,0.304749995470047,0.38492000102996826,3.640700101852417,3.750200033187866,15.662500381469727,3.122499942779541,642.0,2815.300048828125,45.766998291015625,1.0,1.0,7.235899925231934,127.18000030517578,20.336259841918945,1.0,5628.5,3.246000051498413,6.546199798583984,1.0,27.402999877929688,,25.105649948120117,6.910719871520996,287.41900634765625,113.19999694824219,8.249130249023438,4.008490085601807,4.197500228881836,59.3661994934082,114.66999816894531,8.74878978729248,0.9924499988555908,3.7345099449157715,26.920000076293945,0.7987200021743774,1.306399941444397,6.880000114440918,7.758669853210449,67.2656021118164,13346.0,112.78900146484375,325.29998779296875,4.42549991607666,,1.3725700378417969,104.69999694824219,49.7599983215332,1.411929965019226,1142.699951171875,150.39999389648438,31.079999923706055,35.06999969482422,22137.0,18.344499588012695,4.380000114440918,1148.0999755859375,3.7552599906921387,0.7059000134468079,102.04000091552734,1511.0,9.71310043334961,314.0,13.37339973449707,2.2850000858306885
2017-02-06,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,0.9273899793624878,3.672100067138672,3.672100067138672,0.37674999237060547,0.3046500086784363,0.38492000102996826,3.640399932861328,3.75,15.597000122070312,3.119499921798706,640.7000122070312,2851.75,46.869998931884766,1.0,1.0,7.253499984741211,126.61000061035156,20.544719696044922,1.0,5591.2998046875,3.1575000286102295,6.583899974822998,1.0,27.489999771118164,,25.03499984741211,6.896609783172607,287.1099853515625,112.75,8.206119537353516,3.984800100326538,4.188499927520752,58.94609832763672,114.4800033569336,8.763799667358398,0.9923499822616577,3.7008299827575684,26.750999450683594,0.801010012626648,1.3027600049972534,6.872200012207031,7.757460117340088,67.15730285644531,13338.0,112.63899993896484,319.2699890136719,4.427499771118164,,1.367110013961792,102.75,49.63800048828125,1.4080499410629272,1137.760009765625,146.42999267578125,30.851999282836914,35.00600051879883,22196.0,18.5310001373291,4.349100112915039,1177.0,3.742039918899536,0.7059999704360962,101.9000015258789,1463.0999755859375,9.968099594116211,315.0,13.253899574279785,2.2757999897003174
2017-02-07,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,0.9308199882507324,3.672100067138672,3.672100067138672,0.374099999666214,0.30437999963760376,0.3840000033378601,3.6393001079559326,3.7446000576019287,15.770500183105469,3.1136999130249023,640.4000244140625,2843.75,46.880001068115234,1.0,1.0,7.243599891662598,127.1500015258789,20.60887908935547,1.0,5613.0,3.1819000244140625,6.582099914550781,1.0,27.851999282836914,,25.148719787597656,6.920690059661865,288.3399963378906,113.62999725341797,8.257200241088867,3.996150016784668,4.19350004196167,58.90010070800781,115.13999938964844,8.828359603881836,0.991349995136261,3.687000036239624,26.8439998626709,0.8020300269126892,1.3078999519348145,6.86359977722168,7.757540225982666,67.19529724121094,13326.0,111.8270034790039,318.92999267578125,4.434500217437744,,1.366610050201416,104.6500015258789,49.47999954223633,1.4101799726486206,1132.7099609375,147.22000122070312,30.922000885009766,34.99700164794922,22210.0,18.430999755859375,4.400000095367432,1177.0,3.7372100353240967,0.7056000232696533,101.83000183105469,1512.0,10.02180004119873,314.0,13.282620429992676,2.2739999294281006
2017-02-08,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,0.9365000128746033,3.6719000339508057,3.6719000339508057,0.3740600049495697,0.3043999969959259,0.38359999656677246,3.639400005340576,3.745699882507324,15.668499946594238,3.1166999340057373,646.0999755859375,2876.280029296875,45.79899978637695,1.0,1.0,7.218599796295166,127.12000274658203,20.51235008239746,1.0,5598.2998046875,3.2950000762939453,6.559299945831299,1.0,27.709999084472656,,25.300840377807617,6.961870193481445,289.19000244140625,112.87000274658203,8.323749542236328,4.0329999923706055,4.19789981842041,59.44260025024414,115.86000061035156,8.876930236816406,0.9977999925613403,3.740689992904663,26.69499969482422,0.8002399802207947,1.311900019645691,6.884500026702881,7.757969856262207,67.34049987792969,13310.0,112.38700103759766,320.4700012207031,4.4375,,1.3702399730682373,104.75,49.61899948120117,1.4184000492095947,1142.0999755859375,147.0500030517578,31.030000686645508,35.02000045776367,22183.0,18.279499053955078,4.384200096130371,1148.800048828125,3.7448599338531494,0.7060999870300293,101.81999969482422,1512.0,10.007499694824219,315.0,13.426799774169922,2.280100107192993
2017-02-09,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,0.935259997844696,3.671799898147583,3.671799898147583,0.3741399943828583,0.30480000376701355,0.3836100101470947,3.6410000324249268,3.7453999519348145,15.64799976348877,3.1159000396728516,647.2999877929688,2858.10009765625,46.106998443603516,1.0,1.0,7.266499996185303,126.25,20.361589431762695,1.0,5598.7998046875,3.2060000896453857,6.604499816894531,1.0,27.97800064086914,,25.269699096679688,6.952849864959717,288.63299560546875,113.05000305175781,8.318619728088379,4.032360076904297,4.194499969482422,59.173099517822266,115.36000061035156,8.840709686279297,0.9952300190925598,3.7105000019073486,26.53700065612793,0.7982100248336792,1.3103200197219849,6.872499942779541,7.759260177612305,66.96430206298828,13302.0,111.9520034790039,320.8999938964844,4.436999797821045,,1.3820699453353882,102.87999725341797,49.750999450683594,1.416409969329834,1144.6199951171875,146.8000030517578,31.111000061035156,35.02000045776367,22347.0,17.97249984741211,4.371699810028076,1156.5999755859375,3.74426007270813,0.7056999802589417,101.62999725341797,1464.699951171875,10.015000343322754,315.0,13.406900405883789,2.275599956512451
