Month,Qatar,Brazil,Mexico,Chile,Philippines,Egypt,Malaysia,Indonesia,Colombia,Turkey,South Korea,South Africa,Thailand,United Arab Emirates,Saudi Arabia,China
31.05.2007,10541,195495,407228,3656173.7,753806.237,297434,57967,304297963,24424841.34,52131,48721482,93994,800147.2,141834,106350,26727.97
29.06.2007,10896,204273,408728,3683981.2,770395.696,304040,59069,319756833,26611162.05,60267,50636715,97026,765024,145452,103023,26881.09
31.07.2007,10922,206089,408167,3528142.3,772976.964,310816,59299,310250202,25096064.45,58684,49232859,96293,800943.9,139877,103657,27326.26
31.08.2007,11134,206479,410822,3629450.6,763462.49,308137,61814,326117657,25162831.73,59983,49243363,97569,770808.1,136238,102166,27822.39
28.09.2007,11486,215343,412441,3739946.3,764346.523,306486,62944,323709145,26039124.4,59006,51017224,98561,822882.5,155465,107869,29030.58
31.10.2007,14368,219238,417008,3301139,770250.39,321707,59922,345713669,26928884.25,56584,52200669,98743,811268.3,165369,110351,28317.78
30.11.2007,25291,228819,431866,3255484.7,784817.181,325527,62676,344831319,28711442.54,59168,51979829,104249,829157.3,261767,109190,28987.92
31.12.2007,30634,248840,494743,3672153.3,848784.896,325345,63899,438459841,32415323.12,66626,56398976,110029,899242.2,265657,124136,30334.32
31.01.2008,22916,233214,459689,3590160,776384.548,333811,69629,350837991,29954574.24,60248,53108246,102880,881651.8,257651,117876,36673.15
29.02.2008,33874,230086,447829,3797330.6,807204.033,342977,67696,337743955,29123894.52,62065,49614870,106047,882774.7,266007,126236,32454.47
31.03.2008,47597,234086,447711,3566431.3,811603.927,340180,65548,357046795,27292604.47,66381,49303653,107881,898960.5,278108,126102,30433.07
30.04.2008,47211,232959,445503,3621387,806665.807,349089,65340,360902337,29530312.76,63338,49911856,109748,877943.7,239454,129478,30789.61
30.05.2008,44906,243460,451314,3664023.8,842059.565,350254,67375,372498966,27572247.04,67334,54088456,107247,864228.4,222413,140637,30169.3
30.06.2008,38725,245631,447614,3986019.4,859863.272,352765,68363,402575520,29113658.61,74687,52599784,108971,870191.8,209853,156097,30181.32
31.07.2008,22972,244707,463303,3512431.6,789091.735,362440,66584,382073158,28548632.24,70994,53432954,108696,867917.8,185335,156042,30687.19
29.08.2008,20326,250719,462797,3683763.3,836530.422,350562,69314,369328694,28283748.53,64511,55444196,111821,851450.4,170214,158661,30851.62
30.09.2008,22864,254906,458616,3567044.5,847581.911,345580,73590,462732180,30270443.41,74688,58349365,113301,866134.7,160581,170419,31724.88
31.10.2008,22417,228908,477713,3617638.5,892380.221,311342,69493,389168730,32676999.56,80213,53287281,115125,889192.6,154328,148761,31317.84
28.11.2008,21300,231323,505084,3650379.3,852163.751,300330,69112,377428073,33207872.7,83706,58438572,118264,900174.9,149088,155648,31607.36
31.12.2008,23619,205623,577543,4229786.9,961465.727,291060,68513,425846665,36194903.79,85138,64846321,119560,1002171.3,148645,143303,34218.96
30.01.2009,22222,195084,552789,4153237.3,892276.79,284911,73662,378595864,33391083.91,72258,63423952,115251,930714.3,133779,141971,41082.37
27.02.2009,25104,193973,539232,4370444.2,879992.02,278442,60539,352484407,33636695.73,76085,70559182,115863,934129.6,141475,144186,35141.64
31.03.2009,30446,192729,533819,3930524.4,863477.772,276817,54097,361863250,33231593.23,86320,71710137,116543,936237.5,150857,141621,33746.42
30.04.2009,32262,203041,537359,3997198.9,893287.787,271527,53781,372477552,31937719.12,75432,59752448,119348,955516.2,143337,143953,34257.27
29.05.2009,38002,192031,536607,4028692.1,902574.151,260314,54731,370889085,30854418.56,80127,59916351,116659,914055.7,152097,144146,33559.52
30.06.2009,41107,198602,531630,4650911,875124.803,257975,54743,389381512,34425640.95,83085,65406113,118171,942289.8,159855,145902,33640.98
31.07.2009,38032,196159,541062,4021039.1,898434.051,271350,52057,377915321,33782925.08,75555,59199012,117118,920078.9,165747,152747,34239.3
31.08.2009,39060,199339,529496,4225927.5,900363.968,280478,54063,387884895,33567225.88,73293,62171792,118095,928957.9,165853,147822,34406.62
30.09.2009,38872,209085,524786,4361319.3,894078.155,281736,55788,412621245,33083061.04,88873,66636688,118111,944233.1,176783,154248,36787.89
30.10.2009,39860,207522,534521,4457724.6,942028.428,296231,52627,446440615,33468053.9,79564,60544168,118768,939436.1,177182,152754,35730.23
30.11.2009,50948,217306,547654,4371949.8,973341.919,298813,55217,437994442,34265840.33,75468,60194232,123824,976102.4,184334,164749,36343.86
31.12.2009,45903,228924,632032,4582203.5,1047927.913,296302,54814,498978712,39546608.89,85929,67779116,124292,1063962.5,183415,151745,38246.97
29.01.2010,45257,219435,600422,4558087.9,992391.932,295003,58524,469691259,37707270.45,74783,67409423,123081,1009920.7,173259,152776,40758.58
26.02.2010,45466,218399,584841,4902207.6,987265.717,301513,59746,441525083,36804571.68,75928,71152021,120786,1059309.8,171255,155976,42865.79
31.03.2010,50198,309807,597194,4441275.2,1014704.448,296394,56536,468657169,36224073.56,78691,72203404,131268,1056772.6,173470,154248,39080.58
30.04.2010,52346,371000,574363,4572242.2,1028849.664,291496,56380,394353056,34786840.33,82852,68987661,126209,1058894.2,173904,157998,39657.54
31.05.2010,58201,376852,582624,4773175.9,1018644.464,292808,57852,398940138,34860255.07,84399,72770390,127002,1048027.3,177211,156777,38652.97
30.06.2010,59050,381327,577866,4755713.6,979010.029,304580,55679,412137119,38945547.14,92252,73710596,125654,1030798.1,180493,161602,38904.85
30.07.2010,62204,390310,593184,4737601.5,991866.678,305884,56040,418161756,36940516.69,84927,67165164,129261,1025561.4,183599,162675,39543.16
31.08.2010,65530,411925,584120,4806639.1,969689.811,342692,60310,432865518,36929101.73,88217,70709080,127354,1003692.6,188411,172388,39922.76
30.09.2010,69888,421227,589263,4963424.3,985579.256,351281,57560,430845908,37610539.44,90715,73457901,128623,1075889,183517,167636,41854.41
29.10.2010,80335,426575,590030,5377273.6,1040335.422,347708,58465,424478326,38235872.96,96021,70788346,128466,1030198.3,193293,170181,41646.21
30.11.2010,85780,435626,605690,4816877.8,1024356.176,341478,57613,489806384,38044622.37,101422,71714713,133383,1067485.1,208818,172184,42252.16
31.12.2010,91809,530561,693423,5525857.5,1120545.993,333296,61261,525145396,44877585.72,105262,74545691,135853,1200464.1,205497,171261,44628.17
